facade,relation,startLine,src_category,src_modifier,src_entity,src_file,dest_category,dest_modifier,dest_label,dest_entity,dest_file,filter
actively native -> extensive,Contain,0,Package,null,android,,Package,null,,android.adb,,false
intrusive native -> extensive,Define,8573,Class,public,com.android.server.devicepolicy.DevicePolicyManagerService,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Method,public,,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,false
extensive -> actively native,Call,8582,Method,public,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Method,public,,com.android.server.devicepolicy.DevicePolicyManagerService.getPasswordQuality,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,false
extensive -> intrusive native,Call,8587,Method,public,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Method,public,,com.android.server.devicepolicy.DevicePolicyManagerService.getStorageEncryptionStatus,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,false
extensive -> actively native,Call,8593,Method,public,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Method,public,,com.android.server.devicepolicy.DevicePolicyManagerService.getKeyguardDisabledFeatures,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,false
extensive -> actively native,Modify,8578,Method,public,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Variable,null,,com.android.server.devicepolicy.DevicePolicyManagerService.mHasFeature,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,false
extensive -> actively native,UseVar,8578,Method,public,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Variable,null,,com.android.server.devicepolicy.DevicePolicyManagerService.mHasFeature,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,false
extensive -> actively native,UseVar,8588,Method,public,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Variable,public,public-api system-api test-api whitelist,android.app.admin.DevicePolicyManager.ENCRYPTION_STATUS_ACTIVE,core/java/android/app/admin/DevicePolicyManager.java,false
extensive -> actively native,UseVar,8589,Method,public,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Variable,public,public-api system-api test-api whitelist,android.app.admin.DevicePolicyManager.ENCRYPTION_STATUS_ACTIVATING,core/java/android/app/admin/DevicePolicyManager.java,false
extensive -> actively native,UseVar,8594,Method,public,com.android.server.devicepolicy.DevicePolicyManagerService.requireSecureKeyguard,services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,Variable,public,public-api system-api test-api whitelist,android.app.admin.DevicePolicyManager.KEYGUARD_DISABLE_TRUST_AGENTS,core/java/android/app/admin/DevicePolicyManager.java,false
intrusive native -> extensive,Define,1066,Method,private,com.android.server.SystemServer.startOtherServices,services/java/com/android/server/SystemServer.java,Variable,null,,com.android.server.SystemServer.startOtherServices.externalServer,services/java/com/android/server/SystemServer.java,false
intrusive native -> extensive,Define,2114,Method,private,com.android.server.SystemServer.startOtherServices,services/java/com/android/server/SystemServer.java,Variable,null,,com.android.server.SystemServer.startOtherServices.serverClazz,services/java/com/android/server/SystemServer.java,false
intrusive native -> extensive,Define,2117,Method,private,com.android.server.SystemServer.startOtherServices,services/java/com/android/server/SystemServer.java,Variable,null,,com.android.server.SystemServer.startOtherServices.constructor,services/java/com/android/server/SystemServer.java,false
intrusive native -> extensive,Define,2119,Method,private,com.android.server.SystemServer.startOtherServices,services/java/com/android/server/SystemServer.java,Variable,null,,com.android.server.SystemServer.startOtherServices.baseObject,services/java/com/android/server/SystemServer.java,false
intrusive native -> extensive,Define,2120,Method,private,com.android.server.SystemServer.startOtherServices,services/java/com/android/server/SystemServer.java,Variable,null,,com.android.server.SystemServer.startOtherServices.method,services/java/com/android/server/SystemServer.java,false
intrusive native -> actively native,Call,2128,Method,private,com.android.server.SystemServer.startOtherServices,services/java/com/android/server/SystemServer.java,Method,public,greylist,android.util.Slog.wtf,core/java/android/util/Slog.java,true
