filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
packages/BackupEncryption/test/robolectric/src/com/android/server/backup/encryption/chunking/ChunkHasherTest.java,0,0,0,0,0,0
services/backup/java/com/android/server/backup/restore/FullRestoreEngine.java,11,36,3923,25,39,4133
core/java/android/widget/Adapter.java,5,8,478,0,0,0
cmds/uiautomator/library/core-src/com/android/uiautomator/core/UiDevice.java,2,2,854,1,1,851
media/java/android/media/audiopolicy/AudioVolumeGroup.java,3,4,218,4,4,218
media/java/android/media/tv/tuner/filter/FilterConfiguration.java,2,11,342,3,5,99
core/java/android/os/strictmode/ResourceMismatchViolation.java,1,2,25,2,2,25
services/core/java/com/android/server/textservices/LocaleUtils.java,1,1,152,3,3,456
packages/BackupEncryption/src/com/android/server/backup/encryption/tasks/ClearCryptoStateTask.java,1,1,71,1,1,71
core/java/android/hardware/camera2/params/SessionConfiguration.java,4,9,439,7,11,489
services/core/java/com/android/server/wm/DragAndDropPermissionsHandler.java,4,5,41,3,4,40
graphics/java/android/graphics/text/MeasuredText.java,5,9,451,7,9,468
core/java/android/content/pm/permission/RuntimePermissionPresentationInfo.java,3,3,116,2,2,6
services/core/java/com/android/server/timezonedetector/ArrayMapWithHistory.java,1,1,187,2,2,374
packages/SystemUI/src/com/android/systemui/statusbar/policy/UserInfoControllerImpl.java,4,5,246,0,0,0
packages/SettingsProvider/src/android/provider/settings/backup/SystemSettings.java,3,3,92,3,3,92
core/java/android/widget/Checkable.java,1,3,126,0,0,0
packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/NotifCollection.java,5,36,1502,7,15,490
location/java/android/location/LocationManager.java,40,196,16569,106,121,8070
core/java/android/os/TelephonyServiceManager.java,2,7,331,6,10,641
core/java/android/service/notification/ConditionProviderService.java,4,23,513,8,11,183
location/java/android/location/GpsStatus.java,9,26,1039,12,15,214
services/accessibility/java/com/android/server/accessibility/AbstractAccessibilityServiceConnection.java,11,41,1250,32,39,1242
packages/SystemUI/src/com/android/systemui/biometrics/AuthBiometricFingerprintView.java,3,3,162,2,2,149
core/java/android/animation/PropertyValuesHolder.java,8,45,3642,4,6,70
packages/SystemUI/src/com/android/systemui/DessertCase.java,2,4,80,3,4,114
core/java/android/app/servertransaction/MoveToDisplayItem.java,3,6,163,3,6,183
packages/SystemUI/src/com/android/systemui/statusbar/NotificationListener.java,15,31,549,18,28,621
core/java/android/widget/CursorAdapter.java,11,27,1462,9,11,76
media/mca/filterpacks/java/android/filterpacks/imageproc/CropRectFilter.java,2,2,146,0,0,0
services/core/java/com/android/server/integrity/parser/RuleParser.java,3,7,52,3,7,52
services/core/java/com/android/server/location/LocationPermissionUtil.java,2,2,66,2,2,66
media/java/android/media/tv/TvView.java,13,76,2125,53,74,1681
telephony/common/com/google/android/mms/pdu/PduComposer.java,2,4,12,1,3,9
services/core/java/com/android/server/pm/OtaDexoptShellCommand.java,1,6,142,4,10,178
test-mock/src/android/test/mock/MockContext.java,12,23,153,11,23,155
services/core/java/com/android/server/display/OverlayDisplayAdapter.java,12,20,807,16,18,511
services/core/java/com/android/server/locksettings/recoverablekeystore/serialization/KeyChainSnapshotSchema.java,3,4,61,2,3,59
core/java/com/android/internal/widget/LockScreenWidgetInterface.java,2,2,25,1,1,2
test-base/hiddenapi/src/junit/framework/TestSuite.java,2,3,62,2,3,62
test-runner/src/android/test/SingleLaunchActivityTestCase.java,3,5,70,1,1,22
core/java/android/hardware/camera2/marshal/impl/MarshalQueryableNativeByteToInteger.java,1,1,70,1,1,70
services/core/java/com/android/server/hdmi/HdmiLogger.java,8,14,242,14,15,263
