version,#Ins,pattern_file,facade_file,total_file,#a_File(%),#b_File%
A-T,3073,329,577,11921,2.76%,4.84%
A-S,10141,1463,2071,13524,10.82%,15.31%
A-R,2287,333,407,11943,2.79%,3.41%
A-Q,1061,212,363,9094,2.33%,3.99%
C-13,444,100,177,11850,0.84%,1.49%
C-12,260,75,177,13363,0.56%,1.32%
C-11,366,90,213,11953,0.75%,1.78%
L-20.0,399,96,186,11848,0.81%,1.57%
L-19.1,1216,263,471,13536,1.94%,3.48%
L-18.1,1388,275,502,11965,2.30%,4.20%
L-17.1,1384,270,542,10545,2.56%,5.14%
L-16.0,1196,255,492,9107,2.80%,5.40%
O-13.0,307,100,191,13359,0.75%,1.43%
O-12.0,307,100,191,13359,0.75%,1.43%
O-11,2564,419,684,11999,3.49%,5.70%
O-10,1231,247,525,10552,2.34%,4.98%
O-9,959,199,423,9107,2.19%,4.64%
I-E,36278,2146,7092,15304,14.02%,46.34%
I-D,38215,2308,8677,16747,13.78%,51.81%
I-C,36777,2246,7071,15228,14.75%,46.43%
I-B,36931,2221,6746,14604,15.21%,46.19%
I-A,28327,1817,4005,8414,21.59%,47.60%
Average,9323 ,,,,5.46%,14.02%
