filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
tests/OneMedia/src/com/android/onemedia/playback/MediaItem.java,2,3,80,0,0,0
core/tests/coretests/src/android/content/ContentValuesTest.java,2,2,50,1,1,46
core/tests/overlaytests/device/src/com/android/overlaytest/FabricatedOverlaysTest.java,1,1,277,1,1,277
core/java/android/hardware/input/KeyboardLayout.java,4,7,225,5,5,104
services/core/java/com/android/server/integrity/parser/RuleParser.java,3,7,52,3,7,52
core/java/android/net/DhcpResults.java,13,37,1000,18,30,902
services/companion/java/com/android/server/companion/CompanionDeviceManagerService.java,19,86,2396,25,45,1549
services/core/java/com/android/server/display/whitebalance/AmbientSensor.java,2,2,386,1,1,5
apex/blobstore/service/java/com/android/server/blob/BlobStoreManagerService.java,4,53,2989,33,43,2564
core/java/com/android/internal/util/dump/DualDumpOutputStream.java,1,1,3,1,1,3
core/tests/hosttests/test-apps/MultiDexLegacyTestApp/src/com/android/multidexlegacytestapp/manymethods/Big045.java,1,1,4020,0,0,0
core/java/android/nfc/NfcActivityManager.java,8,25,1026,12,17,1681
services/core/java/com/android/server/vibrator/DeviceVibrationEffectAdapter.java,1,6,550,2,5,466
core/java/android/app/backup/BackupAgentHelper.java,3,4,53,0,0,0
services/usage/java/com/android/server/usage/StorageStatsManagerLocal.java,1,1,87,1,1,87
services/core/java/com/android/server/timezonedetector/location/RealProviderMetricsLogger.java,1,2,81,1,2,81
services/core/java/com/android/server/locksettings/RebootEscrowManager.java,3,36,1600,14,33,1547
services/core/java/com/android/server/vr/SettingsObserver.java,1,2,150,3,3,435
core/java/com/android/internal/os/BluetoothPowerCalculator.java,4,17,723,8,11,487
packages/SystemUI/src/com/android/systemui/statusbar/connectivity/SignalController.java,1,2,9,1,2,9
media/java/android/media/tv/tuner/filter/IpCidChangeEvent.java,1,2,50,2,2,50
core/tests/coretests/src/android/app/appsearch/external/app/AppSearchEmailTest.java,1,5,38,14,15,73
core/java/android/view/WindowCallbacks.java,4,6,103,8,8,266
rs/java/android/renderscript/ScriptC.java,5,10,164,2,4,60
core/java/android/speech/tts/EventLogger.java,2,4,376,1,1,178
services/core/java/com/android/server/display/color/DisplayTransformManager.java,3,5,191,5,5,88
core/java/android/database/IBulkCursor.java,5,9,340,3,3,46
libs/WindowManager/Shell/src/com/android/wm/shell/legacysplitscreen/DividerState.java,0,0,0,0,0,0
services/core/java/com/android/server/wm/UnsupportedCompileSdkDialog.java,0,0,0,0,0,0
services/core/java/com/android/server/pm/verify/domain/models/DomainVerificationInternalUserState.java,1,1,5,1,1,5
services/robotests/src/com/android/server/testing/shadows/ShadowEventLog.java,3,4,46,1,1,4
graphics/java/android/graphics/RuntimeShader.java,5,7,256,2,3,110
services/core/java/com/android/server/ServiceThread.java,2,3,62,2,2,53
core/java/android/security/keystore/recovery/RecoveryController.java,7,42,1880,33,41,1874
services/tests/servicestests/src/com/android/server/pm/AppsFilterTest.java,9,50,5044,15,24,2065
core/java/android/util/apk/ApkSignatureVerifier.java,10,27,1553,11,19,983
libs/usb/src/com/android/future/usb/UsbManager.java,1,7,175,1,1,68
services/core/java/com/android/server/pm/verify/domain/DomainVerificationService.java,3,42,2761,37,46,3030
core/java/android/transition/TransitionUtils.java,5,11,275,3,3,46
packages/SystemUI/src/com/android/systemui/emergency/EmergencyGesture.java,1,1,40,1,1,40
tools/powermodel/src/com/android/powermodel/ComponentProfile.java,1,1,20,0,0,0
core/java/android/companion/BluetoothDeviceFilterUtils.java,8,21,310,8,18,261
tests/GridLayoutTest/src/com/android/test/layout/LinearLayoutTest.java,2,3,59,0,0,0
packages/BackupEncryption/test/robolectric/src/com/android/server/backup/encryption/chunking/cdc/HkdfTest.java,0,0,0,0,0,0
core/tests/coretests/src/android/view/menu/MenuLayoutLandscape.java,0,0,0,0,0,0
services/tests/servicestests/src/com/android/server/locksettings/RebootEscrowManagerTests.java,2,18,1182,9,18,1052
tests/UiBench/src/com/android/test/uibench/TextUtils.java,4,4,262,0,0,0
core/java/android/os/TestLooperManager.java,2,2,217,0,0,0
core/java/android/transition/Scene.java,7,15,120,6,9,65
core/java/android/hardware/sidekick/SidekickInternal.java,1,1,56,0,0,0
core/java/android/os/HwBlob.java,6,18,1008,8,16,997
tests/appwidgets/AppWidgetHostTest/src/com/android/tests/appwidgethost/AppWidgetHostActivity.java,3,3,216,0,0,0
media/java/android/media/tv/tuner/frontend/AnalogFrontendSettings.java,4,12,463,6,7,150
telephony/java/android/telephony/ImsiEncryptionInfo.java,4,10,418,4,7,342
core/java/android/net/MailTo.java,3,5,520,0,0,0
services/core/java/com/android/server/net/NetworkStatsFactory.java,8,29,645,13,36,1443
core/java/android/database/sqlite/SQLiteCustomFunction.java,5,13,98,5,11,40
core/tests/coretests/src/android/widget/EditorCursorTest.java,2,5,522,3,3,508
media/java/android/media/metrics/PlaybackSession.java,1,13,144,2,13,144
core/java/android/util/apk/SignatureInfo.java,2,2,62,2,2,62
services/core/java/com/android/server/hdmi/WorkSourceUidPreservingRunnable.java,1,1,45,1,1,45
services/core/java/com/android/server/hdmi/DelayedMessageBuffer.java,4,8,203,5,6,195
core/tests/coretests/src/android/widget/layout/linear/LLOfButtons2.java,1,1,1,0,0,0
tests/AccessibilityEventsLogger/src/com/android/tests/accessibilityeventlogger/AELogger.java,0,0,0,0,0,0
telephony/common/com/google/android/mms/pdu/CharacterSets.java,3,5,176,2,4,174
core/tests/coretests/src/android/view/BitmapDrawable.java,1,1,13,0,0,0
core/java/android/companion/CompanionDeviceService.java,1,1,116,1,1,116
core/java/android/content/pm/SigningInfo.java,2,2,141,2,2,141
core/java/com/android/internal/app/AlertController.java,24,69,4775,20,29,855
core/tests/coretests/src/android/view/VelocityTest.java,4,4,39,1,1,19
identity/java/android/security/identity/AccessControlProfile.java,1,1,131,1,1,131
media/mca/tests/src/android/camera/mediaeffects/tests/functional/EffectsVideoCapture.java,1,1,90,0,0,0
packages/SettingsLib/Tile/src/com/android/settingslib/drawer/ActivityTile.java,1,3,107,1,3,107
packages/SystemUI/plugin/src/com/android/systemui/plugins/GlobalActionsPanelPlugin.java,1,4,118,2,2,22
services/core/java/com/android/server/media/MediaSessionService.java,32,235,16167,113,161,12619
core/java/android/app/timedetector/TimeDetectorImpl.java,3,9,141,5,9,141
services/tests/servicestests/src/com/android/server/pm/ModuleInfoProviderTest.java,3,5,128,3,5,58
services/core/java/com/android/server/wm/ActivityStartController.java,14,50,745,36,52,638
core/java/android/view/Window.java,64,207,6670,85,103,1721
packages/WallpaperBackup/test/src/com/android/wallpaperbackup/WallpaperBackupAgentTest.java,0,0,0,0,0,0
tests/HwAccelerationTest/src/com/android/test/hwui/Bitmaps3dActivity.java,1,1,74,0,0,0
core/java/android/widget/ResourceCursorAdapter.java,6,13,418,1,1,41
services/tests/uiservicestests/src/com/android/server/notification/VibratorHelperTest.java,2,3,135,1,1,12
core/java/com/android/internal/policy/DockedDividerUtils.java,4,10,498,3,4,175
lowpan/java/android/net/lowpan/LowpanProperties.java,2,4,323,0,0,0
core/tests/coretests/src/android/app/activity/SearchableActivity.java,0,0,0,0,0,0
services/tests/uiservicestests/src/com/android/server/notification/VisibilityExtractorTest.java,1,1,246,0,0,0
services/core/java/com/android/server/location/provider/LocationProviderManager.java,8,46,1105,35,40,903
keystore/java/android/security/KeyChainAliasCallback.java,3,3,10,1,1,4
media/java/android/media/AudioRecordingMonitor.java,1,1,56,1,1,56
services/core/java/com/android/server/hdmi/RoutingControlAction.java,4,21,549,7,8,122
services/core/java/com/android/server/pm/ShortcutPackage.java,14,114,7289,49,72,4979
media/java/android/media/Metadata.java,13,23,1367,3,5,49
core/java/android/bluetooth/BluetoothProfileConnector.java,5,10,428,7,10,740
core/tests/coretests/src/com/android/internal/os/DebugTest.java,3,3,78,1,1,8
media/mca/filterpacks/java/android/filterpacks/imageproc/FillLightFilter.java,2,2,144,0,0,0
wifi/java/src/android/net/wifi/SoftApConfToXmlMigrationUtil.java,0,0,0,0,0,0
services/robotests/backup/src/com/android/commands/bu/AdbBackupTest.java,0,0,0,0,0,0
core/tests/coretests/src/android/text/SpannableStringBuilderTest.java,4,6,69,3,3,42
core/tests/coretests/src/android/view/menu/MenuWith1ItemTest.java,2,2,17,0,0,0
packages/SettingsProvider/src/android/provider/settings/validators/InclusiveIntegerRangeValidator.java,1,1,3,0,0,0
core/tests/benchmarks/src/com/android/internal/util/IndentingPrintWriterBenchmark.java,3,3,169,2,2,17
services/core/java/com/android/server/wm/TaskDisplayArea.java,33,139,5169,96,133,5176
core/java/android/service/autofill/SaveRequest.java,6,9,152,4,4,21
services/core/java/com/android/server/net/NetworkStatsObservers.java,7,10,635,9,13,623
core/java/com/android/internal/app/ToolbarActionBar.java,9,29,1019,8,11,188
packages/SystemUI/tests/src/com/android/systemui/media/dialog/MediaOutputGroupAdapterTest.java,3,4,506,3,4,506
core/tests/coretests/src/android/widget/gridview/GridPaddingTest.java,1,1,3,0,0,0
libs/WindowManager/Shell/src/com/android/wm/shell/compatui/CompatUI.java,1,1,32,1,1,32
services/core/java/com/android/server/locksettings/LockSettingsStorage.java,13,31,779,21,29,721
tests/BiDiTests/src/com/android/bidi/BiDiTestRelativeLayout2Rtl.java,1,1,33,0,0,0
services/core/java/com/android/server/net/watchlist/HarmfulDigests.java,1,1,55,1,1,55
core/java/com/android/internal/widget/LockPatternChecker.java,11,16,673,9,13,578
packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,83,350,5924,208,258,5146
services/core/java/com/android/server/textclassifier/TextClassificationManagerService.java,9,45,4097,26,36,3770
tests/HwAccelerationTest/src/com/android/test/hwui/ViewLayersActivity2.java,2,3,113,1,1,2
core/java/android/os/storage/DiskInfo.java,6,26,350,13,26,358
packages/BackupEncryption/test/robolectric/src/com/android/server/backup/encryption/keys/RecoverableKeyStoreSecondaryKeyManagerTest.java,0,0,0,0,0,0
services/tests/servicestests/src/com/android/server/pm/CrossProfileAppsServiceImplTest.java,10,16,455,7,10,310
location/java/android/location/GnssMeasurement.java,11,38,3682,32,35,3822
packages/SystemUI/src/com/android/systemui/statusbar/phone/ExpandableIndicator.java,5,6,90,5,5,89
packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/logging/NotificationLoggerTest.java,10,24,306,8,11,230
core/java/android/util/Range.java,5,7,387,7,7,447
packages/SystemUI/src/com/android/systemui/statusbar/notification/row/ExpandableView.java,10,37,536,16,24,366
packages/SystemUI/src/com/android/systemui/statusbar/policy/NextAlarmControllerImpl.java,5,7,145,3,3,45
core/java/com/android/ims/internal/uce/presence/PresSipResponse.java,5,11,203,6,13,239
services/core/java/com/android/server/hdmi/HdmiCecController.java,14,85,4031,36,41,1889
core/java/android/service/contentcapture/ContentCaptureServiceInfo.java,1,2,172,1,2,172
services/tests/servicestests/src/com/android/server/inputmethod/InputMethodSubtypeSwitchingControllerTest.java,1,3,213,2,2,195
tests/Camera2Tests/SmartCamera/SimpleCamera/src/androidx/media/filterfw/SobelFilter.java,1,1,174,1,1,174
core/java/com/android/internal/os/AppIdToPackageMap.java,2,2,91,1,1,12
core/java/android/nfc/NdefRecord.java,21,43,1869,13,19,123
packages/SettingsLib/ActionButtonsPreference/src/com/android/settingslib/widget/ActionButtonsPreference.java,3,5,586,4,4,681
core/java/com/android/internal/app/ResolverListAdapter.java,8,31,1233,12,25,2021
core/tests/coretests/src/android/text/SpannableStringNoCopyTest.java,2,3,172,3,3,330
media/mca/filterfw/java/android/filterfw/format/ImageFormat.java,5,8,112,2,5,14
core/tests/coretests/src/android/view/WindowInfoTest.java,4,4,149,4,4,149
test-base/src/android/test/suitebuilder/annotation/Smoke.java,1,1,2,1,1,2
tests/GamePerformance/src/android/gameperformance/CustomOpenGLView.java,1,2,182,3,3,273
tools/locked_region_code_injection/src/lockedregioncodeinjection/Utils.java,2,3,94,1,1,2
packages/SystemUI/tests/src/com/android/systemui/globalactions/GlobalActionsLayoutTest.java,1,1,303,0,0,0
packages/SettingsLib/SettingsSpinner/src/com/android/settingslib/widget/SettingsSpinnerPreference.java,1,3,175,3,3,175
core/java/com/android/internal/app/NavItemSelectedListener.java,1,2,92,0,0,0
services/core/java/com/android/server/utils/SnapshotCache.java,1,4,208,2,4,208
services/core/java/com/android/server/wm/SplashScreenStartingData.java,5,10,108,5,7,87
services/tests/servicestests/src/com/android/server/am/AnrHelperTest.java,2,4,123,4,4,123
tests/CameraPrewarmTest/src/com/google/android/test/cameraprewarm/SecureCameraActivity.java,1,2,38,2,2,38
tests/ActivityTests/src/com/google/android/test/activity/AlarmSpamReceiver.java,1,1,31,0,0,0
core/tests/coretests/src/android/app/activity/SetTimeZonePermissionsTest.java,1,1,3,0,0,0
core/java/android/service/restrictions/RestrictionsReceiver.java,3,3,88,1,1,86
services/backup/java/com/android/server/backup/ProcessedPackagesJournal.java,2,4,15,3,4,15
media/java/android/media/midi/MidiDeviceService.java,1,7,171,2,2,15
core/tests/bluetoothtests/src/android/bluetooth/BluetoothCodecStatusTest.java,1,2,936,2,4,1872
core/tests/coretests/src/android/widget/focus/ListWithFooterViewAndNewLabelsTest.java,1,1,5,0,0,0
media/mca/effect/java/android/media/effect/SizeChangeEffect.java,2,2,71,0,0,0
location/lib/java/com/android/location/provider/ActivityRecognitionProvider.java,4,8,452,3,4,28
keystore/java/android/security/keystore2/AndroidKeyStoreSpi.java,6,18,2270,8,11,2206
packages/SystemUI/src/com/android/systemui/doze/DozeMachine.java,9,47,831,16,22,235
telephony/java/android/telephony/ims/stub/RcsCapabilityExchangeImplBase.java,1,14,807,10,12,634
