filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
packages/SystemUI/src/com/android/keyguard/dagger/KeyguardStatusViewComponent.java,3,5,49,3,3,45
core/tests/hosttests/test-apps/MultiDexLegacyTestServices/src/com/android/framework/multidexlegacytestservices/manymethods/Big024.java,1,1,4020,0,0,0
core/java/android/service/wallpaper/WallpaperService.java,49,213,6947,81,114,1790
core/java/android/net/sntp/Duration64.java,1,4,286,1,4,286
packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/render/GroupExpansionManager.java,1,1,66,0,0,0
core/java/com/android/internal/app/procstats/PssTable.java,6,9,330,3,6,218
media/java/android/media/AudioMetadataMap.java,1,1,59,1,1,59
core/java/android/net/vcn/VcnCellUnderlyingNetworkTemplate.java,2,5,520,4,6,604
core/java/android/util/proto/ProtoOutputStream.java,11,17,3679,8,11,693
packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/NotifInflaterImpl.java,5,13,331,4,5,71
services/core/java/com/android/server/notification/VibratorHelper.java,1,9,436,3,4,32
telephony/java/android/telephony/ims/SipDelegateConnection.java,1,7,164,5,7,164
core/tests/coretests/src/android/os/LocaleListTest.java,1,1,7,0,0,0
media/packages/BluetoothMidiService/tests/unit/src/com/android/bluetoothmidiservice/BluetoothMidiEncoderTest.java,2,4,520,4,8,1496
packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/coordinator/DeviceProvisionedCoordinator.java,4,8,132,4,8,127
services/systemcaptions/java/com/android/server/systemcaptions/SystemCaptionsManagerService.java,2,4,128,4,8,140
core/java/android/hardware/location/ContextHubTransaction.java,4,17,678,4,16,670
services/core/java/com/android/server/pm/SharedUidMigration.java,2,5,149,2,4,135
core/java/android/view/CutoutSpecification.java,3,4,656,3,3,634
core/tests/coretests/src/com/android/internal/power/MeasuredEnergyStatsTest.java,3,16,2413,14,21,3679
packages/SystemUI/src/com/android/systemui/ExpandHelper.java,14,71,3362,31,42,1543
packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/HeadsetProfileTest.java,6,9,138,7,9,142
opengl/java/android/opengl/GLES11Ext.java,6,9,3408,1,1,4
core/java/android/text/SpannableStringInternal.java,15,29,1739,14,22,608
packages/SettingsLib/src/com/android/settingslib/drawer/CategoryKey.java,10,21,119,20,22,124
services/core/java/com/android/server/wm/DisplayFrames.java,8,19,509,12,22,550
services/core/java/com/android/server/vcn/routeselection/UnderlyingNetworkController.java,2,7,429,3,6,360
telecomm/java/android/telecom/PhoneAccountHandle.java,12,34,373,16,29,336
opengl/java/com/google/android/gles_jni/GLImpl.java,10,22,6788,2,5,17
services/core/java/com/android/server/audio/SettingsAdapter.java,1,1,92,1,1,92
packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothDeviceFilter.java,3,3,193,4,4,209
apct-tests/perftests/core/src/android/database/CrossProcessCursorPerfTest.java,1,1,89,1,1,89
apex/jobscheduler/service/java/com/android/server/alarm/BatchingAlarmStore.java,1,6,514,5,7,550
services/core/java/com/android/server/timezonedetector/DeviceActivityMonitorImpl.java,1,1,94,1,1,94
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/SplitController.java,8,45,2580,23,33,2256
core/java/android/text/style/SpellCheckSpan.java,4,8,94,3,5,24
core/java/com/android/internal/widget/ToolbarWidgetWrapper.java,6,23,988,6,6,147
services/backup/java/com/android/server/backup/remote/RemoteResult.java,1,2,127,2,2,22
graphics/java/android/graphics/BitmapRegionDecoder.java,9,24,1598,11,16,1243
services/usb/java/com/android/server/usb/descriptors/UsbACMidi20Endpoint.java,1,1,67,2,2,134
telephony/java/android/telephony/data/EpsBearerQosSessionAttributes.java,3,5,281,6,7,311
core/java/com/android/ims/internal/uce/presence/PresRlmiInfo.java,4,11,107,4,9,103
media/tests/MediaFrameworkTest/src/com/android/mediaframeworktest/unit/AudioAttributesUnitTest.java,1,1,81,1,1,81
core/tests/coretests/src/android/view/DrawableBgMinSize.java,2,2,17,1,1,12
core/java/android/os/ConditionVariable.java,4,6,441,0,0,0
media/tests/MediaFrameworkTest/src/com/android/mediaframeworktest/unit/MediaRecorderResetStateUnitTest.java,2,8,220,0,0,0
media/tests/MediaFrameworkTest/src/com/android/mediaframeworktest/functional/camera/CameraFunctionalTest.java,3,3,269,1,1,255
services/autofill/java/com/android/server/autofill/ui/AutoFillUI.java,9,61,1420,30,31,855
services/core/java/com/android/server/biometrics/sensors/HalClientMonitor.java,2,7,176,4,11,252
core/java/android/window/WindowProvider.java,1,1,39,0,0,0
media/java/android/media/tv/tuner/filter/FilterCallback.java,1,2,47,1,1,5
