filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
libs/WindowManager/Shell/src/com/android/wm/shell/hnmultiwindow/multiwincover/HnMultiWindowAnimation.java,2,5,360,0,0,0
services/companion/java/com/android/server/companion/datatransfer/contextsync/CrossDeviceCall.java,1,9,547,7,10,597
media/java/android/media/WebVttRenderer.java,7,16,2034,6,8,1145
frameworks/base/core/java/com/XXXX/android/telephony/XXTelephonyManagerCustEx.java,0,0,0,0,0,0
services/core/java/com/android/server/pm/pkg/PackageUserStateDefault.java,5,7,220,4,4,181
frameworks/base/core/java/com/XXXX/android/redb/SQLiteDirectCursorDriver.java,0,0,0,0,0,0
core/java/com/android/internal/alsa/AlsaCardsParser.java,2,5,298,3,3,290
frameworks/XXCommInterface/base/services/core/java/com/android/server/wm/XXAppTransitionDummy.java,0,0,0,0,0,0
grapXXcs/java/android/grapXXcs/ParcelableColorSpace.java,1,4,231,2,3,188
frameworks/base/packages/XXWifiNetworkService/WiFiEnhance/service/java/com/XXXX/server/wifienhance/game/XXXXDataJniAdapter.java,0,0,0,0,0,0
core/java/com/android/internal/widget/CXXldHelper.java,1,1,538,0,0,0
packages/SystemUI/src/com/android/systemui/statusbar/phone/TapAgainView.java,1,6,384,1,6,384
services/core/java/com/android/server/location/injector/EmergencyHelper.java,1,1,29,1,1,29
frameworks/base/services/java/XXXX/com/XXXX/server/rme/hyperhold/ParaConfig.java,0,0,0,0,0,0
frameworks/XXCommInterface/base/core/java/android/XXclipboarddelayread/XXClipboardReadDelayerDummy.java,0,0,0,0,0,0
packages/SystemUI/src/com/android/systemui/GuestSessionNotification.java,1,6,530,1,5,401
services/core/java/com/android/server/pm/InstallSource.java,8,13,706,7,11,633
core/java/android/widget/TextView.java,170,1320,80515,429,576,19110
core/java/android/content/ContextParams.java,2,11,427,3,5,152
core/java/android/content/pm/parsing/ApkLiteParseUtils.java,22,69,3915,33,51,3529
services/core/java/com/android/server/grapXXcs/fonts/FontManagerShellCommand.java,3,19,1083,15,24,1114
frameworks/base/core/java/com/XXXX/android/os/SystemPropertiesEx.java,0,0,0,0,0,0
identity/java/android/security/identity/CredstoreWritableIdentityCredential.java,2,6,200,4,6,200
frameworks/XXCommInterface/base/services/core/java/com/XXXX/server/policy/IXXPhoneWindowManagerEx.java,0,0,0,0,0,0
frameworks/base/core/java/com/XXXX/trustedtXXngsauth/MonitorServiceTask.java,0,0,0,0,0,0
