filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
frameworks/base/services/java/XXXX/com/XXXX/server/security/permissionmanager/MinimumPermissionDbAdapter.java,0,0,0,0,0,0
frameworks/XXCommInterface/base/services/core/java/com/android/server/am/BroadcastQueueExUtils.java,0,0,0,0,0,0
frameworks/base/core/java/com/XXXX/android/pgmng/plug/BackLightAdjCfg.java,0,0,0,0,0,0
frameworks/base/packages/XXWifiNetworkService/XXWifiProFullFeature/com/XXXX/XXwifiproservice/wifipro/dual-band-handover/WifiProXXstoryRcdUtils.java,0,0,0,0,0,0
core/java/com/android/internal/logging/AndroidHandler.java,5,11,762,1,1,29
packages/SystemUI/src/com/android/systemui/screenrecord/Events.java,1,1,45,0,0,0
packages/services/HnSystemServer/app/src/splits/booster/src/com/XXXX/systemserver/booster/ollie/service/collie/fusioncall/commdata/FusionCallVoiceTxRtcpInd.java,0,0,0,0,0,0
packages/services/HnSystemServer/app/src/splits/booster/src/com/XXXX/systemserver/booster/ollie/service/qoe/NetworkQoeMonitor.java,0,0,0,0,0,0
core/java/android/widget/ImageButton.java,10,18,323,1,1,10
core/java/com/android/internal/util/XmlSerializerWrapper.java,1,2,142,1,2,142
packages/services/HnSystemServer/app/src/splits/inputaccessory/src/com/XXXX/pogopinmanager/maintenance/LogFileDataRequest.java,0,0,0,0,0,0
services/core/java/com/android/server/wm/utils/InsetUtils.java,2,3,94,1,1,27
services/core/java/com/android/server/pm/PackageInstallerService.java,71,324,7410,155,253,5802
packages/services/HnSystemServer/app/src/splits/XXcom/src/com/XXXX/systemserver/emcom/nearfieldonehop/hmtpsdk/src/java/com/XXXX/hmtpsdk/HmtpFileDescriptorCallBack.java,0,0,0,0,0,0
telephony/java/android/telephony/data/Qos.java,3,11,477,3,9,469
frameworks/base/core/java/com/XXXX/android/telephony/dataconnection/DcFailCauseEx.java,0,0,0,0,0,0
frameworks/XXCommInterface/base/core/java/android/rms/IXXAppInnerBoost.java,0,0,0,0,0,0
core/java/android/window/WindowProvider.java,1,1,39,0,0,0
frameworks/base/services/core/java/com/XXXX/fingersense/IHnSystemWideActionsListenerEx.java,0,0,0,0,0,0
frameworks/base/services/java/XXXX/com/android/server/wm/HnFreeformState.java,0,0,0,0,0,0
packages/SystemUI/src/com/android/systemui/dreams/complication/ComplicationViewModelTransformer.java,1,1,56,1,1,56
packages/SystemUI/src/com/android/systemui/battery/BatteryMeterViewController.java,1,9,295,1,7,283
apex/jobscheduler/service/java/com/android/server/alarm/MetricsHelper.java,1,5,174,5,7,384
frameworks/base/services/java/XXXX/com/android/server/rms/iaware/feature/PreloadResourceFeature.java,0,0,0,0,0,0
services/core/java/com/android/server/pm/dex/ArtStatsLogUtils.java,5,16,1047,6,16,1047
frameworks/XXCommInterface/base/services/core/java/com/XXXX/server/pm/IXXPackageManagerServiceEx.java,0,0,0,0,0,0
packages/SystemUI/src/com/android/systemui/statusbar/notification/row/BindStage.java,1,3,118,3,3,118
libs/WindowManager/Shell/src/com/android/wm/shell/pip/phone/PipFastDeleteHandler.java,1,2,399,0,0,0
core/java/android/app/BackStackRecord.java,12,70,5298,12,12,257
core/java/android/view/autofill/AutofillPopupWindow.java,6,14,519,8,8,147
packages/SettingsLib/CollapsingToolbarBaseActivity/src/com/android/settingslib/collapsingtoolbar/CollapsingToolbarBaseFragment.java,3,7,343,5,5,180
frameworks/base/core/java/com/XXXX/android/util/XXNtpTrustedTimeEx.java,0,0,0,0,0,0
packages/SystemUI/src/com/android/systemui/dreams/SmartSpaceComplication.java,2,4,175,4,4,175
frameworks/base/core/java/com/XXXX/android/os/SystemVibrateEx.java,0,0,0,0,0,0
core/java/com/android/internal/os/WebViewZygoteInit.java,8,26,473,10,28,575
telephony/java/android/telephony/CallQuality.java,10,20,1033,9,17,1294
frameworks/base/core/java/com/XXXX/android/media/HnMediaMonitorAdapterEx.java,0,0,0,0,0,0
frameworks/base/services/java/XXXX/com/android/server/rms/iaware/dev/BleSchedFeatureRt.java,0,0,0,0,0,0
core/java/android/preference/PreferenceInflater.java,5,8,366,0,0,0
packages/SettingsLib/search/src/com/android/settingslib/search/Indexable.java,2,2,76,1,1,66
packages/SettingsProvider/src/com/android/providers/settings/HnDatabaseHelper.java,1,2,7,0,0,0
services/core/java/com/android/server/media/RemoteDisplayProviderProxy.java,1,1,3,0,0,0
frameworks/base/core/java/com/XXXX/coauth/pool/helper/AuthAttributesGetter.java,0,0,0,0,0,0
services/core/java/com/android/server/biometrics/sensors/face/aidl/FaceGetFeatureClient.java,2,6,232,4,7,102
packages/SettingsProvider/src/com/android/providers/settings/HnBackupHelper.java,9,13,59,0,0,0
libs/WindowManager/Shell/src/com/android/wm/shell/draganddrop/DragAndDropController.java,4,16,718,12,17,727
services/core/java/com/android/server/pm/ScanPartition.java,1,1,80,0,0,0
location/java/android/location/GpsMeasurement.java,6,16,3533,5,7,1434
media/java/android/media/ImageReader.java,15,66,3440,54,60,3216
libs/WindowManager/Shell/src/com/android/wm/shell/compatui/letterboxedu/LetterboxEduDialogLayout.java,1,9,229,4,8,228
services/core/java/com/android/server/wm/KeyguardDisableHandler.java,7,8,277,3,3,51
services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerServiceShellCommand.java,5,14,860,8,12,533
services/musicrecognition/java/com/android/server/musicrecognition/RemoteMusicRecognitionService.java,2,4,143,4,5,154
services/core/java/com/android/server/biometrics/sensors/LockoutConsumer.java,1,1,25,1,1,25
services/core/java/com/android/server/timezone/PackageTrackerIntentHelperImpl.java,0,0,0,0,0,0
core/java/android/content/Attributable.java,1,1,54,1,1,54
packages/SettingsLib/XXSettingsLibExt/src/com/XXXX/settingslib/widget/ToggleSwitch.java,1,3,123,0,0,0
frameworks/base/core/java/com/XXXX/displayengine/DisplayEngineDbManager.java,0,0,0,0,0,0
services/core/java/com/android/server/pm/dex/ArtPackageInfo.java,1,2,116,1,2,116
packages/SettingsLib/src/com/android/settingslib/net/DataUsageUtils.java,8,14,226,11,15,233
frameworks/base/core/java/android/view/HnMultiWindowImpl.java,0,0,0,0,0,0
core/java/android/hardware/usb/UsbManager.java,36,92,2850,50,71,2271
packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsGridLayout.java,3,13,558,2,2,116
frameworks/base/core/java/XXXX/android/XXgallerycache/XXGalleryCacheManagerImpl.java,0,0,0,0,0,0
services/core/java/com/android/server/role/package-info.java,1,1,22,1,1,22
core/java/android/widget/ExpandableListView.java,20,44,4180,7,10,53
core/java/android/view/accessibility/CaptioningManager.java,6,18,983,9,11,248
rs/java/android/renderscript/Float2.java,2,3,379,1,2,10
frameworks/base/core/java/com/XXXX/android/app/XXSdLockManager.java,0,0,0,0,0,0
core/java/android/net/vcn/VcnCellUnderlyingNetworkTemplate.java,2,5,520,4,6,604
packages/SystemUI/shared/src/com/android/systemui/shared/navigationbar/RegionSamplingHelper.java,3,4,109,1,1,9
core/java/android/gesture/GestureLibraries.java,6,7,384,1,1,85
packages/services/HnSystemServer/app/src/splits/booster/src/com/XXXX/systemserver/booster/ollie/service/dollie/common/AppQualityInfoManager.java,0,0,0,0,0,0
frameworks/base/core/java/com/XXXX/android/XXextdevice/XXExtDeviceData.java,0,0,0,0,0,0
frameworks/XXCommInterface/base/services/core/java/com/android/server/location/IXXLocationProviderInterface.java,0,0,0,0,0,0
frameworks/base/services/java/XXXX/com/android/server/rms/handler/XXSysResHandler.java,0,0,0,0,0,0
packages/services/HnSystemServer/app/src/splits/XXcom/src/com/XXXX/systemserver/emcom/policycenter/policycentercommon/msgmodel/SocketClosedRptMsgEntity.java,0,0,0,0,0,0
frameworks/XXcust/base/core/java/android/view/XXCustRenderThreadMonitor.java,0,0,0,0,0,0
core/java/android/util/DataUnit.java,1,3,54,2,3,54
media/java/android/media/tv/tuner/filter/DownloadSettings.java,3,10,289,9,9,205
core/java/android/view/translation/TranslationSpec.java,3,8,314,6,8,590
packages/services/HnSystemServer/app/src/splits/booster/src/com/XXXX/systemserver/booster/ollie/common/interface/IBoosterJniCallBack.java,0,0,0,0,0,0
frameworks/base/core/java/com/XXXX/android/telephony/CallManagerEx.java,0,0,0,0,0,0
frameworks/base/telephony/hap/java/com/android/internal/telephony/XXBaseInnerSmsManagerImpl.java,0,0,0,0,0,0
core/java/android/app/LoadedApk.java,84,246,7543,94,147,3569
packages/SettingsProvider/src/android/provider/settings/backup/SystemSettings.java,8,11,101,10,10,101
frameworks/base/core/java/com/XXXX/i18n/tmr/phonenumber/data/DERules.java,0,0,0,0,0,0
frameworks/base/core/java/XXXX/android/security/secai/hookcase/hook/BaseDexClassLoaderHook.java,0,0,0,0,0,0
services/core/java/com/android/server/updates/CarrierIdInstallReceiver.java,1,5,86,3,5,86
frameworks/base/core/java/com/XXXX/i18n/tmr/address/es/RegularExpression.java,0,0,0,0,0,0
services/usb/java/com/android/server/usb/descriptors/UsbConfigDescriptor.java,3,9,238,8,11,353
core/java/com/android/internal/jank/FrameTracker.java,7,33,1765,28,36,2190
packages/SystemUI/src/com/android/systemui/statusbar/AlphaOptimizedImageView.java,4,4,100,2,2,82
packages/SettingsLib/XXSettingsLibExt/src/com/XXXX/settingslib/preference/parser/DatabaseCondition.java,1,1,75,0,0,0
frameworks/base/services/core/java/com/android/server/magicwin/LocalConfig.java,0,0,0,0,0,0
packages/SettingsProvider/src/com/android/providers/settings/XXext/IHnProviderAPI.java,0,0,0,0,0,0
core/java/android/speech/tts/UtteranceProgressListener.java,5,11,226,6,7,66
core/java/android/database/sqlite/SQLiteCustomFunction.java,4,12,93,5,11,40
services/autofill/java/com/android/server/autofill/ui/AutoFillUI.java,13,65,1458,30,31,855
packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardPreviewContainer.java,3,3,73,1,1,70
core/java/android/webkit/UrlInterceptHandler.java,10,16,298,5,7,92
packages/SettingsProvider/src/com/android/providers/settings/XXext/backup/impl/EyeProtectionRestoreController.java,2,3,92,0,0,0
services/core/java/com/android/server/stats/pull/ProcfsMemoryUtil.java,2,3,43,3,3,43
packages/SystemUI/src/com/android/systemui/util/sensors/PostureDependentProximitySensor.java,1,3,135,1,1,109
frameworks/base/services/java/XXXX/com/android/server/pm/XXBackgroundDexOptServiceEx.java,0,0,0,0,0,0
core/java/android/widget/TableLayout.java,18,30,2456,2,2,7
packages/SettingsLib/XXSettingsLibExt/src/com/XXXX/settingslib/preference/parser/CXXnaAreaCondition.java,1,1,22,0,0,0
core/java/android/text/format/DateFormat.java,21,54,2766,23,34,524
core/java/android/webkit/URLUtil.java,17,31,1305,7,9,64
