filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
telephony/java/android/telephony/CbGeoUtils.java,5,11,263,5,7,217
core/tests/coretests/src/android/text/format/DateFormatTest.java,6,9,190,7,8,185
libs/WindowManager/Shell/src/com/android/wm/shell/pip/tv/TvPipNotificationController.java,5,8,367,8,9,682
core/tests/coretests/src/com/android/internal/os/KernelCpuUidBpfMapReaderTest.java,1,3,489,2,3,489
packages/SystemUI/src/com/android/systemui/dagger/qualifiers/Background.java,1,1,30,1,1,30
services/core/java/com/android/server/am/ErrorDialogController.java,3,4,311,4,4,311
packages/BackupEncryption/src/com/android/server/backup/encryption/chunk/ChunkHash.java,0,0,0,0,0,0
packages/BackupEncryption/src/com/android/server/backup/encryption/client/CryptoBackupServer.java,1,1,67,1,1,67
services/core/java/com/android/server/pm/pkg/component/ParsedPermissionImpl.java,1,1,44,2,2,88
core/tests/coretests/src/android/widget/layout/table/VerticalGravity.java,1,1,4,0,0,0
packages/SystemUI/src/com/android/systemui/statusbar/NotificationInsetsController.java,1,1,26,1,1,26
services/core/java/com/android/server/timezonedetector/DeviceActivityMonitor.java,1,1,40,1,1,40
apex/jobscheduler/framework/java/android/app/job/JobScheduler.java,3,12,136,9,13,149
rs/java/android/renderscript/Float2.java,2,3,379,1,2,10
telecomm/java/android/telecom/Call.java,32,164,4724,99,156,3460
media/mca/filterpacks/java/android/filterpacks/numeric/package-info.java,1,1,4,0,0,0
services/usb/java/com/android/server/usb/UsbSerialReader.java,6,9,178,3,4,23
core/java/android/content/SyncAdaptersCache.java,9,19,333,6,9,95
core/tests/hosttests/test-apps/MultiDexLegacyTestServices/src/com/android/framework/multidexlegacytestservices/Service4.java,1,1,24,0,0,0
core/java/android/view/translation/Helper.java,1,1,32,1,1,32
core/java/android/widget/RemoteViewsAdapter.java,20,81,6104,16,21,907
packages/SystemUI/shared/src/com/android/systemui/shared/recents/utilities/PreviewPositionHelper.java,6,12,438,4,6,309
core/java/android/util/ReflectiveProperty.java,1,2,165,0,0,0
core/tests/coretests/src/android/widget/listview/touch/ListGetSelectedViewTest.java,1,1,8,0,0,0
core/java/android/app/search/SearchTargetEvent.java,1,2,273,1,1,6
apct-tests/perftests/core/src/android/util/ArraySetPerfTest.java,2,3,250,3,3,457
