filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
services/tests/mockingservicestests/src/com/android/server/display/color/DisplayWhiteBalanceTintControllerTest.java,1,1,191,0,0,0
core/java/android/hardware/usb/DeviceFilter.java,1,2,335,1,1,313
packages/SystemUI/legacy/recents/src/com/android/systemui/recents/events/ui/dragndrop/DragEndCancelledEvent.java,0,0,0,0,0,0
packages/SystemUI/tests/src/com/android/systemui/util/AsyncSensorManagerTest.java,3,4,117,2,2,26
core/tests/coretests/src/android/widget/focus/AdjacentVerticalRectLists.java,1,1,5,0,0,0
core/tests/coretests/src/android/widget/TextViewTest.java,11,23,1171,12,13,615
core/tests/coretests/src/android/widget/gridview/GridPaddingTest.java,1,1,3,0,0,0
services/core/java/com/android/server/locksettings/recoverablekeystore/storage/RecoverableKeyStoreDbHelper.java,3,17,284,5,8,112
tests/net/java/com/android/server/net/NetworkStatsAccessTest.java,4,7,46,3,6,41
tests/notification/src/com/android/frameworks/tests/notification/NotificationTests.java,1,1,494,2,2,988
core/java/android/accounts/AccountAuthenticatorActivity.java,5,8,243,1,1,2
core/java/android/view/FrameMetricsObserver.java,4,6,97,3,4,19
tests/net/java/android/net/shared/IpConfigurationParcelableUtilTest.java,4,7,213,5,6,87
packages/PrintSpooler/src/com/android/printspooler/widget/EmbeddedContentContainer.java,1,1,45,0,0,0
core/tests/hosttests/test-apps/MultiDexLegacyTestApp/src/com/android/multidexlegacytestapp/manymethods/Big044.java,1,1,4020,0,0,0
media/tests/MediaFrameworkTest/src/com/android/mediaframeworktest/unit/SurfaceUtilsTest.java,1,1,44,1,1,44
core/java/android/app/ActivityOptions.java,29,98,4619,46,54,1481
media/java/android/media/TtmlRenderer.java,4,5,814,2,3,51
services/usb/java/com/android/server/usb/descriptors/Usb10ASFormatII.java,1,1,2,1,1,2
core/java/android/hardware/SensorEventListener2.java,1,3,34,2,2,21
core/java/android/util/MutableDouble.java,1,3,31,2,3,31
core/java/com/android/internal/util/omni/OmniUtils.java,1,2,124,0,0,0
services/core/java/com/android/server/wm/MirrorActiveUids.java,1,1,53,1,1,53
services/core/java/com/android/server/broadcastradio/hal2/BroadcastRadioService.java,2,10,338,7,10,440
tests/FrameworkPerf/src/com/android/frameworkperf/FrameworkPerfTest.java,1,1,41,0,0,0
core/tests/coretests/src/android/widget/layout/linear/WeightTest.java,2,2,8,0,0,0
test-base/src/junit/framework/TestCase.java,0,0,0,0,0,0
tests/ActivityManagerPerfTests/test-app/src/com/android/frameworks/perftests/amteststestapp/TestContentProvider.java,1,1,55,0,0,0
core/java/com/android/internal/os/KernelCpuSpeedReader.java,6,10,209,3,5,71
packages/SystemUI/src/com/android/systemui/classifier/AnglesClassifier.java,5,6,66,3,5,113
services/core/java/com/android/server/gpu/GpuService.java,3,8,568,3,3,64
media/tests/MediaFrameworkTest/src/com/android/mediaframeworktest/MediaFrameworkTest.java,7,11,594,1,1,12
packages/SettingsLib/tests/robotests/src/com/android/settingslib/license/LicenseHtmlLoaderCompatTest.java,4,5,243,4,4,142
packages/SettingsLib/tests/robotests/src/com/android/settingslib/utils/IconCacheTest.java,3,3,82,1,1,5
core/tests/coretests/src/com/android/internal/app/AbstractResolverComparatorTest.java,1,1,105,1,1,105
media/mca/effect/java/android/media/effect/SingleFilterEffect.java,3,4,105,1,2,4
core/tests/coretests/src/android/app/activity/RemoteSubActivityScreen.java,2,2,66,0,0,0
core/java/android/service/autofill/RequiredValidators.java,3,4,106,3,4,106
packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/CachedBluetoothDeviceTest.java,12,34,1669,25,38,1697
services/tests/wmtests/src/com/android/server/wm/WindowFrameTests.java,4,8,237,8,9,258
tests/AmSlam/src/test/amslam/subreceivers/PingReceiver004.java,1,1,21,1,1,21
apct-tests/perftests/core/src/android/text/CanvasDrawTextTest.java,2,2,75,1,1,70
services/robotests/src/com/android/server/location/GnssPositionModeTest.java,2,2,73,2,2,73
packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/row/wrapper/NotificationViewWrapperTest.java,1,1,3,0,0,0
tests/FlickerTests/lib/src/com/android/server/wm/flicker/WmTraceSubject.java,1,1,193,1,1,193
tests/benchmarks/src/com/android/server/net/NetworkStatsFactoryBenchmark.java,0,0,0,0,0,0
core/java/android/os/ServiceManagerNative.java,4,8,674,1,2,8
cmds/svc/src/com/android/commands/svc/PowerCommand.java,11,18,361,3,3,34
packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,22,94,2102,35,45,1183
core/tests/bluetoothtests/src/android/bluetooth/BluetoothCodecStatusTest.java,1,2,936,2,4,1872
tests/Camera2Tests/SmartCamera/SimpleCamera/src/androidx/media/filterfw/TransformUtils.java,1,1,78,1,1,78
core/tests/coretests/src/android/widget/focus/RequestFocusTest.java,5,7,445,1,1,6
core/java/android/app/ActivityManager.java,94,423,12384,172,208,4865
services/robotests/src/com/android/server/testing/shadows/ShadowAppBackupUtils.java,4,4,56,4,4,20
media/java/android/media/MediaDrmException.java,1,3,36,0,0,0
core/java/android/annotation/Condemned.java,1,1,44,1,1,44
core/tests/coretests/src/android/transition/SlideTransitionTest.java,2,2,178,0,0,0
core/java/android/content/PermissionChecker.java,3,6,1240,0,0,0
packages/PrintSpooler/src/com/android/printspooler/model/CustomPrinterIconCache.java,1,1,165,1,1,165
core/java/android/os/health/HealthStatsWriter.java,3,3,298,2,2,10
core/java/android/database/CursorWindowAllocationException.java,3,3,64,1,1,15
packages/SystemUI/src/com/android/systemui/power/EnhancedEstimatesImpl.java,3,6,43,4,4,33
tests/net/java/android/net/util/SharedLogTest.java,4,6,233,5,9,604
core/java/android/os/GraphicsEnvironment.java,9,75,3229,32,60,2649
media/java/android/media/audiopolicy/AudioMix.java,6,20,593,10,14,158
graphics/java/android/graphics/drawable/DrawableWrapper.java,9,28,1338,13,15,207
packages/DynamicSystemInstallationService/src/com/android/dynsystem/DynamicSystemInstallationService.java,1,1,15,1,1,15
core/tests/hosttests/test-apps/MultiDexLegacyTestServices/src/com/android/framework/multidexlegacytestservices/manymethods/Big039.java,1,1,4020,0,0,0
core/java/com/android/internal/app/procstats/ProcessState.java,7,26,1926,16,24,789
core/java/android/view/ThreadedRenderer.java,32,184,4109,96,113,2569
core/tests/coretests/src/android/view/InsetsSourceConsumerTest.java,4,7,130,4,5,100
core/java/android/util/StringBuilderPrinter.java,1,3,126,0,0,0
core/tests/coretests/src/android/widget/listview/ListOfItemsTallerThanScreen.java,0,0,0,0,0,0
packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/NetworkControllerWifiTest.java,8,28,784,13,15,588
opengl/java/android/opengl/GLDebugHelper.java,1,4,323,0,0,0
core/java/android/preference/RingtonePreference.java,9,14,778,4,5,14
core/tests/coretests/src/android/widget/AutoCompleteTextViewCallbacks.java,1,1,9,0,0,0
media/mca/filterfw/java/android/filterfw/geometry/Quad.java,2,3,108,1,2,14
packages/SystemUI/shared/src/com/android/systemui/shared/system/InputConsumerController.java,3,3,34,2,2,11
core/java/android/service/autofill/VisibilitySetterAction.java,2,4,186,4,4,17
apct-tests/perftests/utils/src/android/perftests/utils/SettingsStateManager.java,1,1,63,1,1,63
services/core/java/com/android/server/wm/HighRefreshRateBlacklist.java,3,6,195,2,4,20
packages/SystemUI/tests/src/com/android/systemui/statusbar/CommandQueueTest.java,8,18,535,7,9,194
core/java/android/inputmethodservice/ExtractButton.java,4,4,58,0,0,0
cmds/statsd/tools/loadtest/src/com/android/statsd/loadtest/MemoryDataRecorder.java,2,4,63,0,0,0
tests/SoundTriggerTests/src/android/hardware/soundtrigger/stubhal/GenericSoundModelTest.java,1,3,360,0,0,0
packages/SystemUI/plugin/src/com/android/systemui/plugins/qs/QSIconView.java,2,2,37,0,0,0
services/core/java/com/android/server/wm/WindowManagerShellCommand.java,11,13,666,9,11,442
core/java/android/bluetooth/BluetoothHidDevice.java,6,19,1790,8,18,1426
core/java/com/android/internal/widget/SwipeDismissLayout.java,9,23,844,12,14,435
packages/SystemUI/src/com/android/systemui/assist/AssistHandleLikeHomeBehavior.java,1,5,280,0,0,0
core/tests/coretests/src/android/app/activity/ActivityThreadTest.java,5,8,492,3,3,82
core/java/com/android/internal/os/HandlerCaller.java,12,26,867,4,5,46
rs/java/android/renderscript/ScriptIntrinsicResize.java,4,6,128,0,0,0
core/java/com/android/internal/util/BitUtils.java,5,13,387,3,6,187
tests/NativeProcessesMemoryTest/src/com/android/tests/nativeprocesses/NativeProcessesMemoryTest.java,1,3,293,4,4,527
tests/StatusBar/src/com/android/statusbartest/NotificationTestList.java,11,60,5386,22,25,1451
core/java/android/speech/SpeechRecognizer.java,7,9,52,3,4,52
core/java/android/app/usage/CacheQuotaService.java,1,1,112,1,1,112
core/java/android/service/attention/AttentionService.java,1,6,263,5,6,263
packages/SettingsProvider/test/src/com/android/providers/settings/BaseSettingsProviderTest.java,7,10,837,1,1,2
core/java/android/util/MapCollections.java,4,6,587,1,1,3
wifi/java/android/net/wifi/p2p/nsd/WifiP2pServiceResponse.java,5,7,427,3,3,26
packages/SettingsLib/src/com/android/settingslib/bluetooth/HeadsetProfile.java,11,16,367,14,15,367
core/java/android/widget/ThemedSpinnerAdapter.java,1,1,53,1,1,53
services/core/java/com/android/server/wm/SafeActivityOptions.java,1,1,11,0,0,0
services/core/java/com/android/server/MountServiceIdler.java,5,10,204,3,4,41
packages/SystemUI/src/com/android/systemui/statusbar/SysuiStatusBarStateController.java,1,2,136,2,2,136
core/java/android/transition/Rotate.java,0,0,0,0,0,0
core/java/android/util/UtilConfig.java,1,1,30,1,1,30
core/java/android/view/contentcapture/ContentCaptureHelper.java,2,5,176,4,4,152
tests/AmSlam/src/test/amslam/PongReceiver.java,1,1,52,1,1,52
packages/SystemUI/shared/src/com/android/systemui/shared/plugins/PluginInstanceManager.java,5,6,68,5,5,64
packages/PackageInstaller/src/com/android/packageinstaller/PackageInstalledNotificationUtils.java,1,1,347,1,1,347
packages/SystemUI/shared/src/com/android/systemui/shared/recents/view/RecentsTransition.java,3,4,187,1,2,137
apct-tests/perftests/core/src/android/widget/TextViewPrecomputedTextPerfTest.java,3,6,549,13,14,610
core/java/android/app/usage/EventStats.java,2,3,201,2,3,201
packages/PrintSpooler/src/com/android/printspooler/widget/PreviewPageFrame.java,3,3,135,0,0,0
telephony/java/android/telephony/PcoData.java,2,2,89,1,1,2
graphics/java/android/graphics/PathMeasure.java,9,11,522,1,1,3
core/java/android/hardware/location/GeofenceHardwareRequestParcelable.java,2,3,193,1,1,2
core/java/android/service/autofill/FillContext.java,5,11,289,4,4,93
core/tests/hosttests/test-apps/MultiDexLegacyTestServices/src/com/android/framework/multidexlegacytestservices/manymethods/Big048.java,1,1,4020,0,0,0
services/tests/wmtests/src/com/android/server/wm/RecentTasksTest.java,5,14,391,10,14,445
core/java/android/hardware/hdmi/HdmiControlManager.java,8,33,1004,23,26,669
services/core/java/com/android/server/timedetector/TimeDetectorStrategyCallbackImpl.java,1,4,225,1,4,225
core/java/com/android/internal/view/IInputConnectionWrapper.java,8,46,2205,20,32,782
core/java/android/os/strictmode/ExplicitGcViolation.java,2,3,59,2,3,59
core/tests/hosttests/test-apps/MultiDexLegacyTestApp/src/com/android/multidexlegacytestapp/manymethods/Big037.java,1,1,4020,0,0,0
tools/powermodel/src/com/android/powermodel/PowerProfile.java,1,1,527,0,0,0
core/java/android/text/format/DateUtils.java,20,50,6249,14,21,1227
packages/SystemUI/src/com/android/systemui/statusbar/policy/FlashlightController.java,5,18,1018,9,11,724
media/java/android/media/MediaCasStateException.java,1,2,146,0,0,0
core/java/android/content/Intent.java,167,577,27531,205,245,5226
core/tests/utiltests/src/com/android/internal/util/IndentingPrintWriterTest.java,0,0,0,0,0,0
core/java/com/android/internal/util/function/OctConsumer.java,1,1,28,1,1,28
core/tests/coretests/src/android/app/activity/LocalDeniedReceiver.java,0,0,0,0,0,0
test-mock/src/android/test/mock/MockAccountManager.java,1,2,238,1,2,238
core/java/com/android/internal/util/function/HexConsumer.java,1,1,28,0,0,0
services/core/java/com/android/server/connectivity/tethering/IPv6TetheringCoordinator.java,3,13,799,19,34,1435
packages/SystemUI/src/com/android/systemui/classifier/GestureClassifier.java,1,2,34,0,0,0
tools/preload/PrintCsv.java,5,8,795,0,0,0
media/tests/MediaFrameworkTest/src/com/android/mediaframeworktest/unit/RangeTest.java,2,2,179,3,3,183
services/core/java/com/android/server/MmsServiceBroker.java,12,27,1009,4,9,99
core/tests/utiltests/src/com/android/internal/util/test/FakeSettingsProviderTest.java,0,0,0,0,0,0
services/core/java/com/android/server/connectivity/PermissionMonitor.java,12,30,1459,15,26,1520
services/tests/wmtests/src/com/android/server/wm/AppTransitionControllerTest.java,3,5,53,4,5,53
core/java/android/animation/ArgbEvaluator.java,5,6,67,1,2,6
services/tests/uiservicestests/src/com/android/server/slice/SliceManagerServiceTest.java,4,12,260,8,8,197
packages/SystemUI/legacy/recents/src/com/android/systemui/recents/utilities/Utilities.java,1,1,339,0,0,0
services/net/java/android/net/ip/RouterAdvertisementDaemon.java,7,15,1049,12,17,1076
tests/Compatibility/src/com/android/compatibilitytest/AppCompatibilityRunner.java,3,3,56,1,1,19
packages/SystemUI/src/com/android/systemui/statusbar/policy/NextAlarmControllerImpl.java,2,3,94,0,0,0
core/java/android/bluetooth/BluetoothPan.java,14,31,1426,9,12,563
tests/Camera2Tests/SmartCamera/SimpleCamera/src/androidx/media/filterfw/ViewFilter.java,1,1,159,1,1,159
core/java/android/net/metrics/WakeupEvent.java,1,5,109,4,7,177
core/tests/hosttests/test-apps/MultiDexLegacyTestApp/src/com/android/multidexlegacytestapp/manymethods/Big045.java,1,1,4020,0,0,0
tests/Camera2Tests/SmartCamera/SimpleCamera/src/androidx/media/filterfw/TextViewTarget.java,1,1,66,1,1,66
core/java/android/view/inputmethod/CursorAnchorInfo.java,2,16,1316,3,3,193
