,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,d6f4bfa678c9f1161aae6ccf3299581eaa95a771,services/tests/servicestests/src/com/android/server/audio/AudioDeviceBrokerTest.java,[],2,1,"[(76, 77, 2)]"
1,d6f4bfa678c9f1161aae6ccf3299581eaa95a771,services/tests/servicestests/src/com/android/server/audio/SpatializerHelperTest.java,[],33,6,"[(18, 19, 2), (29, 29, 1), (58, 58, 1), (0, 0, 0), (95, 121, 27), (131, 132, 2)]"
2,d6f4bfa678c9f1161aae6ccf3299581eaa95a771,services/core/java/com/android/server/notification/SnoozeHelper.java,[],1,1,"[(121, 121, 1)]"
3,d6f4bfa678c9f1161aae6ccf3299581eaa95a771,services/core/java/com/android/server/audio/SpatializerHelper.java,[],313,23,"[(101, 107, 7), (163, 184, 22), (291, 294, 4), (334, 334, 1), (375, 376, 2), (523, 524, 2), (547, 569, 23), (583, 586, 4), (601, 605, 5), (614, 615, 2), (630, 643, 14), (652, 672, 21), (681, 681, 1), (687, 690, 4), (733, 742, 10), (1140, 1142, 3), (1148, 1159, 12), (1173, 1174, 2), (1187, 1194, 8), (1205, 1207, 3), (1546, 1683, 138), (1705, 1713, 9), (1780, 1795, 16)]"
4,d6f4bfa678c9f1161aae6ccf3299581eaa95a771,services/core/java/com/android/server/audio/AudioDeviceInventory.java,[],12,2,"[(1197, 1198, 2), (1571, 1580, 10)]"
5,d6f4bfa678c9f1161aae6ccf3299581eaa95a771,services/core/java/com/android/server/audio/AudioService.java,[],24,4,"[(1020, 1027, 8), (1214, 1215, 2), (8903, 8910, 8), (9900, 9905, 6)]"
6,d6f4bfa678c9f1161aae6ccf3299581eaa95a771,services/core/java/com/android/server/audio/AudioDeviceBroker.java,[],1,1,"[(1663, 1663, 1)]"
7,6c7095e544d7681cf5325fb042cc1a39f4f9d05a,core/java/android/service/dreams/DreamService.java,[],1,1,"[(16, 16, 1)]"
8,6c7095e544d7681cf5325fb042cc1a39f4f9d05a,services/core/java/com/android/server/pm/UserManagerService.java,[],5,1,"[(4104, 4108, 5)]"
9,6c7095e544d7681cf5325fb042cc1a39f4f9d05a,packages/SystemUI/tests/src/com/android/keyguard/KeyguardSecurityContainerControllerTest.java,[],11,1,"[(210, 220, 11)]"
10,6c7095e544d7681cf5325fb042cc1a39f4f9d05a,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityContainerController.java,[],60,5,"[(334, 360, 27), (385, 389, 5), (409, 413, 5), (1084, 1096, 13), (1100, 1109, 10)]"
11,735ab084f19a936dd259c0f9a51b6f7abc4fa19c,packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,[],1,2,"[(0, 0, 0), (1979, 1979, 1)]"
12,735ab084f19a936dd259c0f9a51b6f7abc4fa19c,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/NotificationGutsManager.java,[],0,1,"[(0, 0, 0)]"
13,735ab084f19a936dd259c0f9a51b6f7abc4fa19c,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/row/NotificationGutsManagerTest.java,[],1,1,"[(148, 148, 1)]"
14,735ab084f19a936dd259c0f9a51b6f7abc4fa19c,packages/SystemUI/src/com/android/systemui/statusbar/notification/dagger/NotificationsModule.java,[],1,2,"[(0, 0, 0), (92, 92, 1)]"
15,735ab084f19a936dd259c0f9a51b6f7abc4fa19c,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/NotificationConversationInfo.java,[],2,1,"[(157, 158, 2)]"
16,3ba362dbbaa1d6319de0e8ffff03c0acbe76d9f9,packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java,[],4,2,"[(193, 193, 1), (525, 527, 3)]"
17,7e0b40ee7d0b4239a1becaf6f8b01693463a65e8,packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java,[],29,4,"[(177, 187, 11), (506, 517, 12), (528, 530, 3), (537, 539, 3)]"
18,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/src/com/android/keyguard/KeyguardInputViewController.java,[],1,1,"[(54, 54, 1)]"
19,840a15b39fd720a077e075bb494f9d38f8f0aa08,core/java/com/android/internal/app/ChooserActivity.java,[],8,1,"[(19, 26, 8)]"
20,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityContainer.java,[],6,1,"[(254, 259, 6)]"
