,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,852a3628b28a69cea650da6ea8778c0a7599fb38,services/core/java/com/android/server/audio/AudioDeviceBroker.java,[],1,1,"[(1663, 1663, 1)]"
1,852a3628b28a69cea650da6ea8778c0a7599fb38,services/tests/servicestests/src/com/android/server/audio/AudioDeviceBrokerTest.java,[],2,1,"[(76, 77, 2)]"
2,852a3628b28a69cea650da6ea8778c0a7599fb38,services/tests/servicestests/src/com/android/server/audio/SpatializerHelperTest.java,[],33,6,"[(18, 19, 2), (29, 29, 1), (58, 58, 1), (0, 0, 0), (95, 121, 27), (131, 132, 2)]"
3,852a3628b28a69cea650da6ea8778c0a7599fb38,services/core/java/com/android/server/audio/AudioDeviceInventory.java,[],12,2,"[(1197, 1198, 2), (1571, 1580, 10)]"
4,852a3628b28a69cea650da6ea8778c0a7599fb38,services/core/java/com/android/server/audio/SpatializerHelper.java,[],313,23,"[(101, 107, 7), (163, 184, 22), (291, 294, 4), (334, 334, 1), (375, 376, 2), (523, 524, 2), (547, 569, 23), (583, 586, 4), (601, 605, 5), (614, 615, 2), (630, 643, 14), (652, 672, 21), (681, 681, 1), (687, 690, 4), (733, 742, 10), (1140, 1142, 3), (1148, 1159, 12), (1173, 1174, 2), (1187, 1194, 8), (1205, 1207, 3), (1546, 1683, 138), (1705, 1713, 9), (1780, 1795, 16)]"
5,852a3628b28a69cea650da6ea8778c0a7599fb38,services/core/java/com/android/server/audio/AudioService.java,[],24,4,"[(1019, 1026, 8), (1213, 1214, 2), (8922, 8929, 8), (9919, 9924, 6)]"
6,852a3628b28a69cea650da6ea8778c0a7599fb38,services/core/java/com/android/server/notification/SnoozeHelper.java,[],1,1,"[(121, 121, 1)]"
7,f1b360b81a979157d338af89579ab4e0e9a72e80,services/core/java/com/android/server/pm/UserManagerService.java,[],5,1,"[(4098, 4102, 5)]"
8,f1b360b81a979157d338af89579ab4e0e9a72e80,core/java/android/service/dreams/DreamService.java,[],1,1,"[(16, 16, 1)]"
9,f1b360b81a979157d338af89579ab4e0e9a72e80,packages/SystemUI/tests/src/com/android/keyguard/KeyguardSecurityContainerControllerTest.java,[],11,1,"[(210, 220, 11)]"
10,f1b360b81a979157d338af89579ab4e0e9a72e80,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityContainerController.java,[],60,5,"[(334, 360, 27), (385, 389, 5), (409, 413, 5), (1084, 1096, 13), (1100, 1109, 10)]"
11,2da9d82617ef17986702f6a6c8873c16b1ca6769,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/NotificationGutsManager.java,[],0,1,"[(0, 0, 0)]"
12,2da9d82617ef17986702f6a6c8873c16b1ca6769,packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,[],1,2,"[(0, 0, 0), (1930, 1930, 1)]"
13,2da9d82617ef17986702f6a6c8873c16b1ca6769,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/row/NotificationGutsManagerTest.java,[],1,1,"[(148, 148, 1)]"
14,2da9d82617ef17986702f6a6c8873c16b1ca6769,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/NotificationConversationInfo.java,[],2,1,"[(157, 158, 2)]"
15,2da9d82617ef17986702f6a6c8873c16b1ca6769,packages/SystemUI/src/com/android/systemui/statusbar/notification/dagger/NotificationsModule.java,[],1,2,"[(0, 0, 0), (92, 92, 1)]"
16,ef60e423b06cb5c9e9e8561e281b87ea620214cd,packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java,[],4,2,"[(194, 194, 1), (526, 528, 3)]"
17,87052f701854318705bc8a2f6e763f57883f46a5,packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java,[],29,4,"[(178, 188, 11), (507, 518, 12), (529, 531, 3), (538, 540, 3)]"
18,eb2f4d321960481551aa893e8263f81e5a185e56,core/java/com/android/internal/app/ChooserActivity.java,[],8,1,"[(19, 26, 8)]"
19,eb2f4d321960481551aa893e8263f81e5a185e56,services/tests/wmtests/src/com/android/server/wm/TaskFragmentOrganizerControllerTest.java,[],1,1,"[(495, 495, 1)]"
20,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityCallback.java,[],8,2,"[(28, 30, 3), (40, 44, 5)]"
21,eb2f4d321960481551aa893e8263f81e5a185e56,services/tests/uiservicestests/src/com/android/server/notification/NotificationManagerServiceTest.java,[],53,1,"[(4400, 4452, 53)]"
22,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/interruption/NotificationInterruptStateProviderImplTest.java,[],441,17,"[(0, 0, 0), (106, 110, 5), (400, 526, 127), (531, 535, 5), (544, 595, 52), (604, 617, 14), (623, 639, 17), (645, 649, 5), (655, 667, 13), (677, 681, 5), (690, 703, 14), (712, 725, 14), (734, 739, 6), (744, 748, 5), (761, 768, 8), (774, 913, 140), (1049, 1059, 11)]"
23,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/src/com/android/systemui/clipboardoverlay/ClipboardListener.java,[],27,7,"[(21, 24, 4), (0, 0, 0), (58, 59, 2), (67, 74, 8), (100, 102, 3), (110, 111, 2), (161, 168, 8)]"
24,eb2f4d321960481551aa893e8263f81e5a185e56,services/core/java/com/android/server/notification/SnoozeHelper.java,[],10,6,"[(132, 132, 1), (142, 142, 1), (206, 206, 1), (216, 219, 4), (0, 0, 0), (313, 315, 3)]"
25,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityContainerController.java,[],14,2,"[(189, 192, 4), (577, 586, 10)]"
26,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/src/com/android/systemui/statusbar/notification/interruption/NotificationInterruptStateProviderImpl.java,[],4,2,"[(219, 221, 3), (450, 450, 1)]"
27,eb2f4d321960481551aa893e8263f81e5a185e56,services/core/java/com/android/server/pm/InstallPackageHelper.java,[],1,1,"[(2111, 2111, 1)]"
28,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/src/com/android/keyguard/KeyguardInputViewController.java,[],1,1,"[(54, 54, 1)]"
29,eb2f4d321960481551aa893e8263f81e5a185e56,services/core/java/com/android/server/wm/Task.java,[],0,1,"[(0, 0, 0)]"
30,eb2f4d321960481551aa893e8263f81e5a185e56,services/tests/uiservicestests/src/com/android/server/notification/SnoozeHelperTest.java,[],1,1,"[(616, 616, 1)]"
31,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/tests/src/com/android/systemui/clipboardoverlay/ClipboardListenerTest.java,[],79,6,"[(0, 0, 0), (68, 68, 1), (82, 92, 11), (102, 110, 9), (0, 0, 0), (196, 253, 58)]"
32,eb2f4d321960481551aa893e8263f81e5a185e56,services/tests/uiservicestests/src/com/android/server/notification/NotificationListenersTest.java,[],52,1,"[(460, 511, 52)]"
33,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/ExpandableNotificationRowController.java,[],26,2,"[(105, 129, 25), (227, 227, 1)]"
34,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesImpl.java,[],1,1,"[(3627, 3627, 1)]"
35,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/tests/src/com/android/systemui/statusbar/NotificationLockscreenUserManagerTest.java,[],3,3,"[(0, 0, 0), (53, 55, 3), (0, 0, 0)]"
36,eb2f4d321960481551aa893e8263f81e5a185e56,services/core/java/com/android/server/wm/ActivityStarter.java,[],1,1,"[(1713, 1713, 1)]"
37,eb2f4d321960481551aa893e8263f81e5a185e56,core/java/android/window/TaskFragmentOrganizer.java,[],3,1,"[(403, 405, 3)]"
38,eb2f4d321960481551aa893e8263f81e5a185e56,services/core/java/com/android/server/pm/permission/PermissionManagerService.java,[],0,1,"[(0, 0, 0)]"
39,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/ExpandableNotificationRow.java,[],1,1,"[(1706, 1706, 1)]"
40,eb2f4d321960481551aa893e8263f81e5a185e56,services/core/java/com/android/server/am/ActiveServices.java,[],2,1,"[(3423, 3424, 2)]"
41,eb2f4d321960481551aa893e8263f81e5a185e56,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/row/NotificationTestHelper.java,[],1,1,"[(552, 552, 1)]"
