Unnamed: 0,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details,is_in_aff_files
2,188a21cc8ac704f36fd3f2984b4da86307ab7949,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,['void com.android.systemui.statusbar.policy.MobileSignalController.dump(PrintWriter)'],1,1,"[(868, 868, 1)]",True
4,3454c1e1aa1d155fe2246ce2627cf58e934397e9,services/core/java/com/android/server/am/ActivityManagerConstants.java,[],3,1,"[(35, 37, 3)]",True
5,a97ca47ee3713a075711c311c49e3951264007ef,location/java/android/location/LocationManager.java,['boolean android.location.LocationManager.addGpsStatusListener(Listener)'],2,1,"[(1780, 1781, 2)]",True
6,9caf34febf01086c96266e38d024f7a0315b892d,services/core/java/com/android/server/Watchdog.java,['void com.android.server.Watchdog.run()'],3,1,"[(609, 611, 3)]",True
7,9caf34febf01086c96266e38d024f7a0315b892d,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,[],2,1,"[(182, 183, 2)]",True
8,9caf34febf01086c96266e38d024f7a0315b892d,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPointPreference.java,['void com.android.settingslib.wifi.AccessPointPreference.bindFrictionImage(ImageView)'],2,1,"[(206, 207, 2)]",True
10,9caf34febf01086c96266e38d024f7a0315b892d,telephony/java/android/telephony/SmsManager.java,['int android.telephony.SmsManager.getSubscriptionId()'],8,1,"[(985, 992, 8)]",True
12,89cad5d93a5083474840e90d08d6e4aec5833932,services/core/java/com/android/server/BluetoothManagerService.java,[],1,1,"[(16, 16, 1)]",True
14,89cad5d93a5083474840e90d08d6e4aec5833932,packages/SystemUI/src/com/android/systemui/doze/DozeService.java,['void com.android.systemui.doze.DozeService.onDestroy()'],4,1,"[(63, 66, 4)]",True
15,89cad5d93a5083474840e90d08d6e4aec5833932,packages/SystemUI/src/com/android/keyguard/KeyguardSimPinView.java,[],11,1,"[(71, 81, 11)]",True
16,1eef3e1566be8570a0f7a856f12f8992f7d34824,services/core/java/com/android/server/BluetoothManagerService.java,"['void com.android.server.BluetoothManagerService.unbindBluetoothProfileService(int,IBluetoothProfileServiceConnection)', 'int com.android.server.BluetoothManagerService.ProfileServiceConnections.getProxyCount()']",12,2,"[(1236, 1240, 5), (1417, 1423, 7)]",True
17,1eef3e1566be8570a0f7a856f12f8992f7d34824,core/java/android/bluetooth/BluetoothHeadset.java,['void android.bluetooth.BluetoothHeadset.doUnbind()'],13,2,"[(393, 397, 5), (1193, 1200, 8)]",True
18,1eef3e1566be8570a0f7a856f12f8992f7d34824,packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java,"['void com.android.systemui.qs.tiles.HotspotTile.handleUpdateState(BooleanState,Object)']",7,1,"[(141, 147, 7)]",True
19,1eef3e1566be8570a0f7a856f12f8992f7d34824,core/java/android/bluetooth/BluetoothHearingAid.java,[],31,1,"[(138, 168, 31)]",True
20,f9f9f03acdeb05e6978feca02f6ef20ff57d06bc,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,"['void com.android.systemui.statusbar.policy.MobileSignalController.<init>(Context,Config,boolean,TelephonyManager,CallbackHandler,NetworkControllerImpl,SubscriptionInfo,SubscriptionDefaults,Looper)']",4,1,"[(124, 127, 4)]",True
23,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,services/core/java/com/android/server/am/ActivityManagerService.java,[],6,1,"[(552, 557, 6)]",True
24,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SystemUI/src/com/android/systemui/statusbar/StatusBarMobileView.java,[],1,1,"[(61, 61, 1)]",True
25,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,[],10,1,"[(190, 199, 10)]",True
26,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,services/core/java/com/android/server/locksettings/LockSettingsService.java,"['long com.android.server.locksettings.LockSettingsService.setLockCredentialWithAuthTokenLocked(byte[],int,AuthenticationToken,int,int)']",2,1,"[(2663, 2664, 2)]",True
27,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java,[],1,1,"[(52, 52, 1)]",True
29,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SystemUI/src/com/android/systemui/qs/QSPanel.java,"['void com.android.systemui.qs.QSPanel.<init>(Context,AttributeSet)']",2,1,"[(120, 121, 2)]",True
32,b576b28ececdf87e488eaf196c28e48371784746,services/core/java/com/android/server/audio/AudioService.java,"['void com.android.server.audio.AudioService.adjustSuggestedStreamVolume(int,int,int,String,String,int)']",3,1,"[(1531, 1533, 3)]",True
