Unnamed: 0,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details,is_in_aff_files
0,82ca638edd627c1b70aae1505f06c8ddaef731d2,services/core/java/com/android/server/BluetoothManagerService.java,"['boolean com.android.server.BluetoothManagerService.bindBluetoothProfileService(int,IBluetoothProfileServiceConnection)']",3,1,"[(1308, 1310, 3)]",True
1,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java,"['void com.android.settingslib.wifi.WifiEntryPreference.refresh()', 'void com.android.settingslib.wifi.WifiEntryPreference.updateIcon(int,int,boolean)', 'void com.android.settingslib.wifi.WifiEntryPreference.updateIcon(int,int,boolean)']",16,4,"[(67, 69, 3), (142, 152, 11), (211, 211, 1), (217, 217, 1)]",True
4,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,services/core/java/com/android/server/audio/AudioService.java,['void com.android.server.audio.AudioService.SetModeDeathHandler.binderDied()'],2,1,"[(3715, 3716, 2)]",True
5,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,packages/SettingsLib/src/com/android/settingslib/Utils.java,"['int com.android.settingslib.Utils.getWifiIconResource(int)', 'int com.android.settingslib.Utils.getWifiIconResource(int,int,boolean)']",23,2,"[(380, 380, 1), (386, 407, 22)]",True
6,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,services/core/java/com/android/server/BluetoothManagerService.java,[],1,1,"[(98, 98, 1)]",True
7,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,services/core/java/com/android/server/am/CachedAppOptimizer.java,"['void com.android.server.am.CachedAppOptimizer.setAppCompactProperties()', 'void com.android.server.am.CachedAppOptimizer.init()']",73,1,"[(286, 358, 73)]",True
10,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,core/java/android/bluetooth/BluetoothCodecConfig.java,[],15,1,"[(64, 78, 15)]",True
12,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,packages/SystemUI/src/com/android/systemui/ScreenDecorations.java,['void com.android.systemui.ScreenDecorations.updateRoundedCornerRadii()'],1,1,"[(597, 597, 1)]",True
14,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java,['void com.android.systemui.statusbar.policy.WifiSignalController.notifyListeners(SignalCallback)'],1,1,"[(127, 127, 1)]",True
15,fd65619dfea934f9f1f28a80e9599e2d8e3e77f3,services/core/java/com/android/server/wm/TaskDisplayArea.java,[],1,1,"[(57, 57, 1)]",True
16,784ecc8e9194775f58ad5a45422ed16570bcbee6,services/core/java/com/android/server/wm/ActivityRecord.java,[],1,1,"[(271, 271, 1)]",True
17,2ac0c608ad88dc1f3372e099b5359013be7b14c7,services/core/java/com/android/server/locksettings/LockSettingsService.java,"['VerifyCredentialResponse com.android.server.locksettings.LockSettingsService.checkCredential(LockscreenCredential,int,ICheckCredentialProgressCallback)']",9,1,"[(2009, 2017, 9)]",True
18,f6f595c8a4c17ed2347482c43e2cccc89531224e,packages/Tethering/src/com/android/networkstack/tethering/TetheringConfiguration.java,"['void com.android.networkstack.tethering.TetheringConfiguration.<init>(Context,SharedLog,int)']",5,1,"[(129, 133, 5)]",True
20,f6f595c8a4c17ed2347482c43e2cccc89531224e,wifi/java/android/net/wifi/WifiEnterpriseConfig.java,[],1,1,"[(97, 97, 1)]",True
