Unnamed: 0,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details,is_in_aff_files
3,618f6a02835ece0d70405b66bc37e4c545d231ca,services/core/java/com/android/server/wm/ActivityTaskSupervisor.java,[],5,1,"[(190, 194, 5)]",True
4,4278111b5170151ed47b197d72fb94c1e1fc26e6,services/core/java/com/android/server/wm/DisplayPolicy.java,[],3,1,"[(21, 23, 3)]",True
6,750c4b2148206be44b34d93f661c879939391f49,services/core/java/com/android/server/wm/ActivityRecord.java,[],4,1,"[(9061, 9064, 4)]",True
7,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java,[],333,6,"[(70, 116, 47), (156, 206, 51), (257, 280, 24), (303, 305, 3), (315, 411, 97), (460, 570, 111)]",True
8,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimController.java,[],1,1,"[(321, 321, 1)]",True
10,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,[],1,1,"[(1149, 1149, 1)]",True
11,750c4b2148206be44b34d93f661c879939391f49,core/java/android/hardware/Camera.java,[],4,1,"[(348, 351, 4)]",True
12,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/qs/customize/QSCustomizer.java,[],5,1,"[(81, 85, 5)]",True
15,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/theme/ThemeOverlayController.java,[],8,1,"[(373, 380, 8)]",True
16,750c4b2148206be44b34d93f661c879939391f49,services/core/java/com/android/server/accounts/AccountManagerService.java,[],1,1,"[(4952, 4952, 1)]",True
17,750c4b2148206be44b34d93f661c879939391f49,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],2,2,"[(205, 205, 1), (644, 644, 1)]",True
18,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/qs/tiles/dialog/InternetDialog.java,[],1,1,"[(864, 864, 1)]",True
19,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/statusbar/connectivity/NetworkControllerImpl.java,[],2,1,"[(89, 90, 2)]",True
20,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarView.java,[],3,1,"[(65, 67, 3)]",True
23,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java,[],4,1,"[(57, 60, 4)]",True
24,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotView.java,[],2,1,"[(123, 124, 2)]",True
27,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesCommandQueueCallbacks.java,[],3,3,"[(107, 107, 1), (139, 139, 1), (163, 163, 1)]",True
28,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/screenshot/ImageExporter.java,[],3,1,"[(155, 157, 3)]",True
29,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,[],7,4,"[(201, 202, 2), (209, 210, 2), (559, 560, 2), (672, 672, 1)]",True
31,750c4b2148206be44b34d93f661c879939391f49,packages/SystemUI/src/com/android/systemui/dagger/SystemUIModule.java,[],28,3,"[(69, 69, 1), (90, 90, 1), (284, 309, 26)]",True
