Unnamed: 0,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details,is_in_aff_files
0,d045f50ed2f0e1f00aefc591f9f104f2bee3a546,services/core/java/com/android/server/wm/RootWindowContainer.java,"['boolean com.android.server.wm.RootWindowContainer.startActivityForAttachedApplicationIfNeeded(ActivityRecord,WindowProcessController,ActivityRecord)']",1,1,"[(1993, 1993, 1)]",True
4,617f1aaaa25fabf89a392460136fbe1031d963cd,services/core/java/com/android/server/notification/NotificationManagerService.java,[],3,2,"[(490, 490, 1), (556, 557, 2)]",True
5,617f1aaaa25fabf89a392460136fbe1031d963cd,core/java/com/android/internal/util/ScreenshotHelper.java,[],1,1,"[(173, 173, 1)]",True
6,617f1aaaa25fabf89a392460136fbe1031d963cd,services/core/java/com/android/server/pm/PackageManagerService.java,"['ResolveInfo com.android.server.pm.PackageManagerService.resolveIntentInternal(Intent,String,int,int,int,boolean,int)', 'ResolveInfo com.android.server.pm.PackageManagerService.findPreferredActivityNotLocked(Intent,String,int,List<ResolveInfo>,int,boolean,boolean,boolean,int)']",2,2,"[(6513, 6513, 1), (6909, 6909, 1)]",True
9,617f1aaaa25fabf89a392460136fbe1031d963cd,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],4,1,"[(682, 685, 4)]",True
13,74544b9e39b174025fcb91cc194ca920b12e8683,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],3,1,"[(680, 682, 3)]",True
14,0d56322831621c44d8d3f30d777f0893216ad09c,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,[],1,1,"[(49, 49, 1)]",True
15,0d56322831621c44d8d3f30d777f0893216ad09c,packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,['void com.android.systemui.statusbar.KeyguardIndicationController.updateIndication(boolean)'],21,1,"[(425, 445, 21)]",True
16,0d56322831621c44d8d3f30d777f0893216ad09c,packages/SystemUI/src/com/android/systemui/BatteryMeterView.java,['void com.android.systemui.BatteryMeterView.updateShowPercent()'],11,2,"[(0, 0, 0), (412, 422, 11)]",True
17,d274c33a679b96f638f6b6d14abb2472dd3fc2ac,packages/SystemUI/src/com/android/systemui/statusbar/phone/EdgeBackGestureHandler.java,['void com.android.systemui.statusbar.phone.EdgeBackGestureHandler.updateCurrentUserResources()'],2,1,"[(277, 278, 2)]",True
18,d274c33a679b96f638f6b6d14abb2472dd3fc2ac,core/java/com/android/internal/app/ChooserActivity.java,['int com.android.internal.app.ChooserActivity.getMaxRankedTargets()'],1,1,"[(2828, 2828, 1)]",True
19,d274c33a679b96f638f6b6d14abb2472dd3fc2ac,services/core/java/com/android/server/notification/NotificationManagerService.java,[],1,1,"[(482, 482, 1)]",True
