,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
86,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/display/DisplayPowerController.java,[],7,3,"[(951, 952, 2), (1411, 1411, 1), (2384, 2387, 4)]"
87,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java,[],6,2,"[(136, 137, 2), (162, 165, 4)]"
88,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,[],3,1,"[(914, 916, 3)]"
89,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/theme/ThemeOverlayController.java,[],4,1,"[(380, 383, 4)]"
90,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/keyguard/KeyguardClockSwitch.java,[],1,1,"[(10, 10, 1)]"
91,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/tuner/TunerActivity.java,[],9,1,"[(69, 77, 9)]"
92,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/keyguard/KeyguardPINView.java,[],3,1,"[(62, 64, 3)]"
93,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/qs/customize/QSCustomizer.java,[],5,1,"[(80, 84, 5)]"
94,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java,[],140,18,"[(405, 456, 52), (493, 496, 4), (536, 541, 6), (558, 562, 5), (615, 618, 4), (623, 629, 7), (731, 734, 4), (844, 850, 7), (1117, 1127, 11), (1292, 1295, 4), (1311, 1314, 4), (1360, 1363, 4), (1447, 1450, 4), (1490, 1494, 5), (1501, 1505, 5), (1512, 1516, 5), (1524, 1527, 4), (1535, 1539, 5)]"
95,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/tests/src/com/android/systemui/screenshot/ImageExporterTest.java,[],1,1,"[(100, 100, 1)]"
96,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/power/PowerGroup.java,[],13,1,"[(305, 317, 13)]"
