Unnamed: 0,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details,is_in_aff_files
1,a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,"['void com.android.keyguard.KeyguardUpdateMonitor.<init>(Context,Looper,BroadcastDispatcher,DumpManager,RingerModeTracker,Executor,StatusBarStateController,LockPatternUtils)', 'boolean com.android.keyguard.KeyguardUpdateMonitor.isBatteryUpdateInteresting(BatteryStatus,BatteryStatus)']",6,2,"[(1700, 1700, 1), (2609, 2613, 5)]",True
2,a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6,packages/SystemUI/src/com/android/systemui/BatteryMeterView.java,['void com.android.systemui.BatteryMeterView.onBatteryUnknownStateChanged(boolean)'],4,2,"[(106, 106, 1), (486, 488, 3)]",True
4,a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6,packages/SettingsLib/src/com/android/settingslib/fuelgauge/BatteryStatus.java,"['void com.android.settingslib.fuelgauge.BatteryStatus.<init>(int,int,int,int,int,double,double,boolean)', 'void com.android.settingslib.fuelgauge.BatteryStatus.<init>(int,int,int,int,int,double,double,boolean)']",9,2,"[(59, 65, 7), (71, 72, 2)]",True
5,a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6,packages/SystemUI/src/com/android/systemui/statusbar/policy/BatteryControllerImpl.java,"['void com.android.systemui.statusbar.policy.BatteryControllerImpl.dump(FileDescriptor,PrintWriter,String[])', 'void com.android.systemui.statusbar.policy.BatteryControllerImpl.onReceive(Context,Intent)']",4,2,"[(133, 133, 1), (181, 183, 3)]",True
6,a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6,services/core/java/com/android/server/display/DisplayModeDirector.java,"['void com.android.server.display.DisplayModeDirector.BrightnessObserver.dumpLocked(PrintWriter)', 'void com.android.server.display.DisplayModeDirector.BrightnessObserver.onBrightnessChangedLocked()', 'void com.android.server.display.DisplayModeDirector.BrightnessObserver.onScreenOn(boolean)', 'void com.android.server.display.DisplayModeDirector.BrightnessObserver.updateSensorStatus()', 'boolean com.android.server.display.DisplayModeDirector.BrightnessObserver.isDefaultDisplayOn()', 'void com.android.server.display.DisplayModeDirector.BrightnessObserver.LightSensorEventListener.onSensorChanged(SensorEvent)']",18,9,"[(1081, 1082, 2), (1096, 1096, 1), (1179, 1179, 1), (1313, 1315, 3), (1320, 1322, 3), (1332, 1333, 2), (1342, 1346, 5), (1372, 1372, 1), (0, 0, 0)]",True
7,a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6,packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,"['void com.android.systemui.statusbar.KeyguardIndicationController.updateIndication(boolean)', 'void com.android.systemui.statusbar.KeyguardIndicationController.updateIndication(boolean)', 'void com.android.systemui.statusbar.KeyguardIndicationController.updateIndication(boolean)', 'void com.android.systemui.statusbar.KeyguardIndicationController.updateIndication(boolean)']",86,4,"[(414, 431, 18), (448, 450, 3), (456, 515, 60), (456, 460, 5)]",True
8,a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6,core/java/android/app/ActivityManagerInternal.java,['int android.app.ActivityManagerInternal.startActivityAsUserEmpty(Bundle)'],2,1,"[(444, 445, 2)]",True
9,d1ffad806502fc4ff57f88b4eb543cc81fc601a1,packages/SystemUI/src/com/android/systemui/statusbar/phone/EdgeBackGestureHandler.java,"['boolean com.android.systemui.statusbar.phone.EdgeBackGestureHandler.isWithinTouchRegion(int,int)']",6,1,"[(470, 475, 6)]",True
11,d1ffad806502fc4ff57f88b4eb543cc81fc601a1,services/core/java/com/android/server/BluetoothManagerService.java,"['boolean com.android.server.BluetoothManagerService.bindBluetoothProfileService(int,IBluetoothProfileServiceConnection)']",3,1,"[(1308, 1310, 3)]",True
12,d1ffad806502fc4ff57f88b4eb543cc81fc601a1,packages/SystemUI/src/com/android/systemui/Dependency.java,[],1,1,"[(328, 328, 1)]",True
