,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
13,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/keyguard/KeyguardSliceProvider.java,[],3,1,"[(400, 402, 3)]"
14,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/qs/QSPanelController.java,[],3,1,"[(32, 34, 3)]"
15,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/dagger/SystemUIModule.java,[],3,2,"[(49, 49, 1), (152, 153, 2)]"
16,20b50bcf2cdd722955040b713056399f0ec17bd2,services/core/java/com/android/server/media/MediaSessionRecord.java,[],2,2,"[(939, 940, 2), (0, 0, 0)]"
17,20b50bcf2cdd722955040b713056399f0ec17bd2,services/core/java/com/android/server/dreams/DreamManagerService.java,[],2,1,"[(908, 909, 2)]"
18,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManagerTest.java,[],4,1,"[(532, 535, 4)]"
19,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/recents/OverviewProxyService.java,[],25,1,"[(256, 280, 25)]"
20,20b50bcf2cdd722955040b713056399f0ec17bd2,services/appwidget/java/com/android/server/appwidget/AppWidgetXmlUtil.java,[],1,1,"[(96, 96, 1)]"
21,20b50bcf2cdd722955040b713056399f0ec17bd2,core/java/android/service/dreams/DreamManagerInternal.java,[],6,1,"[(67, 72, 6)]"
22,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/qs/QSPanel.java,[],3,2,"[(0, 0, 0), (739, 741, 3)]"
23,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/biometrics/UdfpsKeyguardView.java,[],7,2,"[(32, 35, 4), (91, 93, 3)]"
24,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java,[],140,18,"[(405, 456, 52), (493, 496, 4), (536, 541, 6), (558, 562, 5), (615, 618, 4), (623, 629, 7), (731, 734, 4), (844, 850, 7), (1117, 1127, 11), (1292, 1295, 4), (1311, 1314, 4), (1360, 1363, 4), (1447, 1450, 4), (1490, 1494, 5), (1501, 1505, 5), (1512, 1516, 5), (1524, 1527, 4), (1535, 1539, 5)]"
25,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/qs/TileLayout.java,[],2,1,"[(126, 127, 2)]"
26,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java,[],1,1,"[(117, 117, 1)]"
27,20b50bcf2cdd722955040b713056399f0ec17bd2,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],12,1,"[(4841, 4852, 12)]"
28,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/Dependency.java,[],2,1,"[(362, 363, 2)]"
29,20b50bcf2cdd722955040b713056399f0ec17bd2,services/core/java/com/android/server/power/PowerManagerService.java,[],3,1,"[(675, 677, 3)]"
30,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/tests/src/com/android/systemui/qs/QSTileHostTest.java,[],5,3,"[(110, 113, 4), (175, 175, 1), (0, 0, 0)]"
31,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityView.java,[],0,1,"[(0, 0, 0)]"
32,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/qs/QSPanelControllerBase.java,[],2,1,"[(37, 38, 2)]"
33,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,[],3,1,"[(913, 915, 3)]"
34,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/statusbar/CommandQueue.java,[],27,4,"[(165, 166, 2), (477, 480, 4), (1262, 1274, 13), (1712, 1719, 8)]"
35,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/navigationbar/gestural/EdgeBackGestureHandler.java,[],28,1,"[(456, 483, 28)]"
36,20b50bcf2cdd722955040b713056399f0ec17bd2,packages/SystemUI/src/com/android/systemui/battery/BatteryMeterViewController.java,[],10,1,"[(112, 121, 10)]"
37,e9fa89ccc721890c1d006a243a7376de4147d6d8,packages/SystemUI/src/com/android/systemui/qs/QSPanelControllerBase.java,[],2,1,"[(27, 28, 2)]"
38,f2b53072aa24c3f9f84e762d313f85f5f179e4a4,packages/SystemUI/tests/src/com/android/systemui/qs/QSFragmentTest.java,[],0,1,"[(0, 0, 0)]"
39,f2b53072aa24c3f9f84e762d313f85f5f179e4a4,core/tests/coretests/src/com/android/internal/widget/LocalImageResolverTest.java,[],0,1,"[(0, 0, 0)]"
40,f2b53072aa24c3f9f84e762d313f85f5f179e4a4,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,[],2,2,"[(755, 755, 1), (790, 790, 1)]"
41,f2b53072aa24c3f9f84e762d313f85f5f179e4a4,packages/SystemUI/src/com/android/systemui/dagger/SystemUIModule.java,[],1,1,"[(48, 48, 1)]"
42,f2b53072aa24c3f9f84e762d313f85f5f179e4a4,core/java/com/android/internal/widget/LocalImageResolver.java,[],7,1,"[(112, 118, 7)]"
43,f2b53072aa24c3f9f84e762d313f85f5f179e4a4,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,[],2,1,"[(42, 43, 2)]"
44,f2b53072aa24c3f9f84e762d313f85f5f179e4a4,packages/SystemUI/src/com/android/systemui/qs/QuickQSPanel.java,[],1,1,"[(60, 60, 1)]"
45,f2b53072aa24c3f9f84e762d313f85f5f179e4a4,services/core/java/com/android/server/dreams/DreamManagerService.java,[],10,5,"[(224, 229, 6), (684, 684, 1), (689, 689, 1), (0, 0, 0), (824, 825, 2)]"
