Project,|ConfF|,|ConfF_cap|,|CapF|,Precision,Recall
A-T,60,40,329,12.16%,66.67%
A-S,183,135,1463,9.23%,73.77%
A-R,170,110,333,33.03%,64.70%
A-Q,134,95,212,44.81%,70.90%
C-13,44,22,100,22.00%,50.00%
C-12,18,1,75,1.33%,5.56%
C-11,1,1,90,1.11%,100%
L-20.0,77,52,176,29.55%,67.53%
L-19.1,2,2,263,0.76%,100.00%
L-18.1,18,10,275,3.64%,55.56%
L-17.1,43,21,270,7.78%,53.49%
L-16.0,23,16,255,6.27%,69.57%
O-13.0,42,26,96,27.08%,61.90%
O-12.0,9,2,100,2.00%,22.22%
O-11,255,147,419,35.08%,58.43%
O-10,36,26,247,10.53%,72.22%
O-9,10,7,199,3.52%,70.00%
I-E,534,485,2146,22.60%,90.82%
I-D,534,502,2308,21.75%,94.01%
I-C,534,502,2246,22.35%,94.01%
I-B,500,454,2221,20.44%,90.80%
I-A,321,266,1817,14.64%,82.87%
Average,161,133,711,15.98%,68.87%
