id,file,merge_commitid,times,recur_segment
1,core/java/android/provider/Settings.java,"['6e3be19b8a58c265a2c3ff4b9cbabdb6a4ae9bf6', '1581c348fc5d6cbf1673b3dbc5960637f891d488', '1730c08a2fd38f0ff8135692a855ada865130939', '2edeff882ab756e76b3a028a1568d8774ddc0257']",4,"            VALIDATORS.put(WIFI_DISCONNECT_DELAY_DURATION, WIFI_DISCONNECT_DELAY_DURATION_VALIDATOR);
"
2,core/java/android/provider/Settings.java,"['1581c348fc5d6cbf1673b3dbc5960637f891d488', '1730c08a2fd38f0ff8135692a855ada865130939', '2edeff882ab756e76b3a028a1568d8774ddc0257']",3,            WIFI_DISCONNECT_DELAY_DURATION
3,core/java/android/provider/Settings.java,"['1730c08a2fd38f0ff8135692a855ada865130939', '2edeff882ab756e76b3a028a1568d8774ddc0257']",2,"            WIFI_DISCONNECT_DELAY_DURATION,
"
4,core/java/android/service/carrier/CarrierIdentifier.java,"['8d21ad0d966c1e9f96e5a65144efad2582391957', '2775a5a9b030266a910301e8b464811acafcd5fa']",2,"          + ""mcc="" + mMcc
          + "",mnc="" + mMnc
          + "",spn="" + mSpn
          + "",imsi="" + mImsi
          + "",gid1="" + mGid1
          + "",gid2="" + mGid2
          + "",iccid="" + mIccid
          + """
5,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,"['6e3be19b8a58c265a2c3ff4b9cbabdb6a4ae9bf6', '1581c348fc5d6cbf1673b3dbc5960637f891d488']",2,"        A2dpSinkProfile a2dpSinkProfile = mProfileManager.getA2dpSinkProfile();
        Log.i(TAG, ""a2dpProfile :"" + a2dpProfile + "" a2dpSinkProfile :"" + a2dpSinkProfile);
        if (a2dpProfile != null) {
            return a2dpProfile.getConnectionStatus(mDevice) ==
"
6,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,"['ddcaa93e851eb5e57692799446f2ef3fe31436ae', '1581c348fc5d6cbf1673b3dbc5960637f891d488']",2,".annotation.VisibleForTesting;
import android.os.SystemProperties;
"
7,packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java,"['ddcaa93e851eb5e57692799446f2ef3fe31436ae', '1730c08a2fd38f0ff8135692a855ada865130939']",2,"        if (mDunProfile == null && supportedList.contains(BluetoothProfile.DUN)) {
            if(DEBUG) Log.d(TAG, ""Adding local DUN profile"");
            mDunProfile = new DunServerProfile(mContext);
            addProfile(mDunProfile, DunServerProfile.NAME,
                    BluetoothDun.ACTION_CONNECTION_STATE_CHANGED);
"
8,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,"['8d21ad0d966c1e9f96e5a65144efad2582391957', 'b76115be4efabffaa6febc57cec47acc2f933c79']",2,    public static final int SECURITY_DPP = 
9,packages/SystemUI/src/com/android/keyguard/KeyguardSimPinView.java,"['657230bb5e95ec8560c534360cac5a25fd743129', '89cad5d93a5083474840e90d08d6e4aec5833932']",2,"                // If the SIM is removed, then we must remove the keyguard. It will be put up
                // again when the PUK locked SIM is re-entered.
                case ABSENT: {
                    KeyguardUpdateMonitor.getInstance(getContext()).reportSimUnlocked(subId);
                    // onSimStateChanged callback can fire when the SIM PIN lock is not currently
                    // active and mCallback is null.
                    if (mCallback != null) {
                        mCallback.dismiss(true, KeyguardUpdateMonitor.getCurrentUser());
                    }
                    "
10,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,"['6e3be19b8a58c265a2c3ff4b9cbabdb6a4ae9bf6', '657230bb5e95ec8560c534360cac5a25fd743129', '4e4914b22b779e6376bb00ae20636175b2a70d8c', '1730c08a2fd38f0ff8135692a855ada865130939']",4,"    private static final int MSG_LOCALE_CHANGED = 500;
"
11,packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java,"['4646ace2d5aecc79f895d6273c928602852d7f12', '4a30c150e58ec67edb92a7bec5ea48cebd6b90d4']",2,"import com.android.systemui.statusbar.phone.HeadsUpManagerPhone;
"
12,packages/SystemUI/src/com/android/systemui/statusbar/policy/HotspotControllerImpl.java,"['6e3be19b8a58c265a2c3ff4b9cbabdb6a4ae9bf6', 'ddcaa93e851eb5e57692799446f2ef3fe31436ae']",2,"    @Override
    public void onNumClientsChanged(int numConnectedDevices) {
        // Do nothing - we don't care about changing anything here.
    }

    @Override
    public void onStaConnected(String Macaddr, int numConnectedDevices) {
        mNumConnectedDevices = numConnectedDevices;
        fireHotspotChangedCallback(isHotspotEnabled(), numConnectedDevices);
    }

    @Override
    public void onStaDisconnected(String Macaddr, int numConnectedDevices) {
        mNumConnectedDevices = numConnectedDevices;
        fireHotspotChangedCallback(isHotspotEnabled(), numConnectedDevices);
"
13,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,"['2b252c526c654de6d04ec0165b4b8f039b37f82b', '188a21cc8ac704f36fd3f2984b4da86307ab7949']",2,"        pw.println(""  mFiveGState="" + mFiveGState + "","");
"
14,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,"['657230bb5e95ec8560c534360cac5a25fd743129', '2775a5a9b030266a910301e8b464811acafcd5fa']",2,"import android.telephony.ims.ImsMmTelManager;
import android.telephony.ims."
