id,file,merge_commitid,times,recur_segment
1,core/java/android/app/ActivityManagerInternal.java,"['e85435d4d9a2f7122bd5c97ad0a25c768d124a0e', '3933f277a025be704e68ea593536e492831a7e05', '02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '24818fca475a6726f5ef0cae42149615079af6e9', '2051462f672b5986ef321bf1de3657e7653864e8', '1b62159ffcebb2c102e129b2e778a8f65b7e5948', '9272406e82304c5a2a8124c75eedb4b5fdf7273a']",7,"    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
"
2,core/java/android/app/PendingIntent.java,"['4c3d4ac80fe9f0fb4fbb4fcffcd2ba3f4e6fca6c', 'b6d6690a3594cd78966e26508247d4ab1b66776f']",2,")
                    && !flagImmutableSet && !flagMutableSet) {
                String msg = packageName + "": Targeting S+ (version "" + Build.VERSION_CODES.S
                        + "" and above) requires that one of FLAG_IMMUTABLE or FLAG_MUTABLE""
                        + "" be specified when creating a PendingIntent.\nStrongly consider""
                        + "" using FLAG_IMMUTABLE, only use FLAG_MUTABLE if some functionality""
                        + "" depends on the PendingIntent being mutable, e.g. if it needs to""
                        + "" be used with inline replies or bubbles."";
                    throw new IllegalArgumentException(msg);
            }
"
3,core/java/android/content/res/CompatibilityInfo.java,"['337095f9d277c566cb888bc3adbac16576f1ae70', '24818fca475a6726f5ef0cae42149615079af6e9']",2,"            int density = appInfo.getOverrideDensity();
            if ((appInfo.flags & ApplicationInfo.FLAG_SUPPORTS_SCREEN_DENSITIES) == 0) {
"
4,core/java/android/view/Choreographer.java,"['27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca', '449f659b21d039b8692602294b040038ac1e6ccb']",2,"            ScrollOptimizer.setVsyncTime(mTimestampNanos);
"
5,location/java/android/location/LocationManager.java,"['27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca', '7fd6edc3a3ff37a750641d5e192835fe217f6050']",2,        android.util.SeempLog.record(4
6,media/java/android/media/AudioFormat.java,"['337095f9d277c566cb888bc3adbac16576f1ae70', 'd3ff2de786af936a9af8739f5c98972804dd5823']",2,"    /** Audio data format: AMRNB
     * @hide
     * */
    public static final int ENCODING_AMRNB = 100;
    /** Audio data format: AMRWB
     * @hide
     * */
    public static final int ENCODING_AMRWB = 101;
    /** Audio data format: EVRC
     * @hide
     * */
    public static final int ENCODING_EVRC = 102;
    /** Audio data format: EVRCB
     * @hide
     * */
    public static final int ENCODING_EVRCB = 103;
    /** Audio data format: EVRCWB
     * @hide
     * */
    public static final int ENCODING_EVRCWB = 104;
    /** Audio data format: EVRCNW
     * @hide
     * */
    public static final int ENCODING_EVRCNW = 105;
"
7,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,"['26017c68ee11d3f2d54ca731119c8dc4ddb842cf', '2051462f672b5986ef321bf1de3657e7653864e8']",2,"    public int getGroupId(){
        return mGroupId;
    }

    public boolean isGroupDevice() {
        return mIsGroupDevice;
    }

    public boolean isPrivateAddr() {
        return mIsIgnore;
    }

    public void setDeviceType(int deviceType) {
        if (deviceType!= mType) {
            // Log.d(TAG, ""setDeviceType deviceType "" + deviceType + "" type "" + mType);
            mType = deviceType;
            if (mType == UNKNOWN || mType == BREDR) {
                mIsGroupDevice = false;
                mGroupId = UNKNOWN;
                mIsIgnore = false;
            } else if (mType == PRIVATE_ADDR) {
                mIsGroupDevice = false;
                mGroupId = UNKNOWN;
                mIsIgnore = true;
            } else if (mType >= GROUPID_START && mType <= GROUPID_END ) {
                mGroupId = mType;
                mIsIgnore = false;
                mIsGroupDevice = true;
            } else {
                Log.e(TAG, ""setDeviceType error type "" + mType);
            }
        }
       /* Log.d(TAG, ""setDeviceType mType "" + mType + "" mIsGroupDevice "" + mIsGroupDevice
                + "" mGroupId "" + mGroupId + "" mIsIgnore "" + mIsIgnore
                + "" name "" + getName() + "" addr "" + getAddress()); */
    }

    public boolean isTypeUnKnown() {
        if (mType == UNKNOWN) {
            return true;
        } else {
            return false;
        }
    }

    public int getmType() {
        return mType;
"
8,packages/SettingsLib/src/com/android/settingslib/wifi/WifiStatusTracker.java,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '3e8cb98421761bb7dfafe59a22a15fe2e176f272']",2,"            updateRssi(mWifiInfo.getRssi());
            maybeRequestNetworkScore();
            wifiStandard = mWifiInfo.getWifiStandard();
            vhtMax8SpatialStreamsSupport = mWifiInfo.isVhtMax8SpatialStreamsSupported();
            he8ssCapableAp = mWifiInfo.isHe8ssCapableAp();
            if (m"
9,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityModel.java,"['21cdef883cc867db55340b25d5c95e19b12ab383', '27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca']",2,"import com.android.systemui.keyguard.KeyguardViewMediator;
"
10,packages/SystemUI/src/com/android/systemui/qs/tiles/CastTile.java,"['337095f9d277c566cb888bc3adbac16576f1ae70', '757dbb836469bbdd7eb8312deaf584fe0c99c17d']",2,"                    if(SystemProperties.getBoolean(WFD_ENABLE, false)) {
                        if(enabled != mWifiConnected) {
                            mWifiConnected = enabled;
"
11,packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java,"['9d10272031d3f400d399db45927abf3be739b074', '337095f9d277c566cb888bc3adbac16576f1ae70']",2,        mEmergencyCarrierArea.set
12,packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java,"['9d10272031d3f400d399db45927abf3be739b074', '337095f9d277c566cb888bc3adbac16576f1ae70', '757dbb836469bbdd7eb8312deaf584fe0c99c17d']",3,"        mEmergencyCarrierArea.setAlpha(alpha);
"
13,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"['71c831703ae59baf47e0afe611fecd714c481cdf', '219787565ff982848d596fa8743cd132af113e6b', '1b62159ffcebb2c102e129b2e778a8f65b7e5948']",3,"            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
"
14,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '26017c68ee11d3f2d54ca731119c8dc4ddb842cf', '9d10272031d3f400d399db45927abf3be739b074', '71c831703ae59baf47e0afe611fecd714c481cdf', '1b62159ffcebb2c102e129b2e778a8f65b7e5948', '219787565ff982848d596fa8743cd132af113e6b']",6,            EmergencyButtonController.Factory emergencyButtonControllerFactory
15,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '26017c68ee11d3f2d54ca731119c8dc4ddb842cf', '71c831703ae59baf47e0afe611fecd714c481cdf', '1b62159ffcebb2c102e129b2e778a8f65b7e5948', '219787565ff982848d596fa8743cd132af113e6b']",5,"            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
"
16,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"['71c831703ae59baf47e0afe611fecd714c481cdf', '9d10272031d3f400d399db45927abf3be739b074', 'b6d6690a3594cd78966e26508247d4ab1b66776f']",3,"        EmergencyButton emergencyButton =
                mKeyguardBottomArea.findViewById(R.id.emergency_call_button);
        mEmergencyButtonController = mEmergencyButtonControllerFactory.create(emergencyButton);
        mEmergencyButtonController.init();
"
17,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"['26017c68ee11d3f2d54ca731119c8dc4ddb842cf', '71c831703ae59baf47e0afe611fecd714c481cdf', '219787565ff982848d596fa8743cd132af113e6b', '1b62159ffcebb2c102e129b2e778a8f65b7e5948']",4,",
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
"
18,packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelViewController.java,"['e85435d4d9a2f7122bd5c97ad0a25c768d124a0e', 'b6d6690a3594cd78966e26508247d4ab1b66776f']",2,"        if (mPerf != null) {
            String currentPackage = mView.getContext().getPackageName();
            mPerf.perfHint(BoostFramework.VENDOR_HINT_SCROLL_BOOST, currentPackage, -1, BoostFramework.Scroll.PANEL_VIEW);
        }
"
