id,file,merge_commitid,times,recur_segment
1,core/java/android/app/ActivityManagerInternal.java,"['a9736185db896fe2edde0281d71102b35327b7f8', 'a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6', 'd28a4f6b38dbab44128b4319f665dd65c3e4ec2c', '35fa949362e35d8514c64a645b6448424f174c82', 'df73284a33506ba26aadbd20a1dbd01353820200']",5,"    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
"
2,core/java/android/bluetooth/BluetoothAdapter.java,"['35fa949362e35d8514c64a645b6448424f174c82', 'a33382db0bb0bc29bab84f1e5ee36d682bea593e']",2,"            if (mManagerService != null) {
                SystemProperties.set(""persist.bluetooth.factoryreset"", ""true"");
                return mManagerService.factoryReset();
            }
"
3,core/java/android/content/ContentResolver.java,"['43ceded8caaffead0a2a1967f42a4ef4bb658ced', '5358a994b854c7a6627858c48d6947e8acff6ea9']",2,"        android.util.SeempLog.record_uri(37, url);
"
4,core/java/android/content/pm/ApplicationInfo.java,"['a33382db0bb0bc29bab84f1e5ee36d682bea593e', '6f47ceafbe6febe54aa5c376baed3415cdf848ad']",2,"    /** {@hide} */ public void setOverrideRes(int overrideResolution) { overrideRes = overrideResolution; }
"
5,core/java/android/os/Process.java,"['6aa497092f6337fbafb5b9858a3ec8f28c9d3caf', 'd28a4f6b38dbab44128b4319f665dd65c3e4ec2c']",2,"     * Sets the scheduling group for processes in the same cgroup.procs of uid and pid
     * @hide
     * @param uid The user identifier of the process to change.
     * @param pid The identifier of the process to change.
     * @param group The target group for this process from THREAD_GROUP_*.
     *
     * @throws IllegalArgumentException Throws IllegalArgumentException if
     * <var>tid</var> does not exist.
     * @throws SecurityException Throws SecurityException if your process does
     * not have permission to modify the given thread, or to use the given
     * priority.
     *
     * group == THREAD_GROUP_DEFAULT means to move all non-background priority
     * threads to the foreground scheduling group, but to leave background
     * priority threads alone.  group == THREAD_GROUP_BG_NONINTERACTIVE moves all
     * threads, regardless of priority, to the background scheduling group.
     * group == THREAD_GROUP_FOREGROUND is not allowed.
     *
     * Always sets cpusets.
     */
    public static final native void setCgroupProcsProcessGroup(int uid, int pid, int group)
            throws IllegalArgumentException, SecurityException;
"
6,core/java/android/provider/Settings.java,"['6e3be19b8a58c265a2c3ff4b9cbabdb6a4ae9bf6', '2edeff882ab756e76b3a028a1568d8774ddc0257', '1581c348fc5d6cbf1673b3dbc5960637f891d488', '1730c08a2fd38f0ff8135692a855ada865130939']",4,"            VALIDATORS.put(WIFI_DISCONNECT_DELAY_DURATION, WIFI_DISCONNECT_DELAY_DURATION_VALIDATOR);
"
7,core/java/android/provider/Settings.java,"['2edeff882ab756e76b3a028a1568d8774ddc0257', '1581c348fc5d6cbf1673b3dbc5960637f891d488', '1730c08a2fd38f0ff8135692a855ada865130939']",3,            WIFI_DISCONNECT_DELAY_DURATION
8,core/java/android/provider/Settings.java,"['2edeff882ab756e76b3a028a1568d8774ddc0257', '1730c08a2fd38f0ff8135692a855ada865130939']",2,"            WIFI_DISCONNECT_DELAY_DURATION,
"
9,core/java/android/view/InputEventReceiver.java,"['c77ad764fad2451538f140b31601e7b8c6c59fa2', '71998c3d8b36220df1be12fe6e1ba7eda81cde41']",2,"    // Called from native code.
    @SuppressWarnings(""unused"")
    private void dispatchMotionEventInfo(int motionEventType, int touchMoveNum) {
        try {
            if (mChoreographer == null)
                mChoreographer = Choreographer.getInstance();

            if (mChoreographer != null)
                mChoreographer.setMotionEventInfo(motionEventType, touchMoveNum);
        } catch (Exception e) {
            Log.e(TAG, ""cannot invoke setMotionEventInfo."");
        }
    }
    "
10,core/java/android/view/ViewRootImpl.java,"['24f36fd2514856aaafe6a32a99050e272a6bd361', '18970c4d9d55a44040fe6fb762dac93a077c64b5']",2,"    boolean mHaveMoveEvent = false;
"
11,core/java/com/android/ims/internal/uce/common/CapInfo.java,"['71998c3d8b36220df1be12fe6e1ba7eda81cde41', 'af02bd5317cc0cced0a7646d5bbf407a181dda9c']",2,"     /** Standalone Chatbot communication support. */
    private boolean mSmChatbotSupported = false;
     /** MMtel based call composer support. */
"
12,core/java/com/android/ims/internal/uce/common/CapInfo.java,"['71998c3d8b36220df1be12fe6e1ba7eda81cde41', 'af02bd5317cc0cced0a7646d5bbf407a181dda9c']",2,"    @UnsupportedAppUsage
"
13,core/java/com/android/internal/os/ZygoteInit.java,"['7c6cc72e18cc1df5205fd2bc47664e6cc2534ad2', '6445e9361550e1306d29713dd600481e125f88a8']",2,"        try {
            System.loadLibrary(""qti_performance"");
        } catch (UnsatisfiedLinkError e) {
            Log.e(TAG, ""Couldn't load qti_performance"");
"
14,location/java/android/location/LocationManager.java,"['a97ca47ee3713a075711c311c49e3951264007ef', '18970c4d9d55a44040fe6fb762dac93a077c64b5']",2,        android.util.SeempLog.record(4
15,location/java/android/location/LocationManager.java,"['2775a5a9b030266a910301e8b464811acafcd5fa', 'af02bd5317cc0cced0a7646d5bbf407a181dda9c']",2,"        android.util.SeempLog.record(45);
"
16,location/java/android/location/LocationManager.java,"['edb6252578f9b76151e5125a7fb1b16823a68418', '7c6cc72e18cc1df5205fd2bc47664e6cc2534ad2']",2,"    public boolean addNmeaListener(GpsStatus.NmeaListener listener) {
        android.util.SeempLog.record(44);
"
