id,merge_commitid,file,Loc_details,block_text_1,block_text_2,recur_segment,proportion
1,"['022e461c46ee3629d43ba134e977a0f3353c8782', '9272406e82304c5a2a8124c75eedb4b5fdf7273a']",services/core/java/com/android/server/display/DisplayModeDirector.java,"[(1176, 1176, 1), (1096, 1096, 1)]","        private boolean mIsDeviceActive = false;
","        private boolean mScreenOn = false;
",        private boolean m,"[0.51, 0.581]"
2,"['022e461c46ee3629d43ba134e977a0f3353c8782', '9272406e82304c5a2a8124c75eedb4b5fdf7273a']",services/core/java/com/android/server/display/DisplayModeDirector.java,"[(1573, 1574, 2), (1313, 1315, 3)]","                Slog.d(TAG, ""Display brightness "" + mBrightness + "", ambient lux "" +  mAmbientLux +
                        "", Vote "" + vote);
","            if (DEBUG) {
                Slog.d(TAG, ""Display brightness "" + brightness + "", ambient lux "" +  mAmbientLux +
                        "", Vote "" + vote);
","rightness + "", ambient lux "" +  mAmbientLux +
                        "", Vote "" + vote);
","[0.622, 0.533]"
3,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '1b62159ffcebb2c102e129b2e778a8f65b7e5948']",core/java/android/app/ActivityManagerInternal.java,"[(638, 639, 2), (587, 588, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
4,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '1b62159ffcebb2c102e129b2e778a8f65b7e5948']",packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"[(700, 700, 1), (592, 593, 2)]","            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","[1.0, 0.678]"
5,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '2051462f672b5986ef321bf1de3657e7653864e8']",core/java/android/app/ActivityManagerInternal.java,"[(638, 639, 2), (574, 575, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
6,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '219787565ff982848d596fa8743cd132af113e6b']",packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"[(700, 700, 1), (610, 611, 2)]","            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","[1.0, 0.678]"
7,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '24818fca475a6726f5ef0cae42149615079af6e9']",core/java/android/app/ActivityManagerInternal.java,"[(638, 639, 2), (542, 543, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
8,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '26017c68ee11d3f2d54ca731119c8dc4ddb842cf']",packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"[(700, 700, 1), (718, 719, 2)]","            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            FeatureFlags featureFlags,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","[1.0, 0.678]"
9,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '3933f277a025be704e68ea593536e492831a7e05']",core/java/android/app/ActivityManagerInternal.java,"[(638, 639, 2), (479, 480, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
10,"['02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '3e8cb98421761bb7dfafe59a22a15fe2e176f272']",packages/SettingsLib/src/com/android/settingslib/wifi/WifiStatusTracker.java,"[(263, 268, 6), (261, 269, 9)]","            updateRssi(mWifiInfo.getRssi());
            maybeRequestNetworkScore();
            wifiStandard = mWifiInfo.getWifiStandard();
            vhtMax8SpatialStreamsSupport = mWifiInfo.isVhtMax8SpatialStreamsSupported();
            he8ssCapableAp = mWifiInfo.isHe8ssCapableAp();
            if (mProviderModel) {
","            updateRssi(mWifiInfo.getRssi());
            maybeRequestNetworkScore();
            wifiStandard = mWifiInfo.getWifiStandard();
            vhtMax8SpatialStreamsSupport = mWifiInfo.isVhtMax8SpatialStreamsSupported();
            he8ssCapableAp = mWifiInfo.isHe8ssCapableAp();
            if (mSupportMergedUi) {
                isCarrierMerged = mWifiInfo.isCarrierMerged();
                subId = mWifiInfo.getSubscriptionId();
            }
","            updateRssi(mWifiInfo.getRssi());
            maybeRequestNetworkScore();
            wifiStandard = mWifiInfo.getWifiStandard();
            vhtMax8SpatialStreamsSupport = mWifiInfo.isVhtMax8SpatialStreamsSupported();
            he8ssCapableAp = mWifiInfo.isHe8ssCapableAp();
            if (m","[0.947, 0.67]"
