id,file,merge_commitid,times,recur_segment
1,core/java/android/accounts/AccountManager.java,['71998c3d8b36220df1be12fe6e1ba7eda81cde41'],1,"        android.util.SeempLog.record(25);
        if (account == null) throw new IllegalArgumentException(""account is null"");
        return new Future2Task<Boolean>(handler, callback) {
            @Override
            public void doWork() throws RemoteException {
                android.util.SeempLog.record(31);
                mService.removeAccount(mResponse, account, false);
            }
            @Override
            public Boolean bundleToResult(Bundle bundle) throws AuthenticatorException {
                if (!bundle.containsKey(KEY_BOOLEAN_RESULT)) {
                    throw new AuthenticatorException(""no result in response"");
                }
                return bundle.getBoolean(KEY_BOOLEAN_RESULT);
            }
        }.start();
"
2,core/java/android/accounts/AccountManager.java,['71998c3d8b36220df1be12fe6e1ba7eda81cde41'],1,"        android.util.SeempLog.record(28);
        if (account == null) throw new IllegalArgumentException(""account is null"");
        return new AmsTask(activity, handler, callback) {
            @Override
            public void doWork() throws RemoteException {
                android.util.SeempLog.record(34);
                mService.removeAccount(mResponse, account, activity != null);
            }
        }.start();
"
3,core/java/android/accounts/AccountManager.java,['71998c3d8b36220df1be12fe6e1ba7eda81cde41'],1,"        android.util.SeempLog.record(29);
        if (accountType == null) throw new IllegalArgumentException(""accountType is null"");
        final Bundle optionsIn = new Bundle();
        if (addAccountOptions != null) {
            optionsIn.putAll(addAccountOptions);
        }
        optionsIn.putString(KEY_ANDROID_PACKAGE_NAME, mContext.getPackageName());

        return new AmsTask(activity, handler, callback) {
            @Override
            public void doWork() throws RemoteException {
                android.util.SeempLog.record(31);
                mService.addAccount(mResponse, accountType, authTokenType,
                        requiredFeatures, activity != null, optionsIn);
"
4,core/java/android/app/ActivityManagerInternal.java,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '3933f277a025be704e68ea593536e492831a7e05', '24818fca475a6726f5ef0cae42149615079af6e9', '35fa949362e35d8514c64a645b6448424f174c82', '2051462f672b5986ef321bf1de3657e7653864e8', 'a9736185db896fe2edde0281d71102b35327b7f8', 'a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6', 'df73284a33506ba26aadbd20a1dbd01353820200', 'd28a4f6b38dbab44128b4319f665dd65c3e4ec2c', 'e85435d4d9a2f7122bd5c97ad0a25c768d124a0e', '9272406e82304c5a2a8124c75eedb4b5fdf7273a', '02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6']",12,"    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
"
5,core/java/android/app/Instrumentation.java,['b76115be4efabffaa6febc57cec47acc2f933c79'],1,"            Intent intent, int requestCode, Bundle options, boolean ignoreTargetSecurity,
            int userId) {
        android.util.SeempLog.record_str(379, intent.toString());
"
6,core/java/android/app/StatusBarManager.java,"['74a21b989f82a6a024f29085ad324e939472bed1', '1ab0b23a1d46b60a76015f090ada435f10bc9ecd', 'e33699a6fd9e692b2332b3c10642d49af617234e']",3,"    public static final int CAMERA_LAUNCH_SOURCE_SCREEN_GESTURE = 3;
"
7,core/java/android/bluetooth/BluetoothAdapter.java,['567b4cf7b54062947b5eabe6ecef7b70fbb7301b'],1,"            BluetoothHearingAid hearingAid = new BluetoothHearingAid(context, listener);
            return true;
        } else if (profile == BluetoothProfile.BA_TRANSMITTER) {
            BluetoothBATransmitter baTransmitter = new BluetoothBATransmitter(context, listener);
            return true;
"
8,core/java/android/bluetooth/BluetoothAdapter.java,['71998c3d8b36220df1be12fe6e1ba7eda81cde41'],1,"            case BluetoothProfile.DUN:
                BluetoothDun dun = (BluetoothDun)proxy;
                dun.close();
"
9,core/java/android/bluetooth/BluetoothAdapter.java,['88b45c586d461df38b866d529bc98d1dfa3e8838'],1,"            case BluetoothProfile.DUN:
                BluetoothDun dun = (BluetoothDun)proxy;
                dun.close();
                break;
            case BluetoothProfile.HEALTH:
                BluetoothHealth health = (BluetoothHealth) proxy;
                health.close();
                break;
"
10,core/java/android/bluetooth/BluetoothAdapter.java,"['a33382db0bb0bc29bab84f1e5ee36d682bea593e', '35fa949362e35d8514c64a645b6448424f174c82']",2,"            if (mManagerService != null) {
                SystemProperties.set(""persist.bluetooth.factoryreset"", ""true"");
                return mManagerService.factoryReset();
            }
"
