id,file,merge_commitid,times,recur_segment
1,core/java/android/app/ActivityManagerInternal.java,"['2051462f672b5986ef321bf1de3657e7653864e8', '1b62159ffcebb2c102e129b2e778a8f65b7e5948', '02a7ee5d65cb8d40fd1dde9aaf6b5ead9222a5a6', '24818fca475a6726f5ef0cae42149615079af6e9', 'd28a4f6b38dbab44128b4319f665dd65c3e4ec2c', '9272406e82304c5a2a8124c75eedb4b5fdf7273a', 'df73284a33506ba26aadbd20a1dbd01353820200', 'a9736185db896fe2edde0281d71102b35327b7f8', 'e85435d4d9a2f7122bd5c97ad0a25c768d124a0e', '3933f277a025be704e68ea593536e492831a7e05']",10,"    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
"
2,core/java/android/bluetooth/BluetoothCodecConfig.java,"['24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba', '449f659b21d039b8692602294b040038ac1e6ccb']",2,"    public static final int SOURCE_CODEC_TYPE_APTX_ADAPTIVE = 4;

    public static final int SOURCE_CODEC_TYPE_LDAC = 5;

    public static final int SOURCE_CODEC_TYPE_APTX_TWSP = 6;

    public static final int SOURCE_CODEC_TYPE_MAX = 7;

    /* CELT is not an A2DP Codec and only used to fetch encoder
    ** format for BA usecase, moving out of a2dp codec value list
    */
    public static final int SOURCE_CODEC_TYPE_CELT = 8;

   "
3,core/java/android/content/pm/ApplicationInfo.java,"['a33382db0bb0bc29bab84f1e5ee36d682bea593e', '337095f9d277c566cb888bc3adbac16576f1ae70']",2,"    /** {@hide} */ public int canOverrideRes() { return overrideRes; }
"
4,core/java/android/content/pm/ApplicationInfo.java,"['a33382db0bb0bc29bab84f1e5ee36d682bea593e', '337095f9d277c566cb888bc3adbac16576f1ae70', '6f47ceafbe6febe54aa5c376baed3415cdf848ad']",3,"    /** {@hide} */ public void setOverrideRes(int overrideResolution) { overrideRes = overrideResolution; }
"
5,core/java/android/hardware/camera2/CameraManager.java,"['74a21b989f82a6a024f29085ad324e939472bed1', '7c6cc72e18cc1df5205fd2bc47664e6cc2534ad2']",2,"import android.app.ActivityThread;
"
6,location/java/android/location/LocationManager.java,"['18970c4d9d55a44040fe6fb762dac93a077c64b5', '27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca', '7fd6edc3a3ff37a750641d5e192835fe217f6050', 'a97ca47ee3713a075711c311c49e3951264007ef']",4,        android.util.SeempLog.record(4
7,location/java/android/location/LocationManager.java,"['af02bd5317cc0cced0a7646d5bbf407a181dda9c', '2775a5a9b030266a910301e8b464811acafcd5fa']",2,"        android.util.SeempLog.record(45);
"
8,packages/SettingsLib/src/com/android/settingslib/Utils.java,"['24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba', '27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca']",2,"        return getWifiIconResource(level, 0 /* standard */, false /* isReady */);
"
9,packages/SettingsLib/src/com/android/settingslib/Utils.java,"['24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba', '27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca']",2,"     * @param level The number of bars to show (0-4)
     * @throws IllegalArgumentException if an invalid RSSI level is given.
     */
    public static int getWifiIconResource(int level, int standard, boolean isReady) {
        if (level < 0 || level >= WIFI_PIE.length) {
            throw new IllegalArgumentException(""No Wifi icon found for level: "" + level);
        }

        switch (standard) {
            case 4:
                return WIFI_4_PIE[level];
            case 5:
                if (isReady) {
                    return WIFI_6_PIE[level];
                } else {
                    return WIFI_5_PIE[level];
                }
            case 6:
                return WIFI_6_PIE[level];
            default:
                return WIFI_PIE[level];
       }
"
10,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,"['757dbb836469bbdd7eb8312deaf584fe0c99c17d', '2edeff882ab756e76b3a028a1568d8774ddc0257']",2,"                if ((mDevice.getBluetoothClass() != null) &&
                   (mDevice.getBluetoothClass().getDeviceClass()
                        == BluetoothClass.Device.AUDIO_VIDEO_HANDSFREE ||
                    mDevice.getBluetoothClass().getDeviceClass()
"
11,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,"['2051462f672b5986ef321bf1de3657e7653864e8', 'ddcaa93e851eb5e57692799446f2ef3fe31436ae']",2,"    /* Gets Device for seondary TWS device
     * @param mDevice Primary TWS device  to get secondary
     * @return Description of the device
     */

    private BluetoothDevice getTwsPeerDevice() {
      BluetoothAdapter bluetoothAdapter;
      BluetoothDevice peerDevice = null;
      if (mDevice.isTwsPlusDevice()) {
        bluetoothAdapter = BluetoothAdapter.getDefaultAdapter();
        String peerAddress = mDevice.getTwsPlusPeerAddress();
        peerDevice = bluetoothAdapter.getRemoteDevice(peerAddress);
      }
      return peerDevice;
"
12,packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java,"['ae1b3a8f3221dbe692fd90d414cfe5040538c264', 'ddcaa93e851eb5e57692799446f2ef3fe31436ae']",2,"import android.bluetooth.BluetoothDun;
"
13,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,"['4a30c150e58ec67edb92a7bec5ea48cebd6b90d4', '71998c3d8b36220df1be12fe6e1ba7eda81cde41']",2,"    private static final int LEGACY_CAPABLE_BSSID = 0;
    private static final int HT_CAPABLE_BSSID = 1;
    private static final int VHT_CAPABLE_BSSID = 2;
    private static final int HE_CAPABLE_BSSID = 3;
    private static final int MAX_CAPABLE_BSSID = Integer.MAX_VALUE;

    private static final int WIFI_GENERATION_LEGACY = 0;
    private static final int WIFI_GENERATION_4 = 4;
    private static final int WIFI_GENERATION_5 = 5;
    private static final int WIFI_GENERATION_6 = 6;
"
14,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,"['757dbb836469bbdd7eb8312deaf584fe0c99c17d', 'b76115be4efabffaa6febc57cec47acc2f933c79']",2,    public static final int SECURITY_DPP = 
15,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,"['757dbb836469bbdd7eb8312deaf584fe0c99c17d', '8d21ad0d966c1e9f96e5a65144efad2582391957']",2,"    public static final int SECURITY_DPP = 7;
"
16,packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java,"['24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba', '27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca']",2,"        final Drawable drawable = mIconInjector.getIcon(level, standard, isReady);
"
17,packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java,"['24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba', '27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca']",2,"        final int standard = mWifiEntry.getWifiStandard();
        final boolean vhtMax8SpatialStreamsSupport = mWifiEntry.isVhtMax8SpatialStreamsSupported();
        final boolean he8ssCapableAp = mWifiEntry.isHe8ssCapableAp();

        if (level != mLevel || standard != mWifiStandard || he8ssCapableAp != mHe8ssCapableAp ||
                vhtMax8SpatialStreamsSupport != mVhtMax8SpatialStreamsSupport) {
            mLevel = level;
            mWifiStandard = standard;
            mHe8ssCapableAp = he8ssCapableAp;
            mVhtMax8SpatialStreamsSupport = vhtMax8SpatialStreamsSupport;
            updateIcon(mLevel, mWifiStandard, mHe8ssCapableAp && mVhtMax8SpatialStreamsSupport);
"
18,packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java,"['24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba', '27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca']",2,"    private int mWifiStandard;
    private boolean mVhtMax8SpatialStreamsSupport;
    private boolean mHe8ssCapableAp;
"
19,packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java,"['24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba', '27e7f8c2aa4ce0a2f59b3bf1969b06bfd1e9ebca']",2,"    private void updateIcon(int level, int standard, boolean isReady) {
"
