id,file,merge_commitid,times,recur_segment
1,packages/SystemUI/src/com/android/systemui/Dependency.java,"['20b50bcf2cdd722955040b713056399f0ec17bd2', 'd1ffad806502fc4ff57f88b4eb543cc81fc601a1', 'e15313dd5c01373f4e046366a36472a1913e3e39']",3,"    @Inject Lazy<OmniSettingsService> mOmniSettingsService;
"
2,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/wrapper/NotificationMediaTemplateViewWrapper.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', 'efe5cc44da2c1772c733a6740a761b3b42969db4', '18970c4d9d55a44040fe6fb762dac93a077c64b5']",3,"        addOnPreDrawListener();
    }


    private void addOnPreDrawListener() {
        if ( !mOnPreDrawListenerRegistered ) {
            mOnPreDrawListenerRegistered = true;
            mSeekBarView.getViewTreeObserver().addOnPreDrawListener(mPreDrawListener);
        }
    }

    private void removeOnPreDrawListener() {
        if ( mOnPreDrawListenerRegistered ) {
            mSeekBarView.getViewTreeObserver().removeOnPreDrawListener(mPreDrawListener);
            mHandler.postDelayed(mOnUpdateTimerTick, PROGRESS_UPDATE_INTERVAL);
            mOnPreDrawListenerRegistered = false;
"
3,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/wrapper/NotificationMediaTemplateViewWrapper.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', 'efe5cc44da2c1772c733a6740a761b3b42969db4', '18970c4d9d55a44040fe6fb762dac93a077c64b5']",3,"    private boolean mOnPreDrawListenerRegistered = false;
"
4,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', 'efe5cc44da2c1772c733a6740a761b3b42969db4', '18970c4d9d55a44040fe6fb762dac93a077c64b5']",3,"        boolean shiftPulsingWithFirst = mAmbientPulseManager.getAllEntries().count() <= 1;
"
5,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', 'efe5cc44da2c1772c733a6740a761b3b42969db4']",2,"        if ((!mPulsing || mPulseReason == DozeLog.PULSE_REASON_DOCKING)
                && mAmbientState.isFullyDark()) {
            setClipBounds(null);
        } else if (mAmbientState.isDarkAtAll()) {
"
6,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', 'efe5cc44da2c1772c733a6740a761b3b42969db4']",2,"    private int mPulseReason;
"
7,packages/SystemUI/src/com/android/systemui/statusbar/phone/LockIcon.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', 'efe5cc44da2c1772c733a6740a761b3b42969db4', '18970c4d9d55a44040fe6fb762dac93a077c64b5']",3,"        if (state != mLastState || mLastDozing != mDozing || mLastPulsing != mPulsing
                || mLastBouncerVisible != mBouncerVisible || force) {
            int iconAnimRes = getAnimationResForTransition(mLastState, state, mLastPulsing,
                    mPulsing, mLastDozing, mDozing, mBouncerVisible);
            boolean isAnim = false; // iconAnimRes != -1;

            int iconRes = isAnim ? iconAnimRes : getIconForState(state);
            if (iconRes != mIconRes) {
                mIconRes = iconRes;

                Drawable icon = mContext.getDrawable(iconRes);
                final AnimatedVectorDrawable animation = icon instanceof AnimatedVectorDrawable
                        ? (AnimatedVectorDrawable) icon
                        : null;
                setImageDrawable(icon, false"
8,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', 'efe5cc44da2c1772c733a6740a761b3b42969db4', '18970c4d9d55a44040fe6fb762dac93a077c64b5']",3,"                new Handler(), mKeyguardUpdateMonitor, Dependency.get(TunerService.class));
"
9,services/core/java/com/android/server/am/ActivityManagerService.java,"['6e3be19b8a58c265a2c3ff4b9cbabdb6a4ae9bf6', '7100a7fa7244d86adf9e33b9079ce2a355e2a525']",2,"
        // When an app process is removed, activities from the process may be relaunched. In the
        // case of forceStopPackageLocked the activities are finished before any window is drawn,
        // and the launch time is not cleared. This will be incorrectly used to calculate launch
        // time for the next launched activity launched in the same windowing mode.
        if (clearLaunchStartTime) {
            final LaunchTimeTracker.Entry entry = mStackSupervisor
                    .getLaunchTimeTracker().getEntry(mStackSupervisor.getWindowingMode());
            if (entry != null) {
                entry.mLaunchStartTime = 0;
            }
        }
"
10,services/core/java/com/android/server/locksettings/LockSettingsService.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', 'efe5cc44da2c1772c733a6740a761b3b42969db4', '18970c4d9d55a44040fe6fb762dac93a077c64b5']",3,"        VerifyCredentialResponse response = doVerifyCredential(credential, type,
                                        false, 0, userId, progressCallback);
        if ((response.getResponseCode() == VerifyCredentialResponse.RESPONSE_OK) &&
                                           (userId == UserHandle.USER_OWNER)) {
                //TODO(b/127810705): Update to credentials to use byte[]
                String credentialString = credential == null ? null : new String(credential);
                retainPassword(credentialString);
        }
        return response;
"
11,services/core/java/com/android/server/locksettings/LockSettingsService.java,"['160034a542fd4cfe183b93b3a4888dc7c4f68b65', '7c6cc72e18cc1df5205fd2bc47664e6cc2534ad2']",2,", 0, userId, progressCallback);
        if ((response.getResponseCode() == VerifyCredentialResponse.RESPONSE_OK) &&
                                           (userId == UserHandle.USER_OWNER)) {
                //TODO(b/127810705): Update to credentials to use byte[]
                String credentialString = credential == null ? null : new String(credential);
                retainPassword(credentialString);
        }
        return response;
"
