id,merge_commitid,recurBlockSrc,file,Loc_details,block_text_1,block_text_2,recur_segment,proportion
1,"['0d68733d6363c270aed49b9be40c2b8ca41c3c52', '0d68733d6363c270aed49b9be40c2b8ca41c3c52']","['aospa-quartz-SAP-block_text', 'aospa-topaz-SAP-block_text']",services/usb/java/com/android/server/usb/UsbDeviceManager.java,"[(1505, 1509, 5), (1505, 1509, 5)]","                functions = SystemProperties.get(getPersistProp(true),
                            UsbManager.USB_FUNCTION_NONE);

                if (functions.equals(UsbManager.USB_FUNCTION_NONE))
                    functions = getChargingFunctions();
","                functions = SystemProperties.get(getPersistProp(true),
                            UsbManager.USB_FUNCTION_NONE);

                if (functions.equals(UsbManager.USB_FUNCTION_NONE))
                    functions = getChargingFunctions();
","                functions = SystemProperties.get(getPersistProp(true),
                            UsbManager.USB_FUNCTION_NONE);

                if (functions.equals(UsbManager.USB_FUNCTION_NONE))
                    functions = getChargingFunctions();
","[1.0, 1.0]"
2,"['1581c348fc5d6cbf1673b3dbc5960637f891d488', '62f4dee264cabcd5595e6e4c0a6ab3228281d3e0']","['aospa-quartz-SAP-block_text', 'aospa-ruby-SAP-block_text']",services/core/java/com/android/server/am/ActiveServices.java,"[(2547, 2552, 6), (3198, 3204, 7)]","                    r.app = null;
                    if (SERVICE_RESCHEDULE && DEBUG_DELAYED_SERVICE) {
                    Slog.w(TAG, "" Failed to create Service !!!! .""
                           +""This will introduce huge delay...  ""
                           +r.shortName + "" in "" + r.restartDelay + ""ms"");
                    }
","                    app.services.remove(r);
                    r.app = null;
                    if (SERVICE_RESCHEDULE && DEBUG_DELAYED_SERVICE) {
                    Slog.w(TAG, "" Failed to create Service !!!! .""
                           +""This will introduce huge delay...  ""
                           +r.shortInstanceName + "" in "" + r.restartDelay + ""ms"");
                    }
","                    r.app = null;
                    if (SERVICE_RESCHEDULE && DEBUG_DELAYED_SERVICE) {
                    Slog.w(TAG, "" Failed to create Service !!!! .""
                           +""This will introduce huge delay...  ""
                           +r.short","[0.815, 0.705]"
3,"['1581c348fc5d6cbf1673b3dbc5960637f891d488', '8faa0d981413f18b2468dde1b1fe71e248df0df1']","['aospa-quartz-SAP-block_text', 'aospa-ruby-SAP-block_text']",services/core/java/com/android/server/Watchdog.java,"[(52, 52, 1), (56, 56, 1)]","import java.io.BufferedReader;
","import java.io.BufferedReader;
","import java.io.BufferedReader;
","[1.0, 1.0]"
4,"['1581c348fc5d6cbf1673b3dbc5960637f891d488', '337095f9d277c566cb888bc3adbac16576f1ae70']","['aospa-quartz-SAP-block_text', 'aospa-sapphire-SAP-block_text']",services/core/java/com/android/server/am/ActiveServices.java,"[(2547, 2552, 6), (3626, 3632, 7)]","                    r.app = null;
                    if (SERVICE_RESCHEDULE && DEBUG_DELAYED_SERVICE) {
                    Slog.w(TAG, "" Failed to create Service !!!! .""
                           +""This will introduce huge delay...  ""
                           +r.shortName + "" in "" + r.restartDelay + ""ms"");
                    }
","                    app.stopService(r);
                    r.app = null;
                    if (SERVICE_RESCHEDULE && DEBUG_DELAYED_SERVICE) {
                    Slog.w(TAG, "" Failed to create Service !!!! .""
                           +""This will introduce huge delay...  ""
                           +r.shortInstanceName + "" in "" + r.restartDelay + ""ms"");
                    }
","                    r.app = null;
                    if (SERVICE_RESCHEDULE && DEBUG_DELAYED_SERVICE) {
                    Slog.w(TAG, "" Failed to create Service !!!! .""
                           +""This will introduce huge delay...  ""
                           +r.short","[0.815, 0.713]"
5,"['1730c08a2fd38f0ff8135692a855ada865130939', '4e4914b22b779e6376bb00ae20636175b2a70d8c']","['aospa-quartz-SAP-block_text', 'aospa-topaz-SAP-block_text']",packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,"[(153, 153, 1), (144, 144, 1)]","    private static final int MSG_LOCALE_CHANGED = 500;
","    private static final int MSG_LOCALE_CHANGED = 500;
","    private static final int MSG_LOCALE_CHANGED = 500;
","[1.0, 1.0]"
6,"['188a21cc8ac704f36fd3f2984b4da86307ab7949', 'fa63f69f0fdfc50fe92caa22dbe1b4b120807ed2']","['aospa-quartz-SAP-block_text', 'aospa-ruby-SAP-block_text']",packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,"[(868, 868, 1), (900, 900, 1)]","        pw.println(""  mFiveGState="" + mFiveGState + "","");
","        pw.println(""  mFiveGState="" + mFiveGState + "","");
","        pw.println(""  mFiveGState="" + mFiveGState + "","");
","[1.0, 1.0]"
7,"['2775a5a9b030266a910301e8b464811acafcd5fa', '18970c4d9d55a44040fe6fb762dac93a077c64b5']","['aospa-quartz-SAP-block_text', 'aospa-ruby-SAP-block_text']",services/java/com/android/server/SystemServer.java,"[(1382, 1417, 36), (1398, 1426, 29)]","            traceBeginAndSlog(""StartNetworkStack"");
            try {
                NetworkStackClient.getInstance().start(context);
            } catch (Throwable e) {
                reportWtf(""starting Network Stack"", e);
            }
            traceEnd();

            if (enableWigig) {
                try {
                    Slog.i(TAG, ""Wigig Service"");
                    String wigigClassPath =
                        ""/system/framework/wigig-service.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.wigig.supptunnel-V1.0-java.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.wigig.netperftuner-V1.0-java.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.capabilityconfigstore-V1.0-java.jar"";
                    PathClassLoader wigigClassLoader =
                            new PathClassLoader(wigigClassPath, getClass().getClassLoader());
                    Class wigigP2pClass = wigigClassLoader.loadClass(
                        ""com.qualcomm.qti.server.wigig.p2p.WigigP2pServiceImpl"");
                    Constructor<Class> ctor = wigigP2pClass.getConstructor(Context.class);
                    wigigP2pService = ctor.newInstance(context);
                    Slog.i(TAG, ""Successfully loaded WigigP2pServiceImpl class"");
                    ServiceManager.addService(""wigigp2p"", (IBinder) wigigP2pService);

                    Class wigigClass = wigigClassLoader.loadClass(
                        ""com.qualcomm.qti.server.wigig.WigigService"");
                    ctor = wigigClass.getConstructor(Context.class);
                    wigigService = ctor.newInstance(context);
                    Slog.i(TAG, ""Successfully loaded WigigService class"");
                    ServiceManager.addService(""wigig"", (IBinder) wigigService);
                } catch (Throwable e) {
                    reportWtf(""starting WigigService"", e);
                }
            }

","            if (enableWigig) {
                try {
                    Slog.i(TAG, ""Wigig Service"");
                    String wigigClassPath =
                        ""/system/framework/wigig-service.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.wigig.supptunnel-V1.0-java.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.wigig.netperftuner-V1.0-java.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.capabilityconfigstore-V1.0-java.jar"";
                    PathClassLoader wigigClassLoader =
                            new PathClassLoader(wigigClassPath, getClass().getClassLoader());
                    Class wigigP2pClass = wigigClassLoader.loadClass(
                        ""com.qualcomm.qti.server.wigig.p2p.WigigP2pServiceImpl"");
                    Constructor<Class> ctor = wigigP2pClass.getConstructor(Context.class);
                    wigigP2pService = ctor.newInstance(context);
                    Slog.i(TAG, ""Successfully loaded WigigP2pServiceImpl class"");
                    ServiceManager.addService(""wigigp2p"", (IBinder) wigigP2pService);

                    Class wigigClass = wigigClassLoader.loadClass(
                        ""com.qualcomm.qti.server.wigig.WigigService"");
                    ctor = wigigClass.getConstructor(Context.class);
                    wigigService = ctor.newInstance(context);
                    Slog.i(TAG, ""Successfully loaded WigigService class"");
                    ServiceManager.addService(""wigig"", (IBinder) wigigService);
                } catch (Throwable e) {
                    reportWtf(""starting WigigService"", e);
                }
            }

            traceBeginAndSlog(""StartNsdService"");
","            if (enableWigig) {
                try {
                    Slog.i(TAG, ""Wigig Service"");
                    String wigigClassPath =
                        ""/system/framework/wigig-service.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.wigig.supptunnel-V1.0-java.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.wigig.netperftuner-V1.0-java.jar"" + "":"" +
                        ""/system/product/framework/vendor.qti.hardware.capabilityconfigstore-V1.0-java.jar"";
                    PathClassLoader wigigClassLoader =
                            new PathClassLoader(wigigClassPath, getClass().getClassLoader());
                    Class wigigP2pClass = wigigClassLoader.loadClass(
                        ""com.qualcomm.qti.server.wigig.p2p.WigigP2pServiceImpl"");
                    Constructor<Class> ctor = wigigP2pClass.getConstructor(Context.class);
                    wigigP2pService = ctor.newInstance(context);
                    Slog.i(TAG, ""Successfully loaded WigigP2pServiceImpl class"");
                    ServiceManager.addService(""wigigp2p"", (IBinder) wigigP2pService);

                    Class wigigClass = wigigClassLoader.loadClass(
                        ""com.qualcomm.qti.server.wigig.WigigService"");
                    ctor = wigigClass.getConstructor(Context.class);
                    wigigService = ctor.newInstance(context);
                    Slog.i(TAG, ""Successfully loaded WigigService class"");
                    ServiceManager.addService(""wigig"", (IBinder) wigigService);
                } catch (Throwable e) {
                    reportWtf(""starting WigigService"", e);
                }
            }

","[0.867, 0.972]"
8,"['2775a5a9b030266a910301e8b464811acafcd5fa', 'af02bd5317cc0cced0a7646d5bbf407a181dda9c']","['aospa-quartz-SAP-block_text', 'aospa-ruby-SAP-block_text']",location/java/android/location/LocationManager.java,"[(1148, 1149, 2), (1648, 1649, 2)]","            PendingIntent intent) {
        android.util.SeempLog.record(45);
","        android.util.SeempLog.record(45);
        checkPendingIntent(intent);
","        android.util.SeempLog.record(45);
","[0.538, 0.538]"
9,"['2775a5a9b030266a910301e8b464811acafcd5fa', 'af02bd5317cc0cced0a7646d5bbf407a181dda9c']","['aospa-quartz-SAP-block_text', 'aospa-ruby-SAP-block_text']",packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/NetworkControllerBaseTest.java,"[(343, 344, 2), (416, 417, 2)]","                    ArgumentCaptor.forClass(Integer.class).capture(),
                    anyString(), anyString(), anyBoolean(), anyInt(), anyBoolean());
","                    ArgumentCaptor.forClass(Integer.class).capture(),
                    anyString(), anyString(), anyBoolean(), anyInt(), anyBoolean());
","                    ArgumentCaptor.forClass(Integer.class).capture(),
                    anyString(), anyString(), anyBoolean(), anyInt(), anyBoolean());
","[1.0, 1.0]"
10,"['2775a5a9b030266a910301e8b464811acafcd5fa', 'af02bd5317cc0cced0a7646d5bbf407a181dda9c']","['aospa-quartz-SAP-block_text', 'aospa-ruby-SAP-block_text']",packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/NetworkControllerBaseTest.java,"[(343, 344, 2), (450, 452, 3)]","                    ArgumentCaptor.forClass(Integer.class).capture(),
                    anyString(), anyString(), anyBoolean(), anyInt(), anyBoolean());
","                ArgumentCaptor.forClass(Integer.class).capture(),
                anyString(), anyString(), anyBoolean(),
                anyInt(), eq(roaming));
","                ArgumentCaptor.forClass(Integer.class).capture(),
                ","[0.529, 0.506]"
