id,merge_commitid,recurBlockSrc,file,Loc_details,block_text_1,block_text_2,recur_segment,proportion
1,"['12930acc5076e1acff0744b8d225bb2d2173f1b5', 'f67897bc05520f743974fc397aa96e4049a057b3']","['lineage-16.0-SAP-block_text', 'lineage-17.1-SAP-block_text']",packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,"[(67, 67, 1), (69, 70, 2)]","    public static final String CLOCK_STYLE = ""lineagesystem:status_bar_am_pm"";
","
    private static final String CLOCK_STYLE = ""lineagesystem:status_bar_am_pm"";
"," static final String CLOCK_STYLE = ""lineagesystem:status_bar_am_pm"";
","[0.873, 0.852]"
2,"['5df8608656b363f13049855431e2618dd153edaf', '721f892272f7a01a7b3d4db7cefd8943acbb8a01']","['lineage-16.0-SAP-block_text', 'lineage-17.1-SAP-block_text']",services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,"[(61, 65, 5), (61, 65, 5)]","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

    IKeystoreService mKeystoreService;

","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

    IKeystoreService mKeystoreService;

","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

    IKeystoreService mKeystoreService;

","[1.0, 1.0]"
3,"['5df8608656b363f13049855431e2618dd153edaf', '96e5fca97c43ea282d5ad4b7c6fad40acd91586d']","['lineage-16.0-SAP-block_text', 'lineage-17.1-SAP-block_text']",services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,"[(61, 65, 5), (59, 61, 3)]","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

    IKeystoreService mKeystoreService;

","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

","[0.704, 1.0]"
4,"['5df8608656b363f13049855431e2618dd153edaf', 'f67897bc05520f743974fc397aa96e4049a057b3']","['lineage-16.0-SAP-block_text', 'lineage-17.1-SAP-block_text']",services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,"[(61, 65, 5), (59, 61, 3)]","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

    IKeystoreService mKeystoreService;

","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

","    private IUsbRestrict mUsbRestrictor = null;
    private ContentResolver mContentResolver;

","[0.704, 1.0]"
5,"['63d76f28fe78b240b481a690e14966fb3838aa3f', 'f67897bc05520f743974fc397aa96e4049a057b3']","['lineage-16.0-SAP-block_text', 'lineage-17.1-SAP-block_text']",packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,"[(74, 75, 2), (69, 70, 2)]","
    public static final String CLOCK_STYLE = ""lineagesystem:status_bar_am_pm"";
","
    private static final String CLOCK_STYLE = ""lineagesystem:status_bar_am_pm"";
"," static final String CLOCK_STYLE = ""lineagesystem:status_bar_am_pm"";
","[0.863, 0.852]"
6,"['c124bc9f956754d80b1cf5e3da842c19d9088bd9', '05fa7e2c3e169e955e815187e15fd141fe9aa95b']","['lineage-16.0-SAP-block_text', 'lineage-17.1-SAP-block_text']",services/core/java/com/android/server/policy/PhoneWindowManager.java,"[(899, 900, 2), (698, 700, 3)]","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();
    private LineageButtons mLineageButtons;
","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;
","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();
","[0.648, 0.643]"
7,"['c124bc9f956754d80b1cf5e3da842c19d9088bd9', '617f1aaaa25fabf89a392460136fbe1031d963cd']","['lineage-16.0-SAP-block_text', 'lineage-18.1-SAP-block_text']",services/core/java/com/android/server/policy/PhoneWindowManager.java,"[(899, 900, 2), (682, 685, 4)]","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();
    private LineageButtons mLineageButtons;
","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;

","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();
","[0.648, 0.638]"
8,"['c124bc9f956754d80b1cf5e3da842c19d9088bd9', '74544b9e39b174025fcb91cc194ca920b12e8683']","['lineage-16.0-SAP-block_text', 'lineage-18.1-SAP-block_text']",services/core/java/com/android/server/policy/PhoneWindowManager.java,"[(899, 900, 2), (680, 682, 3)]","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();
    private LineageButtons mLineageButtons;
","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;
","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();
","[0.648, 0.643]"
9,"['05fa7e2c3e169e955e815187e15fd141fe9aa95b', '617f1aaaa25fabf89a392460136fbe1031d963cd']","['lineage-17.1-SAP-block_text', 'lineage-18.1-SAP-block_text']",services/core/java/com/android/server/policy/PhoneWindowManager.java,"[(698, 700, 3), (682, 685, 4)]","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;
","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;

","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;
","[1.0, 0.992]"
10,"['05fa7e2c3e169e955e815187e15fd141fe9aa95b', '74544b9e39b174025fcb91cc194ca920b12e8683']","['lineage-17.1-SAP-block_text', 'lineage-18.1-SAP-block_text']",services/core/java/com/android/server/policy/PhoneWindowManager.java,"[(698, 700, 3), (680, 682, 3)]","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;
","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;
","    private final List<DeviceKeyHandler> mDeviceKeyHandlers = new ArrayList<>();

    private LineageButtons mLineageButtons;
","[1.0, 1.0]"
