,ID2,,CD1,,UD1,,UD3,,UD4,,UD5,,,,,
project,mitigable,notMitigable,mitigable,notMitigable,mitigable,notMitigable,mitigable,notMitigable,mitigable,notMitigable,mitigable,notMitigable,mitigable_SUM,notMitigable_SUM,SUM,MP_i
A-Q,14,0,0,0,0,0,2,1,0,2,5,0,21,3,24,87.50%
A-R,15,0,0,0,0,0,3,2,0,2,9,2,27,6,33,81.82%
A-S,493,104,2,0,0,0,65,35,2,2,74,67,636,208,844,75.36%
A-T,32,0,0,0,0,0,13,0,0,4,3,2,48,6,54,88.89%
C-13,19,0,0,0,0,0,1,0,0,0,2,0,22,0,22,100.00%
C-12,7,0,0,0,0,0,0,0,0,0,7,1,14,1,15,93.33%
C-11,3,0,0,0,0,0,0,0,0,0,5,2,8,2,10,80.00%
L-20.0,63,1,0,0,0,0,10,4,0,0,1,0,74,5,79,93.67%
L-19.1,53,4,0,0,40,43,8,0,0,2,12,5,113,54,167,67.66%
L-18.1,52,3,0,0,77,51,8,0,0,2,10,6,147,62,209,70.33%
L-17.1,54,6,0,0,0,0,9,1,1,2,11,12,75,21,96,78.13%
L-16.0,39,6,0,0,0,0,7,0,0,2,9,9,55,17,72,76.39%
O-13.0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,22,100.00%
O-12.0,14,2,0,0,0,0,0,1,0,0,1,0,15,3,18,83.33%
O-11,36,4,0,0,0,0,6,4,0,2,11,5,53,15,68,77.94%
O-10,27,3,0,0,0,0,4,1,0,2,2,9,33,15,48,68.75%
O-9,21,2,0,0,0,0,2,7,0,2,0,3,23,14,37,62.16%
I-E,46,9,5,26,3292,7554,116,74,10,9,293,161,3762,7833,11595,32.45%
I-D,90,22,5,26,3249,7669,174,130,19,11,302,150,3839,8008,11847,32.40%
I-C,86,21,5,26,3174,7301,173,129,19,11,292,144,3749,7632,11381,32.94%
I-B,99,24,5,28,3134,7131,158,111,7,12,274,117,3677,7423,11100,33.13%
I-A,87,18,17,18,2383,4878,168,91,11,9,96,61,2762,5075,7837,35.24%
