project,pattern_cls,aff_files_count,cc_aff_files_percent,threshold
A-T,ID1,117,10.26,1
A-T,ID2,21,4.76,1
A-T,ID4,268,7.46,1
A-T,UD3,7,0.0,1
A-T,UD4,2,0.0,1
A-T,UD5,10,0.0,1
A-T,CD3,7,0.0,1
A-S,ID1,619,3.39,1
A-S,ID2,313,3.83,1
A-S,ID3,15,0.0,1
A-S,ID4,1185,2.19,1
A-S,UD3,46,8.7,1
A-S,UD4,2,0.0,1
A-S,UD5,171,4.09,1
A-S,CD1,15,0.0,1
A-S,CD2,100,0.0,1
A-S,CD3,108,9.26,1
A-S,CD4,466,4.72,1
A-R,ID1,97,7.22,1
A-R,ID2,13,0.0,1
A-R,ID3,1,0.0,1
A-R,ID4,290,4.14,1
A-R,UD3,5,0.0,1
A-R,UD4,2,0.0,1
A-R,UD5,16,0.0,1
A-R,CD1,2,0.0,1
A-R,CD2,14,0.0,1
A-R,CD3,23,13.04,1
A-R,CD4,130,7.69,1
A-Q,ID1,94,8.51,1
A-Q,ID2,10,0.0,1
A-Q,ID3,2,50.0,1
A-Q,ID4,182,8.24,1
A-Q,UD3,3,0.0,1
A-Q,UD4,2,0.0,1
A-Q,UD5,7,0.0,1
A-Q,CD2,11,0.0,1
A-Q,CD3,19,26.32,1
A-Q,CD4,22,4.55,1
C-13,ID1,41,21.95,1
C-13,ID2,9,33.33,1
C-13,ID4,96,11.46,1
C-13,UD3,1,0.0,1
C-13,UD5,4,0.0,1
C-12,ID1,30,10.0,1
C-12,ID2,6,0.0,1
C-12,ID4,65,6.15,1
C-12,UD5,15,0.0,1
C-12,CD1,3,0.0,1
C-12,CD2,4,0.0,1
C-12,CD4,1,0.0,1
C-11,ID1,27,7.41,1
C-11,ID2,2,0.0,1
C-11,ID4,81,8.64,1
C-11,UD5,13,0.0,1
C-11,CD1,3,0.0,1
C-11,CD2,3,0.0,1
C-11,CD4,7,42.86,1
L-20.0,ID1,85,14.12,1
L-20.0,ID2,34,11.76,1
L-20.0,ID4,155,8.39,1
L-20.0,UD3,3,0.0,1
L-20.0,UD5,2,0.0,1
L-19.1,ID1,111,9.01,1
L-19.1,ID2,41,7.32,1
L-19.1,ID3,1,0.0,1
L-19.1,ID4,193,5.7,1
L-19.1,UD1,87,6.9,1
L-19.1,UD3,3,0.0,1
L-19.1,UD4,2,0.0,1
L-19.1,UD5,26,7.69,1
L-19.1,CD1,3,0.0,1
L-19.1,CD2,26,0.0,1
L-19.1,CD3,6,0.0,1
L-19.1,CD4,71,4.23,1
L-18.1,ID1,110,7.27,1
L-18.1,ID2,39,5.13,1
L-18.1,ID3,1,0.0,1
L-18.1,ID4,200,5.0,1
L-18.1,UD1,96,5.21,1
L-18.1,UD3,3,0.0,1
L-18.1,UD4,2,0.0,1
L-18.1,UD5,25,4.0,1
L-18.1,CD1,3,0.0,1
L-18.1,CD2,25,0.0,1
L-18.1,CD3,6,0.0,1
L-18.1,CD4,96,7.29,1
L-17.1,ID1,115,8.7,1
L-17.1,ID2,31,6.45,1
L-17.1,ID3,2,50.0,1
L-17.1,ID4,228,5.7,1
L-17.1,UD3,5,0.0,1
L-17.1,UD4,2,0.0,1
L-17.1,UD5,38,2.63,1
L-17.1,CD2,25,4.0,1
L-17.1,CD3,7,0.0,1
L-17.1,CD4,109,11.01,1
L-16.0,ID1,99,7.07,1
L-16.0,ID2,25,12.0,1
L-16.0,ID3,2,50.0,1
L-16.0,ID4,211,5.21,1
L-16.0,UD3,1,0.0,1
L-16.0,UD4,2,0.0,1
L-16.0,UD5,24,4.17,1
