Merge,Conflicts,Javas,AST
618f6a02835ece0d70405b66bc37e4c545d231ca,4,4,"[['core/tests/coretests/src/android/widget/RemoteViewsTest.java', [[0, 0, 0, 0, []], [0, 0, 0, 0, []]], [[724, 760, 37, 0, []], [795, 833, 39, 0, []]]], ['core/java/android/widget/RemoteViews.java', [[0, 0, 0, 0, []]], [[729, 733, 5, 0, []]]], ['services/tests/uiservicestests/src/com/android/server/notification/NotificationManagerServiceTest.java', [[0, 0, 0, 0, []], [0, 0, 0, 0, []], [5426, 5438, 13, 0, []], [5443, 5445, 3, 0, []]], [[5377, 5378, 2, 0, []], [5421, 5422, 2, 0, []], [5431, 5441, 11, 0, []], [5446, 5447, 2, 0, []]]], ['services/core/java/com/android/server/wm/ActivityTaskSupervisor.java', [[190, 194, 5, 0, []]], [[182, 183, 2, 0, []]]]]"
4278111b5170151ed47b197d72fb94c1e1fc26e6,1,1,"[['services/core/java/com/android/server/wm/DisplayPolicy.java', [[21, 23, 3, 0, []]], [[0, 0, 0, 0, []]]]]"
750c4b2148206be44b34d93f661c879939391f49,55,39,"[['packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/AutoTileManagerTest.java', [[0, 0, 0, 0, []], [523, 523, 1, 0, []], [540, 540, 1, 0, []], [0, 0, 0, 0, []]], [[517, 517, 1, 0, []], [528, 528, 1, 0, []], [545, 545, 1, 0, []], [550, 604, 55, 0, []]]], ['services/core/java/com/android/server/wm/ActivityRecord.java', [[9061, 9064, 4, 0, []]], [[9108, 9109, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java', [[70, 116, 47, 0, []], [156, 206, 51, 0, []], [257, 280, 24, 0, []], [303, 305, 3, 0, []], [315, 411, 97, 0, []], [460, 570, 111, 0, []]], [[0, 0, 0, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []], [85, 91, 7, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimController.java', [[321, 321, 1, 0, []]], [[346, 348, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/AutoTileManager.java', [[282, 282, 1, 0, []]], [[285, 286, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', [[1149, 1149, 1, 0, []]], [[1164, 1167, 4, 0, []]]], ['core/java/android/hardware/Camera.java', [[348, 351, 4, 0, []]], [[290, 291, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/customize/QSCustomizer.java', [[81, 85, 5, 0, []]], [[78, 78, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/tiles/InternetTile.java', [[290, 298, 9, 0, []]], [[340, 343, 4, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java', [[307, 312, 6, 0, []]], [[333, 338, 6, 0, []]]], ['packages/SystemUI/src/com/android/systemui/theme/ThemeOverlayController.java', [[373, 380, 8, 0, []]], [[360, 375, 16, 0, []]]], ['services/core/java/com/android/server/accounts/AccountManagerService.java', [[4952, 4952, 1, 0, []]], [[4941, 4953, 13, 0, []]]], ['services/core/java/com/android/server/policy/PhoneWindowManager.java', [[205, 205, 1, 0, []], [644, 644, 1, 0, []]], [[202, 202, 1, 0, []], [636, 637, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/tiles/dialog/InternetDialog.java', [[864, 864, 1, 0, []]], [[808, 808, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/connectivity/NetworkControllerImpl.java', [[89, 90, 2, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarView.java', [[65, 67, 3, 0, []]], [[64, 64, 1, 0, []]]], ['packages/SettingsProvider/src/android/provider/settings/backup/SecureSettings.java', [[222, 223, 2, 0, []]], [[225, 226, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBar.java', [[1505, 1509, 5, 0, []]], [[1710, 1712, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java', [[57, 60, 4, 0, []]], [[54, 54, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotView.java', [[123, 124, 2, 0, []]], [[123, 124, 2, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/CentralSurfacesCommandQueueCallbacksTest.java', [[92, 92, 1, 0, []], [126, 126, 1, 0, []]], [[97, 98, 2, 0, []], [133, 134, 2, 0, []]]], ['packages/SystemUI/tests/src/com/android/keyguard/KeyguardUpdateMonitorTest.java', [[31, 31, 1, 0, []]], [[30, 30, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesCommandQueueCallbacks.java', [[107, 107, 1, 0, []], [139, 139, 1, 0, []], [163, 163, 1, 0, []]], [[109, 110, 2, 0, []], [143, 144, 2, 0, []], [169, 170, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/ImageExporter.java', [[155, 157, 3, 0, []]], [[152, 154, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java', [[201, 202, 2, 0, []], [209, 210, 2, 0, []], [559, 560, 2, 0, []], [672, 672, 1, 0, []]], [[200, 202, 3, 0, []], [209, 210, 2, 0, []], [556, 557, 2, 0, []], [613, 613, 1, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/qs/tiles/InternetTileTest.java', [[50, 50, 1, 0, []]], [[44, 44, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/dagger/SystemUIModule.java', [[69, 69, 1, 0, []], [90, 90, 1, 0, []], [284, 309, 26, 0, []]], [[73, 74, 2, 0, []], [96, 96, 1, 0, []], [312, 314, 3, 0, []]]], ['services/core/java/com/android/server/wm/RefreshRatePolicy.java', [[132, 138, 7, 0, []]], [[133, 159, 27, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeaderController.java', [[19, 27, 9, 0, []], [69, 79, 11, 0, []], [85, 111, 27, 0, []], [116, 137, 22, 0, []], [142, 145, 4, 0, []]], [[0, 0, 0, 0, []], [35, 36, 2, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []]]], ['services/core/java/com/android/server/wm/ActivityStarter.java', [[125, 127, 3, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/shade/NotificationPanelViewControllerTest.java', [[77, 83, 7, 0, []], [197, 321, 125, 0, []], [333, 561, 229, 0, []]], [[0, 0, 0, 0, []], [76, 77, 2, 0, []], [0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesImpl.java', [[776, 776, 1, 0, []]], [[768, 771, 4, 0, []]]], ['packages/SettingsProvider/src/android/provider/settings/validators/SecureSettingsValidators.java', [[353, 354, 2, 0, []]], [[358, 359, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QSHost.java', [[0, 0, 0, 0, []]], [[72, 109, 38, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/notification/interruption/NotificationInterruptStateProviderImpl.java', [[453, 453, 1, 0, []]], [[492, 492, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/fragment/CollapsedStatusBarFragment.java', [[113, 114, 2, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotController.java', [[114, 116, 3, 0, []], [868, 871, 4, 0, []]], [[105, 105, 1, 0, []], [946, 948, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/CommandQueue.java', [[171, 171, 1, 0, []], [498, 501, 4, 0, []], [1794, 1796, 3, 0, []]], [[171, 171, 1, 0, []], [499, 501, 3, 0, []], [1796, 1800, 5, 0, []]]], ['core/java/android/provider/Settings.java', [[11270, 11286, 17, 0, []]], [[11103, 11107, 5, 0, []]]]]"
963fdace15ff87def33f9b68308f29849388bed6,2,2,"[['services/tests/wmtests/src/com/android/server/wm/RecentTasksTest.java', [[1225, 1228, 4, 0, []], [1243, 1245, 3, 0, []]], [[1225, 1229, 5, 0, []], [1244, 1246, 3, 0, []]]], ['services/core/java/com/android/server/wm/Task.java', [[3492, 3497, 6, 0, []]], [[3482, 3514, 33, 0, []]]]]"
74a21b989f82a6a024f29085ad324e939472bed1,70,52,"[['core/java/android/hardware/camera2/CameraManager.java', [[26, 26, 1, 0, []]], [[26, 29, 4, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QSPanelController.java', [[32, 34, 3, 0, []]], [[32, 34, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', [[0, 0, 0, 0, []], [1821, 1823, 3, 0, []]], [[532, 544, 13, 0, []], [1838, 1838, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/theme/ThemeOverlayController.java', [[371, 374, 4, 0, []]], [[366, 368, 3, 0, []]]], ['core/java/android/hardware/Camera.java', [[338, 341, 4, 0, []]], [[304, 306, 3, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/screenshot/ImageExporterTest.java', [[100, 100, 1, 0, []]], [[120, 121, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/customize/QSCustomizer.java', [[80, 84, 5, 0, []]], [[78, 79, 2, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardPinViewController.java', [[126, 144, 19, 0, []]], [[0, 0, 0, 0, []]]], ['core/java/android/app/StatusBarManager.java', [[233, 233, 1, 0, []]], [[233, 233, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/volume/VolumeDialogImpl.java', [[1576, 1583, 8, 0, []]], [[1375, 1378, 4, 0, []]]], ['packages/SystemUI/src/com/android/systemui/tuner/TunerActivity.java', [[65, 73, 9, 0, []]], [[76, 80, 5, 0, []]]], ['services/core/java/com/android/server/wm/DisplayRotation.java', [[213, 239, 27, 0, []], [268, 310, 43, 0, []]], [[220, 222, 3, 0, []], [254, 257, 4, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java', [[136, 137, 2, 0, []]], [[150, 150, 1, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitorCallback.java', [[19, 20, 2, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/tiles/dialog/InternetDialog.java', [[170, 172, 3, 0, []], [597, 601, 5, 0, []]], [[169, 169, 1, 0, []], [659, 660, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/settings/brightness/BrightnessController.java', [[51, 52, 2, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/shade/NotificationPanelViewController.java', [[51, 51, 1, 0, []], [77, 77, 1, 0, []], [533, 535, 3, 0, []], [4195, 4373, 179, 0, []]], [[59, 59, 1, 0, []], [83, 83, 1, 0, []], [550, 550, 1, 0, []], [4682, 4684, 3, 0, []]]], ['services/core/java/com/android/server/audio/AudioService.java', [[254, 255, 2, 0, []]], [[254, 255, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/connectivity/MobileSignalController.java', [[18, 24, 7, 0, []], [68, 72, 5, 0, []], [194, 195, 2, 0, []]], [[18, 18, 1, 0, []], [47, 47, 1, 0, []], [139, 139, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarView.java', [[42, 42, 1, 0, []], [80, 86, 7, 0, []]], [[41, 43, 3, 0, []], [79, 81, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBar.java', [[328, 333, 6, 0, []], [689, 689, 1, 0, []], [0, 0, 0, 0, []]], [[361, 366, 6, 0, []], [783, 791, 9, 0, []], [836, 846, 11, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotView.java', [[122, 126, 5, 0, []]], [[123, 124, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconControllerImpl.java', [[216, 230, 15, 0, []]], [[226, 240, 15, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/CentralSurfacesCommandQueueCallbacksTest.java', [[88, 88, 1, 0, []], [121, 121, 1, 0, []]], [[90, 90, 1, 0, []], [123, 123, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/LongScreenshotActivity.java', [[391, 391, 1, 0, []]], [[421, 422, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/assist/ui/DisplayUtils.java', [[120, 132, 13, 0, []]], [[113, 113, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconHolder.java', [[37, 37, 1, 0, []], [42, 44, 3, 0, []], [158, 161, 4, 0, []], [183, 184, 2, 0, []]], [[41, 74, 34, 0, []], [79, 79, 1, 0, []], [194, 200, 7, 0, []], [222, 225, 4, 0, []]]], ['packages/SystemUI/src/com/android/systemui/settings/brightness/BrightnessDialog.java', [[84, 85, 2, 0, []]], [[108, 109, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesCommandQueueCallbacks.java', [[103, 103, 1, 0, []], [134, 135, 2, 0, []], [158, 158, 1, 0, []]], [[105, 105, 1, 0, []], [136, 136, 1, 0, []], [159, 159, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/ImageExporter.java', [[150, 151, 2, 0, []], [164, 167, 4, 0, []], [240, 240, 1, 0, []], [247, 247, 1, 0, []]], [[152, 153, 2, 0, []], [165, 168, 4, 0, []], [219, 220, 2, 0, []], [227, 228, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/BiometricUnlockController.java', [[587, 588, 2, 0, []]], [[586, 587, 2, 0, []]]], ['services/core/java/com/android/server/am/OomAdjuster.java', [[1217, 1225, 9, 0, []]], [[1163, 1176, 14, 0, []]]], ['packages/SystemUI/src/com/android/systemui/dagger/SystemUIModule.java', [[37, 37, 1, 0, []]], [[36, 36, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', [[0, 0, 0, 0, []]], [[110, 110, 1, 0, []]]], ['services/core/java/com/android/server/media/MediaSessionRecord.java', [[939, 940, 2, 0, []], [0, 0, 0, 0, []]], [[941, 941, 1, 0, []], [960, 967, 8, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/shade/NotificationPanelViewControllerTest.java', [[76, 76, 1, 0, []], [495, 495, 1, 0, []]], [[83, 83, 1, 0, []], [514, 518, 5, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QSPanelControllerBase.java', [[0, 0, 0, 0, []]], [[99, 99, 1, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/keyguard/KeyguardViewMediatorTest.java', [[43, 43, 1, 0, []], [113, 114, 2, 0, []], [169, 172, 4, 0, []]], [[46, 50, 5, 0, []], [133, 137, 5, 0, []], [244, 262, 19, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesImpl.java', [[777, 778, 2, 0, []]], [[765, 767, 3, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java', [[157, 157, 1, 0, []], [2190, 2191, 2, 0, []], [2522, 2534, 13, 0, []], [3570, 3574, 5, 0, []], [3803, 3804, 2, 0, []]], [[159, 159, 1, 0, []], [2313, 2351, 39, 0, []], [2698, 2699, 2, 0, []], [3688, 3689, 2, 0, []], [3848, 3850, 3, 0, []]]], ['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDeviceManager.java', [[396, 396, 1, 0, []]], [[386, 389, 4, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSecurityView.java', [[0, 0, 0, 0, []]], [[64, 69, 6, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotController.java', [[65, 71, 7, 0, []], [826, 827, 2, 0, []]], [[63, 66, 4, 0, []], [789, 793, 5, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationIconContainer.java', [[143, 147, 5, 0, []]], [[142, 143, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconController.java', [[42, 43, 2, 0, []], [403, 404, 2, 0, []], [483, 485, 3, 0, []], [544, 545, 2, 0, []]], [[43, 43, 1, 0, []], [485, 486, 2, 0, []], [598, 606, 9, 0, []], [665, 667, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java', [[405, 456, 52, 0, []], [493, 496, 4, 0, []], [536, 541, 6, 0, []], [558, 562, 5, 0, []], [615, 618, 4, 0, []], [623, 629, 7, 0, []], [731, 734, 4, 0, []], [844, 850, 7, 0, []], [1117, 1127, 11, 0, []], [1292, 1295, 4, 0, []], [1311, 1314, 4, 0, []], [1360, 1363, 4, 0, []], [1447, 1450, 4, 0, []], [1490, 1494, 5, 0, []], [1501, 1505, 5, 0, []], [1512, 1516, 5, 0, []], [1524, 1527, 4, 0, []], [1535, 1539, 5, 0, []]], [[475, 507, 33, 0, []], [543, 546, 4, 0, []], [588, 593, 6, 0, []], [610, 614, 5, 0, []], [666, 669, 4, 0, []], [674, 680, 7, 0, []], [784, 787, 4, 0, []], [881, 887, 7, 0, []], [1165, 1175, 11, 0, []], [1336, 1339, 4, 0, []], [1355, 1358, 4, 0, []], [1415, 1418, 4, 0, []], [1510, 1513, 4, 0, []], [1553, 1557, 5, 0, []], [1564, 1568, 5, 0, []], [1575, 1579, 5, 0, []], [1587, 1590, 4, 0, []], [1598, 1602, 5, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/tiles/dialog/InternetDialogController.java', [[177, 179, 3, 0, []], [222, 222, 1, 0, []], [255, 256, 2, 0, []], [278, 295, 18, 0, []], [603, 609, 7, 0, []]], [[0, 0, 0, 0, []], [241, 241, 1, 0, []], [275, 275, 1, 0, []], [297, 301, 5, 0, []], [622, 646, 25, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/CommandQueue.java', [[165, 165, 1, 0, []], [476, 478, 3, 0, []], [1260, 1264, 5, 0, []], [1702, 1704, 3, 0, []]], [[168, 170, 3, 0, []], [482, 494, 13, 0, []], [1326, 1327, 2, 0, []], [1765, 1777, 13, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManagerTest.java', [[532, 535, 4, 0, []]], [[592, 624, 33, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimState.java', [[122, 122, 1, 0, []], [152, 157, 6, 0, []]], [[149, 149, 1, 0, []], [0, 0, 0, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/qs/tiles/dialog/InternetDialogControllerTest.java', [[194, 195, 2, 0, []]], [[212, 212, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/biometrics/UdfpsController.java', [[603, 603, 1, 0, []], [635, 635, 1, 0, []], [929, 939, 11, 0, []]], [[0, 0, 0, 0, []], [0, 0, 0, 0, []], [950, 950, 1, 0, []]]]]"
595572aed3270fda20949d9c19381969d40ecfd4,6,4,"[['services/core/java/com/android/server/am/ActivityStack.java', [[1459, 1464, 6, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', [[271, 276, 6, 0, []], [836, 847, 12, 0, []], [853, 857, 5, 0, []]], [[254, 258, 5, 0, []], [582, 582, 1, 0, []], [588, 588, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/TelephonyIcons.java', [[83, 85, 3, 0, []], [98, 100, 3, 0, []], [111, 112, 2, 0, []], [111, 112, 2, 0, []], [137, 139, 3, 0, []], [152, 154, 3, 0, []], [167, 169, 3, 0, []], [182, 184, 3, 0, []], [197, 199, 3, 0, []], [212, 214, 3, 0, []], [227, 229, 3, 0, []], [242, 244, 3, 0, []], [255, 661, 407, 0, []]], [[49, 49, 1, 0, []], [62, 62, 1, 0, []], [73, 73, 1, 0, []], [73, 73, 1, 0, []], [49, 49, 1, 0, []], [62, 62, 1, 0, []], [49, 49, 1, 0, []], [49, 49, 1, 0, []], [62, 62, 1, 0, []], [62, 62, 1, 0, []], [62, 62, 1, 0, []], [62, 62, 1, 0, []], [199, 201, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', [[53, 53, 1, 0, []], [230, 240, 11, 0, []]], [[53, 53, 1, 0, []], [0, 0, 0, 0, []]]]]"
30e547372fc6724d52056a45acd2ded265e32b2f,1,0,[]
4e4914b22b779e6376bb00ae20636175b2a70d8c,8,5,"[['packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java', [[144, 144, 1, 0, []], [334, 335, 2, 0, []], [802, 803, 2, 0, []]], [[144, 144, 1, 0, []], [336, 337, 2, 0, []], [804, 806, 3, 0, []]]], ['telecomm/java/android/telecom/Call.java', [[355, 359, 5, 0, []], [537, 538, 2, 0, []]], [[355, 356, 2, 0, []], [540, 541, 2, 0, []]]], ['telecomm/java/android/telecom/Connection.java', [[331, 337, 7, 0, []]], [[333, 334, 2, 0, []]]], ['telecomm/java/android/telecom/ConnectionService.java', [[184, 185, 2, 0, []]], [[185, 185, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', [[53, 54, 2, 0, []]], [[53, 53, 1, 0, []]]]]"
0d68733d6363c270aed49b9be40c2b8ca41c3c52,1,1,"[['services/usb/java/com/android/server/usb/UsbDeviceManager.java', [[1505, 1509, 5, 0, []]], [[1561, 1561, 1, 0, []]]]]"
af01b38e0a0664bc87b649248b0c13fbe0925193,5,1,"[['services/usb/java/com/android/server/usb/UsbDeviceManager.java', [[1346, 1350, 5, 0, []]], [[1233, 1239, 7, 0, []]]]]"
