Merge,Conflicts,Javas,AST
d6f4bfa678c9f1161aae6ccf3299581eaa95a771,7,7,"[['services/tests/servicestests/src/com/android/server/audio/AudioDeviceBrokerTest.java', [[76, 77, 2, 0, []]], [[76, 77, 2, 0, []]]], ['services/tests/servicestests/src/com/android/server/audio/SpatializerHelperTest.java', [[18, 19, 2, 0, []], [29, 29, 1, 0, []], [58, 58, 1, 0, []], [0, 0, 0, 0, []], [95, 121, 27, 0, []], [131, 132, 2, 0, []]], [[0, 0, 0, 0, []], [0, 0, 0, 0, []], [53, 53, 1, 0, []], [58, 65, 8, 0, []], [69, 69, 1, 0, []], [78, 78, 1, 0, []]]], ['services/core/java/com/android/server/notification/SnoozeHelper.java', [[121, 121, 1, 0, []]], [[145, 147, 3, 0, []]]], ['services/core/java/com/android/server/audio/SpatializerHelper.java', [[101, 107, 7, 0, []], [163, 184, 22, 0, []], [291, 294, 4, 0, []], [334, 334, 1, 0, []], [375, 376, 2, 0, []], [523, 524, 2, 0, []], [547, 569, 23, 0, []], [583, 586, 4, 0, []], [601, 605, 5, 0, []], [614, 615, 2, 0, []], [630, 643, 14, 0, []], [652, 672, 21, 0, []], [681, 681, 1, 0, []], [687, 690, 4, 0, []], [733, 742, 10, 0, []], [1140, 1142, 3, 0, []], [1148, 1159, 12, 0, []], [1173, 1174, 2, 0, []], [1187, 1194, 8, 0, []], [1205, 1207, 3, 0, []], [1546, 1683, 138, 0, []], [1705, 1713, 9, 0, []], [1780, 1795, 16, 0, []]], [[0, 0, 0, 0, []], [157, 163, 7, 0, []], [270, 274, 5, 0, []], [320, 320, 1, 0, []], [352, 353, 2, 0, []], [496, 497, 2, 0, []], [519, 542, 24, 0, []], [564, 565, 2, 0, []], [581, 585, 5, 0, []], [594, 596, 3, 0, []], [611, 614, 4, 0, []], [623, 669, 47, 0, []], [530, 531, 2, 0, []], [685, 690, 6, 0, []], [731, 731, 1, 0, []], [1126, 1128, 3, 0, []], [1134, 1140, 7, 0, []], [1151, 1152, 2, 0, []], [1165, 1172, 8, 0, []], [1183, 1185, 3, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []]]], ['services/core/java/com/android/server/audio/AudioDeviceInventory.java', [[1197, 1198, 2, 0, []], [1571, 1580, 10, 0, []]], [[1256, 1257, 2, 0, []], [1604, 1636, 33, 0, []]]], ['services/core/java/com/android/server/audio/AudioService.java', [[1020, 1027, 8, 0, []], [1214, 1215, 2, 0, []], [8903, 8910, 8, 0, []], [9900, 9905, 6, 0, []]], [[969, 969, 1, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []], [9126, 9127, 2, 0, []]]], ['services/core/java/com/android/server/audio/AudioDeviceBroker.java', [[1663, 1663, 1, 0, []]], [[1549, 1549, 1, 0, []]]]]"
6c7095e544d7681cf5325fb042cc1a39f4f9d05a,5,4,"[['core/java/android/service/dreams/DreamService.java', [[16, 16, 1, 0, []]], [[0, 0, 0, 0, []]]], ['services/core/java/com/android/server/pm/UserManagerService.java', [[4104, 4108, 5, 0, []]], [[4001, 4001, 1, 0, []]]], ['packages/SystemUI/tests/src/com/android/keyguard/KeyguardSecurityContainerControllerTest.java', [[210, 220, 11, 0, []]], [[168, 169, 2, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSecurityContainerController.java', [[334, 360, 27, 0, []], [385, 389, 5, 0, []], [409, 413, 5, 0, []], [1084, 1096, 13, 0, []], [1100, 1109, 10, 0, []]], [[249, 254, 6, 0, []], [273, 273, 1, 0, []], [294, 294, 1, 0, []], [670, 724, 55, 0, []], [727, 736, 10, 0, []]]]]"
735ab084f19a936dd259c0f9a51b6f7abc4fa19c,6,5,"[['packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', [[0, 0, 0, 0, []], [1979, 1979, 1, 0, []]], [[1560, 1570, 11, 0, []], [1783, 1789, 7, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/notification/row/NotificationGutsManager.java', [[0, 0, 0, 0, []]], [[151, 152, 2, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/row/NotificationGutsManagerTest.java', [[148, 148, 1, 0, []]], [[162, 163, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/notification/dagger/NotificationsModule.java', [[0, 0, 0, 0, []], [92, 92, 1, 0, []]], [[21, 25, 5, 0, []], [124, 197, 74, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/notification/row/NotificationConversationInfo.java', [[157, 158, 2, 0, []]], [[160, 163, 4, 0, []]]]]"
f1949eac1d19f7d7bf5209d075a19d87f67d27ff,86,0,[]
3ba362dbbaa1d6319de0e8ffff03c0acbe76d9f9,3,1,"[['packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java', [[193, 193, 1, 0, []], [525, 527, 3, 0, []]], [[191, 191, 1, 0, []], [476, 476, 1, 0, []]]]]"
7e0b40ee7d0b4239a1becaf6f8b01693463a65e8,4,1,"[['packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java', [[177, 187, 11, 0, []], [506, 517, 12, 0, []], [528, 530, 3, 0, []], [537, 539, 3, 0, []]], [[173, 178, 6, 0, []], [445, 470, 26, 0, []], [484, 485, 2, 0, []], [492, 493, 2, 0, []]]]]"
840a15b39fd720a077e075bb494f9d38f8f0aa08,33,30,"[['packages/SystemUI/src/com/android/keyguard/KeyguardInputViewController.java', [[54, 54, 1, 0, []]], [[52, 71, 20, 0, []]]], ['core/java/com/android/internal/app/ChooserActivity.java', [[19, 26, 8, 0, []]], [[19, 19, 1, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSecurityContainer.java', [[254, 259, 6, 0, []]], [[234, 241, 8, 0, []]]], ['services/tests/uiservicestests/src/com/android/server/notification/NotificationListenersTest.java', [[460, 511, 52, 0, []]], [[400, 421, 22, 0, []]]], ['services/core/java/com/android/server/wm/Task.java', [[0, 0, 0, 0, []]], [[5509, 5525, 17, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/notification/row/ExpandableNotificationRow.java', [[1706, 1706, 1, 0, []]], [[0, 0, 0, 0, []]]], ['services/core/java/com/android/server/wm/ActivityStarter.java', [[1713, 1713, 1, 0, []]], [[1945, 1945, 1, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/NotificationLockscreenUserManagerTest.java', [[0, 0, 0, 0, []], [53, 55, 3, 0, []], [0, 0, 0, 0, []]], [[31, 31, 1, 0, []], [63, 65, 3, 0, []], [333, 366, 34, 0, []]]], ['packages/SystemUI/src/com/android/systemui/clipboardoverlay/ClipboardListener.java', [[21, 24, 4, 0, []], [0, 0, 0, 0, []], [58, 59, 2, 0, []], [67, 74, 8, 0, []], [100, 102, 3, 0, []], [110, 111, 2, 0, []], [161, 168, 8, 0, []]], [[21, 24, 4, 0, []], [32, 32, 1, 0, []], [58, 59, 2, 0, []], [66, 71, 6, 0, []], [99, 100, 2, 0, []], [108, 109, 2, 0, []], [0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesImpl.java', [[3603, 3603, 1, 0, []]], [[3688, 3688, 1, 0, []]]], ['services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java', [[449, 449, 1, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarNotificationActivityStarterTest.java', [[43, 44, 2, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/interruption/KeyguardNotificationVisibilityProviderTest.java', [[0, 0, 0, 0, []]], [[453, 468, 16, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/notification/row/ExpandableNotificationRowController.java', [[105, 129, 25, 0, []], [227, 227, 1, 0, []]], [[0, 0, 0, 0, []], [0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/notification/interruption/NotificationInterruptStateProviderImpl.java', [[219, 221, 3, 0, []], [450, 450, 1, 0, []]], [[181, 254, 74, 0, []], [294, 294, 1, 0, []]]], ['services/core/java/com/android/server/am/ActiveServices.java', [[3423, 3424, 2, 0, []]], [[3414, 3415, 2, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSecurityCallback.java', [[28, 30, 3, 0, []], [40, 44, 5, 0, []]], [[28, 28, 1, 0, []], [38, 39, 2, 0, []]]], ['services/core/java/com/android/server/notification/SnoozeHelper.java', [[132, 132, 1, 0, []], [142, 142, 1, 0, []], [206, 206, 1, 0, []], [216, 219, 4, 0, []], [0, 0, 0, 0, []], [313, 315, 3, 0, []]], [[156, 160, 5, 0, []], [170, 174, 5, 0, []], [258, 259, 2, 0, []], [270, 273, 4, 0, []], [293, 304, 12, 0, []], [405, 415, 11, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSecurityContainerController.java', [[189, 192, 4, 0, []], [577, 586, 10, 0, []]], [[163, 166, 4, 0, []], [357, 362, 6, 0, []]]], ['services/tests/uiservicestests/src/com/android/server/notification/SnoozeHelperTest.java', [[616, 616, 1, 0, []]], [[630, 630, 1, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/row/NotificationTestHelper.java', [[552, 552, 1, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/clipboardoverlay/ClipboardListenerTest.java', [[0, 0, 0, 0, []], [68, 68, 1, 0, []], [82, 92, 11, 0, []], [102, 110, 9, 0, []], [0, 0, 0, 0, []], [196, 253, 58, 0, []]], [[36, 36, 1, 0, []], [0, 0, 0, 0, []], [80, 86, 7, 0, []], [96, 115, 20, 0, []], [114, 115, 2, 0, []], [202, 202, 1, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/interruption/NotificationInterruptStateProviderImplTest.java', [[0, 0, 0, 0, []], [106, 110, 5, 0, []], [400, 526, 127, 0, []], [531, 535, 5, 0, []], [544, 595, 52, 0, []], [604, 617, 14, 0, []], [623, 639, 17, 0, []], [645, 649, 5, 0, []], [655, 667, 13, 0, []], [677, 681, 5, 0, []], [690, 703, 14, 0, []], [712, 725, 14, 0, []], [734, 739, 6, 0, []], [744, 748, 5, 0, []], [761, 768, 8, 0, []], [774, 913, 140, 0, []], [1049, 1059, 11, 0, []]], [[36, 36, 1, 0, []], [100, 101, 2, 0, []], [0, 0, 0, 0, []], [433, 435, 3, 0, []], [444, 449, 6, 0, []], [458, 463, 6, 0, []], [469, 473, 5, 0, []], [461, 463, 3, 0, []], [0, 0, 0, 0, []], [433, 435, 3, 0, []], [507, 512, 6, 0, []], [521, 526, 6, 0, []], [0, 0, 0, 0, []], [433, 435, 3, 0, []], [554, 560, 7, 0, []], [0, 0, 0, 0, []], [690, 692, 3, 0, []]]], ['services/tests/uiservicestests/src/com/android/server/notification/NotificationManagerServiceTest.java', [[4400, 4452, 53, 0, []]], [[0, 0, 0, 0, []]]], ['services/core/java/com/android/server/pm/permission/PermissionManagerService.java', [[0, 0, 0, 0, []]], [[1112, 1115, 4, 0, []]]], ['services/tests/wmtests/src/com/android/server/wm/TaskFragmentOrganizerControllerTest.java', [[495, 495, 1, 0, []]], [[337, 340, 4, 0, []]]], ['services/core/java/com/android/server/pm/InstallPackageHelper.java', [[2114, 2114, 1, 0, []]], [[2111, 2111, 1, 0, []]]], ['packages/SystemUI/tests/src/com/android/keyguard/KeyguardSecurityContainerControllerTest.java', [[26, 28, 3, 0, []], [95, 95, 1, 0, []], [367, 372, 6, 0, []], [388, 390, 3, 0, []], [411, 684, 274, 0, []]], [[0, 0, 0, 0, []], [74, 76, 3, 0, []], [0, 0, 0, 0, []], [323, 323, 1, 0, []], [0, 0, 0, 0, []]]], ['core/java/android/window/TaskFragmentOrganizer.java', [[403, 405, 3, 0, []]], [[176, 179, 4, 0, []]]]]"
df01e40d95f138100382208841efae354e4844db,2,2,"[['services/core/java/com/android/server/wm/LetterboxUiController.java', [[1621, 1622, 2, 0, []]], [[1594, 1603, 10, 0, []]]], ['packages/SystemUI/src/com/android/systemui/shade/QuickSettingsController.java', [[319, 319, 1, 0, []]], [[312, 312, 1, 0, []]]]]"
42803229a71b47a28ef777291f8c629ad98b0238,27,18,"[['packages/SystemUI/src/com/android/systemui/qs/tiles/InternetTile.java', [[257, 259, 3, 0, []]], [[311, 327, 17, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeaderController.java', [[128, 149, 22, 0, []]], [[0, 0, 0, 0, []]]], ['services/core/java/com/android/server/policy/PhoneWindowManager.java', [[645, 645, 1, 0, []]], [[636, 637, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', [[45, 46, 2, 0, []], [607, 674, 68, 0, []]], [[0, 0, 0, 0, []], [553, 554, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QSHost.java', [[0, 0, 0, 0, []]], [[72, 109, 38, 0, []]]], ['services/usb/java/com/android/server/usb/UsbDeviceManager.java', [[954, 956, 3, 0, []]], [[925, 928, 4, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/qs/QSTileHostTest.java', [[0, 0, 0, 0, []]], [[245, 288, 44, 0, []]]], ['core/java/android/hardware/Camera.java', [[344, 347, 4, 0, []]], [[290, 291, 2, 0, []]]], ['services/core/java/com/android/server/accounts/AccountManagerService.java', [[4945, 4945, 1, 0, []]], [[4941, 4953, 13, 0, []]]], ['packages/SettingsLib/IllustrationPreference/src/com/android/settingslib/widget/IllustrationPreference.java', [[122, 122, 1, 0, []]], [[137, 138, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java', [[307, 312, 6, 0, []]], [[333, 338, 6, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/AutoTileManagerTest.java', [[0, 0, 0, 0, []], [523, 523, 1, 0, []], [540, 540, 1, 0, []], [0, 0, 0, 0, []]], [[517, 517, 1, 0, []], [528, 528, 1, 0, []], [545, 545, 1, 0, []], [550, 604, 55, 0, []]]], ['packages/SystemUI/src/com/android/systemui/shade/NotificationPanelViewController.java', [[372, 372, 1, 0, []], [811, 812, 2, 0, []], [901, 902, 2, 0, []], [2490, 2560, 71, 0, []]], [[360, 363, 4, 0, []], [747, 749, 3, 0, []], [842, 842, 1, 0, []], [2126, 2128, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/AutoTileManager.java', [[282, 282, 1, 0, []]], [[285, 286, 2, 0, []]]], ['packages/SettingsProvider/src/android/provider/settings/backup/SecureSettings.java', [[222, 222, 1, 0, []]], [[225, 226, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSFactoryImpl.java', [[31, 67, 37, 0, []], [80, 118, 39, 0, []], [126, 204, 79, 0, []], [220, 296, 77, 0, []]], [[0, 0, 0, 0, []], [55, 55, 1, 0, []], [63, 66, 4, 0, []], [82, 86, 5, 0, []]]], ['packages/SystemUI/src/com/android/systemui/theme/ThemeOverlayController.java', [[546, 549, 4, 0, []]], [[525, 529, 5, 0, []]]], ['packages/SettingsProvider/src/android/provider/settings/validators/SecureSettingsValidators.java', [[353, 353, 1, 0, []]], [[358, 359, 2, 0, []]]]]"
1ab0b23a1d46b60a76015f090ada435f10bc9ecd,29,23,"[['packages/SettingsLib/src/com/android/settingslib/drawer/CategoryKey.java', [[69, 70, 2, 0, []]], [[69, 70, 2, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardPINView.java', [[62, 64, 3, 0, []]], [[55, 55, 1, 0, []]]], ['services/appwidget/java/com/android/server/appwidget/AppWidgetXmlUtil.java', [[96, 96, 1, 0, []]], [[97, 98, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QSPanelControllerBase.java', [[0, 0, 0, 0, []]], [[99, 99, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java', [[282, 284, 3, 0, []]], [[291, 299, 9, 0, []]]], ['packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManagerTest.java', [[532, 535, 4, 0, []]], [[592, 624, 33, 0, []]]], ['services/core/java/com/android/server/media/MediaSessionRecord.java', [[939, 940, 2, 0, []], [0, 0, 0, 0, []]], [[941, 941, 1, 0, []], [960, 967, 8, 0, []]]], ['packages/SettingsProvider/src/android/provider/settings/validators/GlobalSettingsValidators.java', [[178, 207, 30, 0, []]], [[178, 178, 1, 0, []]]], ['packages/SettingsLib/tests/robotests/src/com/android/settingslib/drawer/CategoryKeyTest.java', [[63, 63, 1, 0, []]], [[63, 63, 1, 0, []]]], ['services/core/java/com/android/server/statusbar/StatusBarManagerService.java', [[2161, 2167, 7, 0, []]], [[2208, 2216, 9, 0, []]]], ['core/java/android/hardware/Camera.java', [[334, 337, 4, 0, []]], [[304, 306, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotView.java', [[783, 784, 2, 0, []]], [[822, 831, 10, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QSPanelController.java', [[32, 34, 3, 0, []]], [[32, 34, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', [[347, 357, 11, 0, []], [2315, 2332, 18, 0, []]], [[0, 0, 0, 0, []], [0, 0, 0, 0, []]]], ['core/java/android/app/StatusBarManager.java', [[233, 233, 1, 0, []]], [[233, 233, 1, 0, []]]], ['services/core/java/com/android/server/power/PowerManagerService.java', [[1502, 1509, 8, 0, []]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java', [[405, 456, 52, 0, []], [493, 496, 4, 0, []], [536, 541, 6, 0, []], [558, 562, 5, 0, []], [615, 618, 4, 0, []], [623, 629, 7, 0, []], [731, 734, 4, 0, []], [844, 850, 7, 0, []], [1117, 1127, 11, 0, []], [1292, 1295, 4, 0, []], [1311, 1314, 4, 0, []], [1360, 1363, 4, 0, []], [1447, 1450, 4, 0, []], [1490, 1494, 5, 0, []], [1501, 1505, 5, 0, []], [1512, 1516, 5, 0, []], [1524, 1527, 4, 0, []], [1535, 1539, 5, 0, []]], [[475, 507, 33, 0, []], [543, 546, 4, 0, []], [588, 593, 6, 0, []], [610, 614, 5, 0, []], [666, 669, 4, 0, []], [674, 680, 7, 0, []], [784, 787, 4, 0, []], [881, 887, 7, 0, []], [1165, 1175, 11, 0, []], [1336, 1339, 4, 0, []], [1355, 1358, 4, 0, []], [1415, 1418, 4, 0, []], [1510, 1513, 4, 0, []], [1553, 1557, 5, 0, []], [1564, 1568, 5, 0, []], [1575, 1579, 5, 0, []], [1587, 1590, 4, 0, []], [1598, 1602, 5, 0, []]]], ['packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', [[0, 0, 0, 0, []]], [[110, 110, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/shade/NotificationPanelViewController.java', [[51, 51, 1, 0, []], [77, 77, 1, 0, []], [298, 319, 22, 0, []], [358, 360, 3, 0, []], [797, 815, 19, 0, []], [4216, 4394, 179, 0, []], [4830, 4831, 2, 0, []]], [[59, 59, 1, 0, []], [83, 83, 1, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []], [792, 803, 12, 0, []], [4682, 4684, 3, 0, []], [5745, 5745, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java', [[161, 164, 4, 0, []]], [[176, 181, 6, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSecurityView.java', [[0, 0, 0, 0, []]], [[64, 69, 6, 0, []]]], ['packages/SystemUI/src/com/android/systemui/tuner/TunerActivity.java', [[69, 77, 9, 0, []]], [[76, 80, 5, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationIconContainer.java', [[143, 147, 5, 0, []]], [[142, 143, 2, 0, []]]]]"
